Date,Time,amdno,wbgt,dt_popup,lat,long,kjName,guideline
2023/8/24,9:00,15231,30.9,8月24日 9時時点,43.595,141.73166666666665,空知吉野,厳重警戒
2023/8/24,9:00,15241,30.9,8月24日 9時時点,43.57,141.93833333333333,滝川,厳重警戒
2023/8/24,9:00,15251,30.9,8月24日 9時時点,43.52,142.19,芦別,厳重警戒
2023/8/24,9:00,15311,30.5,8月24日 9時時点,43.33,141.61666666666667,月形,厳重警戒
2023/8/24,9:00,15321,29.6,8月24日 9時時点,43.36333333333334,141.82666666666665,美唄,厳重警戒
2023/8/24,9:00,15356,30.5,8月24日 9時時点,43.211666666666666,141.785,岩見沢,厳重警戒
2023/8/24,9:00,15431,31.2,8月24日 9時時点,43.01166666666666,141.69333333333333,長沼,危険
2023/8/24,9:00,15442,30.4,8月24日 9時時点,43.038333333333334,141.95666666666668,夕張,厳重警戒
2023/8/24,9:00,16026,31.5,8月24日 9時時点,43.27166666666667,140.56333333333333,美国,危険
2023/8/24,9:00,16061,30.1,8月24日 9時時点,43.145,140.42333333333335,神恵内,厳重警戒
2023/8/24,9:00,16076,31.9,8月24日 9時時点,43.181666666666665,140.75833333333333,余市,危険
2023/8/24,9:00,16091,29.7,8月24日 9時時点,43.181666666666665,141.015,小樽,厳重警戒
2023/8/24,9:00,16156,33.0,8月24日 9時時点,42.98,140.60333333333332,共和,危険
2023/8/24,9:00,16206,30.8,8月24日 9時時点,42.81,140.54166666666666,蘭越,厳重警戒
2023/8/24,9:00,16217,30.7,8月24日 9時時点,42.9,140.75666666666666,倶知安,厳重警戒
2023/8/24,9:00,16252,29.4,8月24日 9時時点,42.795,140.22333333333333,寿都,厳重警戒
2023/8/24,9:00,16281,30.1,8月24日 9時時点,42.775,140.88,真狩,厳重警戒
2023/8/24,9:00,16286,29.9,8月24日 9時時点,42.79333333333334,140.94833333333332,喜茂別,厳重警戒
2023/8/24,9:00,16321,28.7,8月24日 9時時点,42.663333333333334,140.31,黒松内,厳重警戒
2023/8/24,9:00,17036,28.7,8月24日 9時時点,44.58,142.96333333333334,雄武,厳重警戒
2023/8/24,9:00,17076,30.7,8月24日 9時時点,44.47,143.10833333333332,興部,厳重警戒
2023/8/24,9:00,17091,32.7,8月24日 9時時点,44.33166666666666,142.935,西興部,危険
2023/8/24,9:00,17112,28.9,8月24日 9時時点,44.345,143.355,紋別,厳重警戒
2023/8/24,9:00,17166,32.1,8月24日 9時時点,44.21333333333333,143.61833333333334,湧別,危険
2023/8/24,9:00,17196,32.0,8月24日 9時時点,44.17666666666667,143.06166666666667,滝上,危険
2023/8/24,9:00,17246,32.1,8月24日 9時時点,44.115,144.03666666666666,常呂,危険
2023/8/24,9:00,17306,31.8,8月24日 9時時点,44.053333333333335,143.54,遠軽,危険
2023/8/24,9:00,17316,31.9,8月24日 9時時点,44.01833333333333,143.76,佐呂間,危険
2023/8/24,9:00,17341,27.9,8月24日 9時時点,44.016666666666666,144.27833333333334,網走,警戒
2023/8/24,9:00,17351,32.5,8月24日 9時時点,44.05166666666667,144.98166666666665,宇登呂,危険
2023/8/24,9:00,17482,27.7,8月24日 9時時点,43.865,143.15333333333334,白滝,警戒
2023/8/24,9:00,17501,30.3,8月24日 9時時点,43.916666666666664,143.53166666666667,生田原,厳重警戒
2023/8/24,9:00,17521,32.4,8月24日 9時時点,43.776666666666664,143.84166666666667,北見,危険
2023/8/24,9:00,17546,33.6,8月24日 9時時点,43.84166666666667,144.485,小清水,危険
2023/8/24,9:00,17561,33.2,8月24日 9時時点,43.885,144.7,斜里,危険
2023/8/24,9:00,17596,29.1,8月24日 9時時点,43.74166666666667,143.45,留辺蘂,厳重警戒
2023/8/24,9:00,17607,31.9,8月24日 9時時点,43.70666666666666,143.64333333333335,境野,危険
2023/8/24,9:00,17631,32.7,8月24日 9時時点,43.77,144.17166666666665,美幌,危険
2023/8/24,9:00,17717,32.3,8月24日 9時時点,43.70166666666667,144.03333333333333,津別,危険
2023/8/24,9:00,18038,29.8,8月24日 9時時点,44.02333333333333,145.18666666666667,羅臼,厳重警戒
2023/8/24,9:00,18136,31.8,8月24日 9時時点,43.66166666666667,145.13166666666666,標津,危険
2023/8/24,9:00,18161,31.2,8月24日 9時時点,43.52,144.74666666666667,上標津,危険
2023/8/24,9:00,18171,30.3,8月24日 9時時点,43.54333333333334,144.97833333333332,中標津,厳重警戒
2023/8/24,9:00,18256,28.2,8月24日 9時時点,43.38166666666667,145.11833333333334,別海,厳重警戒
2023/8/24,9:00,18273,26.7,8月24日 9時時点,43.33,145.585,根室,警戒
2023/8/24,9:00,18281,29.9,8月24日 9時時点,43.39333333333333,145.75833333333333,納沙布,厳重警戒
2023/8/24,9:00,18311,27.6,8月24日 9時時点,43.221666666666664,145.22666666666666,厚床,警戒
2023/8/24,9:00,19021,29.1,8月24日 9時時点,43.61666666666667,144.45666666666668,川湯,厳重警戒
2023/8/24,9:00,19051,28.0,8月24日 9時時点,43.51,144.46666666666667,弟子屈,厳重警戒
2023/8/24,9:00,19076,27.7,8月24日 9時時点,43.43666666666667,144.08333333333334,阿寒湖畔,警戒
2023/8/24,9:00,19151,27.4,8月24日 9時時点,43.291666666666664,144.58666666666667,標茶,警戒
2023/8/24,9:00,19191,26.9,8月24日 9時時点,43.23166666666667,144.325,鶴居,警戒
2023/8/24,9:00,19261,29.7,8月24日 9時時点,43.19833333333333,144.14166666666668,中徹別,厳重警戒
2023/8/24,9:00,19311,26.8,8月24日 9時時点,43.12,145.11,榊町,警戒
2023/8/24,9:00,19376,27.1,8月24日 9時時点,43.09,144.77833333333334,太田,警戒
2023/8/24,9:00,19416,28.3,8月24日 9時時点,42.97,144.06166666666667,白糠,厳重警戒
2023/8/24,9:00,19432,25.1,8月24日 9時時点,42.985,144.37666666666667,釧路,警戒
2023/8/24,9:00,19451,24.8,8月24日 9時時点,42.93833333333333,144.735,知方学,注意
2023/8/24,9:00,20146,31.5,8月24日 9時時点,43.471666666666664,143.75333333333333,陸別,危険
2023/8/24,9:00,20186,28.1,8月24日 9時時点,43.36666666666667,143.19166666666666,ぬかびら源泉郷,厳重警戒
2023/8/24,9:00,20266,27.9,8月24日 9時時点,43.24166666666667,143.295,上士幌,警戒
2023/8/24,9:00,20276,27.7,8月24日 9時時点,43.24333333333333,143.55333333333334,足寄,警戒
2023/8/24,9:00,20341,30.5,8月24日 9時時点,43.13166666666667,143.6,本別,厳重警戒
2023/8/24,9:00,20356,30.6,8月24日 9時時点,43.07666666666667,142.84,新得,厳重警戒
2023/8/24,9:00,20361,30.6,8月24日 9時時点,43.10333333333333,142.995,鹿追,厳重警戒
2023/8/24,9:00,20371,25.4,8月24日 9時時点,43.05,143.18333333333334,駒場,警戒
2023/8/24,9:00,20421,29.5,8月24日 9時時点,42.9,143.04333333333332,芽室,厳重警戒
2023/8/24,9:00,20432,27.2,8月24日 9時時点,42.92166666666667,143.21166666666667,帯広,警戒
2023/8/24,9:00,20441,27.4,8月24日 9時時点,42.92,143.45833333333334,池田,警戒
2023/8/24,9:00,20506,26.4,8月24日 9時時点,42.80833333333333,143.65666666666667,浦幌,警戒
2023/8/24,9:00,20556,27.4,8月24日 9時時点,42.78666666666667,143.32833333333335,糠内,警戒
2023/8/24,9:00,20601,29.5,8月24日 9時時点,42.641666666666666,143.09666666666666,上札内,厳重警戒
2023/8/24,9:00,20606,30.8,8月24日 9時時点,42.651666666666664,143.195,更別,厳重警戒
2023/8/24,9:00,20631,26.8,8月24日 9時時点,42.68666666666667,143.64666666666668,大津,警戒
2023/8/24,9:00,20696,29.5,8月24日 9時時点,42.5,143.27333333333334,大樹,厳重警戒
2023/8/24,9:00,20751,28.1,8月24日 9時時点,42.29333333333334,143.31666666666666,広尾,厳重警戒
