date,観測所番号,都道府県名,地名,最高気温
2024-07-10,88736,鹿児島県,中之島,27.5
2024-07-10,86141,熊本県,熊本,27.5
2024-07-10,51106,愛知県,名古屋,27.5
2024-07-10,65276,和歌山県,新宮,27.5
2024-07-10,83021,大分県,国見,27.5
2024-07-10,94086,沖縄県,盛山,27.5
2024-07-10,84012,長崎県,鰐浦,27.5
2024-07-10,85166,佐賀県,白石,27.4
2024-07-10,53196,三重県,小俣,27.4
2024-07-10,62101,大阪府,関空島,27.4
2024-07-10,85161,佐賀県,嬉野,27.4
2024-07-10,53401,三重県,熊野新鹿,27.4
2024-07-10,40336,茨城県,つくば,27.4
2024-07-10,44226,東京都,三宅島,27.4
2024-07-10,45121,千葉県,成田,27.4
2024-07-10,42366,群馬県,館林,27.4
2024-07-10,87331,宮崎県,西都,27.4
2024-07-10,86336,熊本県,八代,27.4
2024-07-10,46211,神奈川県,三浦,27.4
2024-07-10,91241,沖縄県,糸数,27.3
2024-07-10,40406,茨城県,鹿嶋,27.3
2024-07-10,69021,鳥取県,塩津,27.3
2024-07-10,73442,愛媛県,宇和島,27.3
2024-07-10,43126,埼玉県,久喜,27.3
2024-07-10,73151,愛媛県,四国中央,27.2
2024-07-10,81371,山口県,防府,27.2
2024-07-10,71106,徳島県,徳島,27.2
2024-07-10,74447,高知県,宿毛,27.2
2024-07-10,50196,静岡県,富士,27.2
2024-07-10,87406,宮崎県,田野,27.2
2024-07-10,82361,福岡県,大牟田,27.2
2024-07-10,45326,千葉県,坂畑,27.1
2024-07-10,88666,鹿児島県,上中,27.1
2024-07-10,53378,三重県,尾鷲,27.1
2024-07-10,87501,宮崎県,串間,27.1
2024-07-10,51261,愛知県,セントレア,27.1
2024-07-10,73256,愛媛県,長浜,27.1
2024-07-10,86451,熊本県,水俣,27.0
2024-07-10,44173,東京都,大島北ノ山,27.0
2024-07-10,84122,長崎県,石田,26.9
2024-07-10,45061,千葉県,我孫子,26.9
2024-07-10,66446,岡山県,倉敷,26.9
2024-07-10,83341,大分県,犬飼,26.9
2024-07-10,72111,香川県,多度津,26.9
2024-07-10,40281,茨城県,下妻,26.9
2024-07-10,46091,神奈川県,海老名,26.9
2024-07-10,44301,東京都,父島,26.9
2024-07-10,53041,三重県,桑名,26.9
2024-07-10,84171,長崎県,平戸,26.8
2024-07-10,73076,愛媛県,今治,26.8
2024-07-10,83137,大分県,日田,26.8
2024-07-10,67401,広島県,福山,26.8
2024-07-10,45081,千葉県,香取,26.8
2024-07-10,62046,大阪府,枚方,26.8
2024-07-10,63571,兵庫県,洲本,26.8
2024-07-10,63071,兵庫県,兎和野高原,26.8
2024-07-10,69101,鳥取県,倉吉,26.8
2024-07-10,73141,愛媛県,新居浜,26.8
2024-07-10,73168,愛媛県,松山南吉田,26.8
2024-07-10,81321,山口県,岩国,26.8
2024-07-10,41376,栃木県,小山,26.8
2024-07-10,88432,鹿児島県,喜入,26.7
2024-07-10,44172,東京都,大島,26.7
2024-07-10,84076,長崎県,美津島,26.7
2024-07-10,88261,鹿児島県,東市来,26.7
2024-07-10,64036,奈良県,奈良,26.7
2024-07-10,84536,長崎県,福江,26.7
2024-07-10,74187,高知県,後免,26.7
2024-07-10,74271,高知県,安芸,26.7
2024-07-10,81386,山口県,下松,26.7
2024-07-10,84121,長崎県,芦辺,26.7
2024-07-10,50261,静岡県,清水,26.7
2024-07-10,36846,福島県,小名浜,26.6
2024-07-10,40201,茨城県,水戸,26.6
2024-07-10,41361,栃木県,佐野,26.6
2024-07-10,66481,岡山県,笠岡,26.6
2024-07-10,44112,東京都,八王子,26.6
2024-07-10,41331,栃木県,真岡,26.6
2024-07-10,86101,熊本県,菊池,26.6
2024-07-10,74188,高知県,南国日章,26.6
2024-07-10,91181,沖縄県,渡嘉敷,26.6
2024-07-10,83401,大分県,佐伯,26.6
2024-07-10,91021,沖縄県,奥,26.6
2024-07-10,88406,鹿児島県,志布志,26.6
2024-07-10,50476,静岡県,菊川牧之原,26.6
2024-07-10,87426,宮崎県,都城,26.6
2024-07-10,50561,静岡県,石廊崎,26.5
2024-07-10,51346,愛知県,伊良湖,26.5
2024-07-10,84561,長崎県,口之津,26.5
2024-07-10,88151,鹿児島県,川内,26.5
2024-07-10,44216,東京都,神津島,26.5
2024-07-10,88621,鹿児島県,中種子,26.5
2024-07-10,65036,和歌山県,友ケ島,26.5
2024-07-10,66501,岡山県,玉野,26.5
2024-07-10,62131,大阪府,熊取,26.5
2024-07-10,57051,福井県,越廼,26.5
2024-07-10,68056,島根県,海士,26.4
2024-07-10,74436,高知県,佐賀,26.4
2024-07-10,68456,島根県,高津,26.4
2024-07-10,57248,福井県,敦賀,26.4
2024-07-10,40231,茨城県,下館,26.4
2024-07-10,87293,宮崎県,高鍋,26.4
2024-07-10,40311,茨城県,鉾田,26.4
2024-07-10,44262,東京都,八重見ヶ原,26.4
2024-07-10,52586,岐阜県,岐阜,26.4
2024-07-10,71231,徳島県,蒲生田,26.4
2024-07-10,73341,愛媛県,瀬戸,26.4
2024-07-10,83191,大分県,玖珠,26.3
2024-07-10,34506,宮城県,丸森,26.3
2024-07-10,40426,茨城県,龍ケ崎,26.3
2024-07-10,71266,徳島県,日和佐,26.3
2024-07-10,72146,香川県,引田,26.3
2024-07-10,82317,福岡県,黒木,26.3
2024-07-10,63517,兵庫県,神戸空港,26.3
2024-07-10,63588,兵庫県,南淡,26.3
2024-07-10,51216,愛知県,大府,26.3
2024-07-10,72061,香川県,内海,26.2
2024-07-10,72121,香川県,滝宮,26.2
2024-07-10,84537,長崎県,上大津,26.2
2024-07-10,43266,埼玉県,所沢,26.2
2024-07-10,36291,福島県,二本松,26.2
2024-07-10,68022,島根県,西郷,26.2
2024-07-10,62051,大阪府,豊中,26.1
2024-07-10,65356,和歌山県,潮岬,26.1
2024-07-10,67292,広島県,三入,26.1
2024-07-10,65288,和歌山県,南紀白浜,26.1
2024-07-10,71291,徳島県,海陽,26.1
2024-07-10,48361,長野県,松本,26.0
2024-07-10,81116,山口県,油谷,26.0
2024-07-10,73516,愛媛県,御荘,26.0
2024-07-10,67386,広島県,本郷,26.0
2024-07-10,67461,広島県,竹原,26.0
2024-07-10,44263,東京都,八丈島,26.0
2024-07-10,50551,静岡県,御前崎,26.0
2024-07-10,81481,山口県,柳井,25.9
2024-07-10,74372,高知県,室戸岬,25.9
2024-07-10,63551,兵庫県,郡家,25.9
2024-07-10,87301,宮崎県,加久藤,25.9
2024-07-10,74456,高知県,中村,25.9
2024-07-10,83121,大分県,杵築,25.8
2024-07-10,88166,鹿児島県,溝辺,25.8
2024-07-10,88447,鹿児島県,肝付前田,25.8
2024-07-10,45148,,,25.8
2024-07-10,87181,宮崎県,日向,25.8
2024-07-10,44056,東京都,青梅,25.8
2024-07-10,67326,広島県,府中,25.8
2024-07-10,86271,熊本県,松島,25.8
2024-07-10,51311,愛知県,南知多,25.8
2024-07-10,83371,大分県,竹田,25.8
2024-07-10,81011,山口県,須佐,25.7
2024-07-10,73306,愛媛県,大洲,25.7
2024-07-10,81397,山口県,玖珂,25.7
2024-07-10,74311,高知県,須崎,25.7
2024-07-10,71087,徳島県,穴吹,25.7
2024-07-10,72126,香川県,香南,25.7
2024-07-10,67471,広島県,生口島,25.7
2024-07-10,52581,岐阜県,大垣,25.7
2024-07-10,41091,栃木県,黒磯,25.7
2024-07-10,66408,岡山県,岡山,25.7
2024-07-10,63461,兵庫県,三木,25.6
2024-07-10,72161,香川県,財田,25.6
2024-07-10,55102,富山県,富山,25.6
2024-07-10,68091,島根県,鹿島,25.6
2024-07-10,67576,広島県,呉市蒲刈,25.6
2024-07-10,40136,茨城県,日立,25.6
2024-07-10,53326,三重県,紀伊長島,25.6
2024-07-10,68261,島根県,掛合,25.5
2024-07-10,83476,大分県,蒲江,25.5
2024-07-10,55191,富山県,南砺高宮,25.5
2024-07-10,55141,富山県,砺波,25.5
2024-07-10,65026,和歌山県,かつらぎ,25.5
2024-07-10,86467,熊本県,人吉,25.5
2024-07-10,88331,鹿児島県,輝北,25.4
2024-07-10,61001,京都府,間人,25.4
2024-07-10,81196,山口県,秋吉台,25.4
2024-07-10,34461,宮城県,白石,25.4
2024-07-10,68516,島根県,津和野,25.4
2024-07-10,43051,埼玉県,寄居,25.4
2024-07-10,68046,島根県,西郷岬,25.4
2024-07-10,61286,京都府,京都,25.3
2024-07-10,40046,茨城県,北茨城,25.3
2024-07-10,81486,山口県,安下庄,25.3
2024-07-10,88081,鹿児島県,大口,25.3
2024-07-10,65201,和歌山県,川辺,25.3
2024-07-10,42286,群馬県,上里見,25.3
2024-07-10,49036,山梨県,大泉,25.3
2024-07-10,56227,石川県,金沢,25.3
2024-07-10,81231,山口県,広瀬,25.3
2024-07-10,88107,鹿児島県,さつま柏原,25.3
2024-07-10,61326,京都府,京田辺,25.3
2024-07-10,74381,高知県,江川崎,25.2
2024-07-10,34296,宮城県,女川,25.2
2024-07-10,63383,兵庫県,姫路,25.2
2024-07-10,52536,岐阜県,美濃加茂,25.2
2024-07-10,86477,熊本県,上,25.2
2024-07-10,88286,鹿児島県,牧之原,25.1
2024-07-10,53296,三重県,南伊勢,25.1
2024-07-10,51031,愛知県,愛西,25.1
2024-07-10,53112,三重県,上野,25.1
2024-07-10,87066,宮崎県,古江,25.1
2024-07-10,69052,鳥取県,湖山,25.1
2024-07-10,63496,兵庫県,明石,25.0
2024-07-10,67376,広島県,東広島,25.0
2024-07-10,52461,岐阜県,美濃,25.0
2024-07-10,57026,福井県,春江,25.0
2024-07-10,36127,福島県,福島,25.0
2024-07-10,68246,島根県,大田,25.0
2024-07-10,53061,三重県,四日市,25.0
2024-07-10,53257,三重県,鳥羽,25.0
2024-07-10,48767,長野県,飯田,24.9
2024-07-10,35426,山形県,山形,24.9
2024-07-10,81266,山口県,豊田,24.9
2024-07-10,57066,福井県,福井,24.9
2024-07-10,63491,兵庫県,家島,24.9
2024-07-10,64127,奈良県,五條,24.9
2024-07-10,50386,静岡県,天竜,24.9
2024-07-10,73446,愛媛県,近永,24.9
2024-07-10,87352,宮崎県,小林,24.9
2024-07-10,86006,熊本県,鹿北,24.8
2024-07-10,60216,滋賀県,大津,24.8
2024-07-10,41247,栃木県,那須烏山,24.8
2024-07-10,55151,富山県,秋ヶ島,24.8
2024-07-10,45371,千葉県,勝浦,24.8
2024-07-10,52511,岐阜県,揖斐川,24.8
2024-07-10,68121,島根県,斐川,24.8
2024-07-10,66346,岡山県,日応寺,24.8
2024-07-10,53091,三重県,亀山,24.8
2024-07-10,51226,愛知県,岡崎,24.8
2024-07-10,53231,三重県,粥見,24.8
2024-07-10,64101,奈良県,大宇陀,24.8
2024-07-10,54711,新潟県,糸魚川,24.7
2024-07-10,40191,茨城県,笠間,24.7
2024-07-10,86236,熊本県,甲佐,24.7
