観測所番号,prec_no,国際地点番号,都道府県,name,地点,pref,capitol
17246,17,,北海道網走・北見・紋別地方,常呂,常呂（トコロ）,北海道,
17306,17,,北海道網走・北見・紋別地方,遠軽,遠軽（エンガル）,北海道,
17316,17,,北海道網走・北見・紋別地方,佐呂間,佐呂間（サロマ）,北海道,
17341,17,47409.0,北海道網走・北見・紋別地方,網走,網走（アバシリ）,北海道,
17351,17,,北海道網走・北見・紋別地方,宇登呂,宇登呂（ウトロ）,北海道,
17482,17,,北海道網走・北見・紋別地方,白滝,白滝（シラタキ）,北海道,
17501,17,,北海道網走・北見・紋別地方,生田原,生田原（イクタハラ）,北海道,
17521,17,,北海道網走・北見・紋別地方,北見,北見（キタミ）,北海道,
17531,17,,北海道網走・北見・紋別地方,女満別,女満別（メマンベツ）,北海道,
17546,17,,北海道網走・北見・紋別地方,小清水,小清水（コシミズ）,北海道,
17561,17,,北海道網走・北見・紋別地方,斜里,斜里（シャリ）,北海道,
17596,17,,北海道網走・北見・紋別地方,留辺蘂,留辺蘂（ルベシベ）,北海道,
17607,17,,北海道網走・北見・紋別地方,境野,境野（サカイノ）,北海道,
17631,17,,北海道網走・北見・紋別地方,美幌,美幌（ビホロ）,北海道,
17717,17,,北海道網走・北見・紋別地方,津別,津別（ツベツ）,北海道,
18038,18,,北海道根室地方,羅臼,羅臼（ラウス）,北海道,
18136,18,,北海道根室地方,標津,標津（シベツ）,北海道,
18161,18,,北海道根室地方,上標津,上標津（カミシベツ）,北海道,
18171,18,,北海道根室地方,中標津,中標津（ナカシベツ）,北海道,
18174,18,,北海道根室地方,根室中標津,根室中標津（ネムロナカシベツ）,北海道,
18256,18,,北海道根室地方,別海,別海（ベツカイ）,北海道,
18273,18,47420.0,北海道根室地方,根室,根室（ネムロ）,北海道,
18281,18,,北海道根室地方,納沙布,納沙布（ノサップ）,北海道,
18311,18,,北海道根室地方,厚床,厚床（アットコ）,北海道,
19021,19,,北海道釧路地方,川湯,川湯（カワユ）,北海道,
19051,19,,北海道釧路地方,弟子屈,弟子屈（テシカガ）,北海道,
19076,19,,北海道釧路地方,阿寒湖畔,阿寒湖畔（アカンコハン）,北海道,
19151,19,,北海道釧路地方,標茶,標茶（シベチャ）,北海道,
19191,19,,北海道釧路地方,鶴居,鶴居（ツルイ）,北海道,
19261,19,,北海道釧路地方,中徹別,中徹別（ナカテシベツ）,北海道,
19311,19,,北海道釧路地方,榊町,榊町（サカキマチ）,北海道,
19347,19,,北海道釧路地方,鶴丘,鶴丘（ツルオカ）,北海道,
19376,19,,北海道釧路地方,太田,太田（オオタ）,北海道,
19416,19,,北海道釧路地方,白糠,白糠（シラヌカ）,北海道,
19432,19,47418.0,北海道釧路地方,釧路,釧路（クシロ）,北海道,
19451,19,,北海道釧路地方,知方学,知方学（チッポマナイ）,北海道,
20146,20,,北海道十勝地方,陸別,陸別（リクベツ）,北海道,
20186,20,,北海道十勝地方,ぬかびら源泉郷,ぬかびら源泉郷（ヌカビラゲンセンキョウ）,北海道,
20266,20,,北海道十勝地方,上士幌,上士幌（カミシホロ）,北海道,
20276,20,,北海道十勝地方,足寄,足寄（アショロ）,北海道,
20341,20,,北海道十勝地方,本別,本別（ホンベツ）,北海道,
20356,20,,北海道十勝地方,新得,新得（シントク）,北海道,
20361,20,,北海道十勝地方,鹿追,鹿追（シカオイ）,北海道,
20371,20,,北海道十勝地方,駒場,駒場（コマバ）,北海道,
20421,20,,北海道十勝地方,芽室,芽室（メムロ）,北海道,
20432,20,47417.0,北海道十勝地方,帯広,帯広（オビヒロ）,北海道,
20441,20,,北海道十勝地方,池田,池田（イケダ）,北海道,
20506,20,,北海道十勝地方,浦幌,浦幌（ウラホロ）,北海道,
20551,20,,北海道十勝地方,帯広泉,帯広泉（オビヒロイズミ）,北海道,
20556,20,,北海道十勝地方,糠内,糠内（ヌカナイ）,北海道,
20601,20,,北海道十勝地方,上札内,上札内（カミサツナイ）,北海道,
20606,20,,北海道十勝地方,更別,更別（サラベツ）,北海道,
20631,20,,北海道十勝地方,大津,大津（オオツ）,北海道,
20696,20,,北海道十勝地方,大樹,大樹（タイキ）,北海道,
20751,20,47440.0,北海道十勝地方,広尾,広尾（ヒロオ）,北海道,
21111,21,,北海道胆振地方,厚真,厚真（アツマ）,北海道,
21126,21,,北海道胆振地方,穂別,穂別（ホベツ）,北海道,
21161,21,,北海道胆振地方,大滝,大滝（オオタキ）,北海道,
21171,21,,北海道胆振地方,森野,森野（モリノ）,北海道,
21187,21,47424.0,北海道胆振地方,苫小牧,苫小牧（トマコマイ）,北海道,
21226,21,,北海道胆振地方,大岸,大岸（オオキシ）,北海道,
21261,21,,北海道胆振地方,白老,白老（シラオイ）,北海道,
21276,21,,北海道胆振地方,鵡川,鵡川（ムカワ）,北海道,
21297,21,,北海道胆振地方,伊達,伊達（ダテ）,北海道,
21312,21,,北海道胆振地方,登別,登別（ノボリベツ）,北海道,
21323,21,47423.0,北海道胆振地方,室蘭,室蘭（ムロラン）,北海道,
22036,22,,北海道日高地方,日高,日高（ヒダカ）,北海道,
22141,22,,北海道日高地方,日高門別,日高門別（ヒダカモンベツ）,北海道,
22156,22,,北海道日高地方,新和,新和（シンワ）,北海道,
22241,22,,北海道日高地方,静内,静内（シズナイ）,北海道,
22291,22,,北海道日高地方,三石,三石（ミツイシ）,北海道,
22306,22,,北海道日高地方,中杵臼,中杵臼（ナカキネウス）,北海道,
22327,22,47426.0,北海道日高地方,浦河,浦河（ウラカワ）,北海道,
22391,22,,北海道日高地方,えりも岬,えりも岬（エリモミサキ）,北海道,
23031,23,,北海道渡島地方,長万部,長万部（オシャマンベ）,北海道,
23086,23,,北海道渡島地方,八雲,八雲（ヤクモ）,北海道,
23166,23,,北海道渡島地方,森,森（モリ）,北海道,
23206,23,,北海道渡島地方,川汲,川汲（カックミ）,北海道,
23226,23,,北海道渡島地方,北斗,北斗（ホクト）,北海道,
23232,23,47430.0,北海道渡島地方,函館,函館（ハコダテ）,北海道,
23281,23,,北海道渡島地方,高松,高松（タカマツ）,北海道,
23326,23,,北海道渡島地方,木古内,木古内（キコナイ）,北海道,
23376,23,,北海道渡島地方,松前,松前（マツマエ）,北海道,
24141,23,,北海道渡島地方,熊石,熊石（クマイシ）,北海道,
24041,24,,北海道檜山地方,せたな,せたな（セタナ）,北海道,
24051,24,,北海道檜山地方,今金,今金（イマカネ）,北海道,
24101,24,,北海道檜山地方,奥尻,奥尻（オクシリ）,北海道,
24156,24,,北海道檜山地方,米岡,米岡（ヨネオカ）,北海道,
24201,24,,北海道檜山地方,鶉,鶉（ウズラ）,北海道,
24217,24,47428.0,北海道檜山地方,江差,江差（エサシ）,北海道,
31001,31,,青森県,大間,大間（オオマ）,青森県,
31111,31,47576.0,青森県,むつ,むつ（ムツ）,青森県,
31121,31,,青森県,小田野沢,小田野沢（オダノサワ）,青森県,
31136,31,,青森県,今別,今別（イマベツ）,青森県,
31156,31,,青森県,脇野沢,脇野沢（ワキノサワ）,青森県,
31186,31,,青森県,市浦,市浦（シウラ）,青森県,
31201,31,,青森県,蟹田,蟹田（カニタ）,青森県,
31296,31,,青森県,五所川原,五所川原（ゴショガワラ）,青森県,
31312,31,47575.0,青森県,青森,青森（アオモリ）,青森県,1.0
31332,31,,青森県,野辺地,野辺地（ノヘジ）,青森県,
31336,31,,青森県,六ケ所,六ケ所（ロッカショ）,青森県,
31366,31,,青森県,鰺ケ沢,鰺ケ沢（アジガサワ）,青森県,
31386,31,,青森県,青森大谷,青森大谷（アオモリオオタニ）,青森県,
31436,31,47574.0,青森県,深浦,深浦（フカウラ）,青森県,
31461,31,,青森県,弘前,弘前（ヒロサキ）,青森県,
31466,31,,青森県,黒石,黒石（クロイシ）,青森県,
31482,31,,青森県,酸ケ湯,酸ケ湯（スカユ）,青森県,
31506,31,,青森県,三沢,三沢（ミサワ）,青森県,
31586,31,,青森県,十和田,十和田（トワダ）,青森県,
31602,31,47581.0,青森県,八戸,八戸（ハチノヘ）,青森県,
31646,31,,青森県,碇ケ関,碇ケ関（イカリガセキ）,青森県,
31662,31,,青森県,休屋,休屋（ヤスミヤ）,青森県,
31721,31,,青森県,三戸,三戸（サンノヘ）,青森県,
32056,32,,秋田県,八森,八森（ハチモリ）,秋田県,
32111,32,,秋田県,能代,能代（ノシロ）,秋田県,
32126,32,,秋田県,鷹巣,鷹巣（タカノス）,秋田県,
32136,32,,秋田県,大館,大館（オオダテ）,秋田県,
32146,32,,秋田県,鹿角,鹿角（カヅノ）,秋田県,
32181,32,,秋田県,脇神,脇神（ワキガミ）,秋田県,
32206,32,,秋田県,湯瀬,湯瀬（ユゼ）,秋田県,
32266,32,,秋田県,八幡平,八幡平（ハチマンタイ）,秋田県,
32286,32,,秋田県,男鹿,男鹿（オガ）,秋田県,
32287,32,,秋田県,大潟,大潟（オオガタ）,秋田県,
32296,32,,秋田県,五城目,五城目（ゴジョウメ）,秋田県,
32311,32,,秋田県,阿仁合,阿仁合（アニアイ）,秋田県,
32402,32,47582.0,秋田県,秋田,秋田（アキタ）,秋田県,1.0
32407,32,,秋田県,岩見三内,岩見三内（イワミサンナイ）,秋田県,
32451,32,,秋田県,雄和,雄和（ユウワ）,秋田県,
32466,32,,秋田県,角館,角館（カクノダテ）,秋田県,
32476,32,,秋田県,田沢湖,田沢湖（タザワコ）,秋田県,
32496,32,,秋田県,大正寺,大正寺（ダイショウジ）,秋田県,
32551,32,,秋田県,大曲,大曲（オオマガリ）,秋田県,
32571,32,,秋田県,本荘,本荘（ホンジョウ）,秋田県,
32581,32,,秋田県,東由利,東由利（ヒガシユリ）,秋田県,
32596,32,,秋田県,横手,横手（ヨコテ）,秋田県,
32616,32,,秋田県,にかほ,にかほ（ニカホ）,秋田県,
32626,32,,秋田県,矢島,矢島（ヤシマ）,秋田県,
32691,32,,秋田県,湯沢,湯沢（ユザワ）,秋田県,
32771,32,,秋田県,湯の岱,湯の岱（ユノタイ）,秋田県,
33006,33,,岩手県,種市,種市（タネイチ）,岩手県,
33026,33,,岩手県,軽米,軽米（カルマイ）,岩手県,
33071,33,,岩手県,二戸,二戸（ニノヘ）,岩手県,
33136,33,,岩手県,山形,山形（ヤマガタ）,岩手県,
33146,33,,岩手県,久慈,久慈（クジ）,岩手県,
33166,33,,岩手県,荒屋,荒屋（アラヤ）,岩手県,
33176,33,,岩手県,奥中山,奥中山（オクナカヤマ）,岩手県,
33186,33,,岩手県,葛巻,葛巻（クズマキ）,岩手県,
33206,33,,岩手県,普代,普代（フダイ）,岩手県,
33226,33,,岩手県,岩手松尾,岩手松尾（イワテマツオ）,岩手県,
33296,33,,岩手県,好摩,好摩（コウマ）,岩手県,
33326,33,,岩手県,岩泉,岩泉（イワイズミ）,岩手県,
33336,33,,岩手県,小本,小本（オモト）,岩手県,
33371,33,,岩手県,薮川,薮川（ヤブカワ）,岩手県,
33421,33,,岩手県,雫石,雫石（シズクイシ）,岩手県,
33431,33,47584.0,岩手県,盛岡,盛岡（モリオカ）,岩手県,1.0
33441,33,,岩手県,区界,区界（クザカイ）,岩手県,
33472,33,47585.0,岩手県,宮古,宮古（ミヤコ）,岩手県,
33486,33,,岩手県,沢内,沢内（サワウチ）,岩手県,
33501,33,,岩手県,紫波,紫波（シワ）,岩手県,
33526,33,,岩手県,川井,川井（カワイ）,岩手県,
33576,33,,岩手県,花巻,花巻（ハナマキ）,岩手県,
33581,33,,岩手県,大迫,大迫（オオハサマ）,岩手県,
33616,33,,岩手県,山田,山田（ヤマダ）,岩手県,
33631,33,,岩手県,湯田,湯田（ユダ）,岩手県,
33671,33,,岩手県,遠野,遠野（トオノ）,岩手県,
33716,33,,岩手県,北上,北上（キタカミ）,岩手県,
33751,33,,岩手県,釜石,釜石（カマイシ）,岩手県,
33776,33,,岩手県,若柳,若柳（ワカヤナギ）,岩手県,
33781,33,,岩手県,江刺,江刺（エサシ）,岩手県,
33801,33,,岩手県,住田,住田（スミタ）,岩手県,
33877,33,47512.0,岩手県,大船渡,大船渡（オオフナト）,岩手県,
33911,33,,岩手県,一関,一関（イチノセキ）,岩手県,
33921,33,,岩手県,千厩,千厩（センマヤ）,岩手県,
34012,34,,宮城県,駒ノ湯,駒ノ湯（コマノユ）,宮城県,
34026,34,,宮城県,気仙沼,気仙沼（ケセンヌマ）,宮城県,
34096,34,,宮城県,川渡,川渡（カワタビ）,宮城県,
34111,34,,宮城県,築館,築館（ツキダテ）,宮城県,
34171,34,,宮城県,米山,米山（ヨネヤマ）,宮城県,
34186,34,,宮城県,志津川,志津川（シヅガワ）,宮城県,
34216,34,,宮城県,古川,古川（フルカワ）,宮城県,
34266,34,,宮城県,大衡,大衡（オオヒラ）,宮城県,
34276,34,,宮城県,鹿島台,鹿島台（カシマダイ）,宮城県,
34292,34,47592.0,宮城県,石巻,石巻（イシノマキ）,宮城県,
34296,34,,宮城県,女川,女川（オナガワ）,宮城県,
34311,34,,宮城県,新川,新川（ニッカワ）,宮城県,
34331,34,,宮城県,塩釜,塩釜（シオガマ）,宮城県,
34392,34,47590.0,宮城県,仙台,仙台（センダイ）,宮城県,1.0
34436,34,,宮城県,名取,名取（ナトリ）,宮城県,
34461,34,,宮城県,白石,白石（シロイシ）,宮城県,
34462,34,,宮城県,蔵王,蔵王（ザオウ）,宮城県,
34471,34,,宮城県,亘理,亘理（ワタリ）,宮城県,
34506,34,,宮城県,丸森,丸森（マルモリ）,宮城県,
35002,35,,山形県,飛島,飛島（トビシマ）,山形県,
35052,35,47587.0,山形県,酒田,酒田（サカタ）,山形県,
35071,35,,山形県,差首鍋,差首鍋（サスナベ）,山形県,
35086,35,,山形県,浜中,浜中（ハマナカ）,山形県,
35116,35,,山形県,金山,金山（カネヤマ）,山形県,
35141,35,,山形県,鶴岡,鶴岡（ツルオカ）,山形県,
35146,35,,山形県,狩川,狩川（カリカワ）,山形県,
35162,35,47520.0,山形県,新庄,新庄（シンジョウ）,山形県,
35176,35,,山形県,向町,向町（ムカイマチ）,山形県,
35216,35,,山形県,肘折,肘折（ヒジオリ）,山形県,
35231,35,,山形県,尾花沢,尾花沢（オバナザワ）,山形県,
35246,35,,山形県,鼠ケ関,鼠ケ関（ネズガセキ）,山形県,
35332,35,,山形県,村山,村山（ムラヤマ）,山形県,
35334,35,,山形県,東根,東根（ヒガシネ）,山形県,
35361,35,,山形県,大井沢,大井沢（オオイサワ）,山形県,
35376,35,,山形県,左沢,左沢（アテラザワ）,山形県,
35426,35,47588.0,山形県,山形,山形（ヤマガタ）,山形県,1.0
35456,35,,山形県,長井,長井（ナガイ）,山形県,
35486,35,,山形県,小国,小国（オグニ）,山形県,
35511,35,,山形県,高畠,高畠（タカハタ）,山形県,
35541,35,,山形県,高峰,高峰（タカミネ）,山形県,
35552,35,,山形県,米沢,米沢（ヨネザワ）,山形県,
36056,36,,福島県,茂庭,茂庭（モニワ）,福島県,
36066,36,,福島県,梁川,梁川（ヤナガワ）,福島県,
36106,36,,福島県,桧原,桧原（ヒバラ）,福島県,
36127,36,47595.0,福島県,福島,福島（フクシマ）,福島県,1.0
36151,36,,福島県,相馬,相馬（ソウマ）,福島県,
36176,36,,福島県,喜多方,喜多方（キタカタ）,福島県,
36196,36,,福島県,鷲倉,鷲倉（ワシクラ）,福島県,
36221,36,,福島県,飯舘,飯舘（イイタテ）,福島県,
36251,36,,福島県,西会津,西会津（ニシアイヅ）,福島県,
36276,36,,福島県,猪苗代,猪苗代（イナワシロ）,福島県,
36291,36,,福島県,二本松,二本松（ニホンマツ）,福島県,
36342,36,,福島県,金山,金山（カネヤマ）,福島県,
36361,36,47570.0,福島県,若松,若松（ワカマツ）,福島県,
36391,36,,福島県,船引,船引（フネヒキ）,福島県,
36411,36,,福島県,浪江,浪江（ナミエ）,福島県,
36426,36,,福島県,只見,只見（タダミ）,福島県,
36476,36,,福島県,郡山,郡山（コオリヤマ）,福島県,
36501,36,,福島県,川内,川内（カワウチ）,福島県,
36536,36,,福島県,南郷,南郷（ナンゴウ）,福島県,
36562,36,,福島県,湯本,湯本（ユモト）,福島県,
36581,36,,福島県,玉川,玉川（タマカワ）,福島県,
36591,36,,福島県,小野新町,小野新町（オノニイマチ）,福島県,
36611,36,,福島県,広野,広野（ヒロノ）,福島県,
36641,36,,福島県,田島,田島（タジマ）,福島県,
36667,36,47597.0,福島県,白河,白河（シラカワ）,福島県,
36676,36,,福島県,石川,石川（イシカワ）,福島県,
36716,36,,福島県,桧枝岐,桧枝岐（ヒノエマタ）,福島県,
36821,36,,福島県,東白川,東白川（ヒガシシラカワ）,福島県,
36836,36,,福島県,山田,山田（ヤマダ）,福島県,
36846,36,47598.0,福島県,小名浜,小名浜（オナハマ）,福島県,
40046,40,,茨城県,北茨城,北茨城（キタイバラキ）,茨城県,
40061,40,,茨城県,大子,大子（ダイゴ）,茨城県,
40091,40,,茨城県,常陸大宮,常陸大宮（ヒタチオオミヤ）,茨城県,
40136,40,,茨城県,日立,日立（ヒタチ）,茨城県,
40191,40,,茨城県,笠間,笠間（カサマ）,茨城県,
40201,40,47629.0,茨城県,水戸,水戸（ミト）,茨城県,1.0
40221,40,,茨城県,古河,古河（コガ）,茨城県,
40231,40,,茨城県,下館,下館（シモダテ）,茨城県,
40281,40,,茨城県,下妻,下妻（シモツマ）,茨城県,
40311,40,,茨城県,鉾田,鉾田（ホコタ）,茨城県,
40336,40,47646.0,茨城県,つくば（ツクバ）(館野,つくば（ツクバ）(館野（タテノ）),茨城県,
40341,40,,茨城県,土浦,土浦（ツチウラ）,茨城県,
40406,40,,茨城県,鹿嶋,鹿嶋（カシマ）,茨城県,
40426,40,,茨城県,龍ケ崎,龍ケ崎（リュウガサキ）,茨城県,
41011,41,,栃木県,那須高原,那須高原（ナスコウゲン）,栃木県,
41076,41,,栃木県,五十里,五十里（イカリ）,栃木県,
41091,41,,栃木県,黒磯,黒磯（クロイソ）,栃木県,
41116,41,,栃木県,土呂部,土呂部（ドロブ）,栃木県,
41141,41,,栃木県,大田原,大田原（オオタワラ）,栃木県,
41166,41,47690.0,栃木県,奥日光（オクニッコウ）(日光,奥日光（オクニッコウ）(日光（ニツコウ）),栃木県,
41172,41,,栃木県,日光東町,日光東町（ニッコウヒガシマチ）,栃木県,
41181,41,,栃木県,塩谷,塩谷（シオヤ）,栃木県,
41247,41,,栃木県,那須烏山,那須烏山（ナスカラスヤマ）,栃木県,
41271,41,,栃木県,鹿沼,鹿沼（カヌマ）,栃木県,
41277,41,47615.0,栃木県,宇都宮,宇都宮（ウツノミヤ）,栃木県,1.0
41331,41,,栃木県,真岡,真岡（モオカ）,栃木県,
41361,41,,栃木県,佐野,佐野（サノ）,栃木県,
41376,41,,栃木県,小山,小山（オヤマ）,栃木県,
42046,42,,群馬県,藤原,藤原（フジワラ）,群馬県,
42091,42,,群馬県,みなかみ,みなかみ（ミナカミ）,群馬県,
42121,42,,群馬県,草津,草津（クサツ）,群馬県,
42146,42,,群馬県,沼田,沼田（ヌマタ）,群馬県,
42186,42,,群馬県,中之条,中之条（ナカノジョウ）,群馬県,
42221,42,,群馬県,田代,田代（タシロ）,群馬県,
42251,42,47624.0,群馬県,前橋,前橋（マエバシ）,群馬県,1.0
42266,42,,群馬県,桐生,桐生（キリュウ）,群馬県,
42286,42,,群馬県,上里見,上里見（カミサトミ）,群馬県,
42302,42,,群馬県,伊勢崎,伊勢崎（イセサキ）,群馬県,
42326,42,,群馬県,西野牧,西野牧（ニシノマキ）,群馬県,
42366,42,,群馬県,館林,館林（タテバヤシ）,群馬県,
42396,42,,群馬県,神流,神流（カンナ）,群馬県,
43051,43,,埼玉県,寄居,寄居（ヨリイ）,埼玉県,
43056,43,47626.0,埼玉県,熊谷,熊谷（クマガヤ）,埼玉県,
43126,43,,埼玉県,久喜,久喜（クキ）,埼玉県,
43156,43,47641.0,埼玉県,秩父,秩父（チチブ）,埼玉県,
43171,43,,埼玉県,鳩山,鳩山（ハトヤマ）,埼玉県,
43241,43,,埼玉県,さいたま,さいたま（サイタマ）,埼玉県,1.0
43256,43,,埼玉県,越谷,越谷（コシガヤ）,埼玉県,
