name,date,maxtemp,prec_no,points_no
海老名,2020-04-01,13.1,46,46091
海老名,2020-04-02,20.9,46,46091
海老名,2020-04-03,16.9,46,46091
海老名,2020-04-04,20.8,46,46091
海老名,2020-04-05,15.8,46,46091
海老名,2020-04-06,17.3,46,46091
海老名,2020-04-07,18.0,46,46091
海老名,2020-04-08,19.3,46,46091
海老名,2020-04-09,19.9,46,46091
海老名,2020-04-10,16.9,46,46091
海老名,2020-04-11,16.3,46,46091
海老名,2020-04-12,14.9,46,46091
海老名,2020-04-13,9.7,46,46091
海老名,2020-04-14,18.6,46,46091
海老名,2020-04-15,19.3,46,46091
海老名,2020-04-16,17.3,46,46091
海老名,2020-04-17,15.9,46,46091
海老名,2020-04-18,19.2,46,46091
海老名,2020-04-19,23.5,46,46091
海老名,2020-04-20,11.4,46,46091
海老名,2020-04-21,20.1,46,46091
海老名,2020-04-22,19.8,46,46091
海老名,2020-04-23,16.5,46,46091
海老名,2020-04-24,17.5,46,46091
海老名,2020-04-25,16.9,46,46091
海老名,2020-04-26,23.3,46,46091
海老名,2020-04-27,18.9,46,46091
海老名,2020-04-28,17.6,46,46091
海老名,2020-04-29,20.7,46,46091
海老名,2020-04-30,24.0,46,46091
横浜,2020-04-01,12.7,46,46106
横浜,2020-04-02,20.3,46,46106
横浜,2020-04-03,18.2,46,46106
横浜,2020-04-04,21.2,46,46106
横浜,2020-04-05,16.0,46,46106
横浜,2020-04-06,18.4,46,46106
横浜,2020-04-07,16.9,46,46106
横浜,2020-04-08,20.4,46,46106
横浜,2020-04-09,19.1,46,46106
横浜,2020-04-10,17.2,46,46106
横浜,2020-04-11,16.1,46,46106
横浜,2020-04-12,15.6,46,46106
横浜,2020-04-13,10.3,46,46106
横浜,2020-04-14,17.6,46,46106
横浜,2020-04-15,20.8,46,46106
横浜,2020-04-16,15.9,46,46106
横浜,2020-04-17,16.7,46,46106
横浜,2020-04-18,18.1,46,46106
横浜,2020-04-19,23.6,46,46106
横浜,2020-04-20,11.4,46,46106
横浜,2020-04-21,18.7,46,46106
横浜,2020-04-22,19.4,46,46106
横浜,2020-04-23,17.7,46,46106
横浜,2020-04-24,18.2,46,46106
横浜,2020-04-25,18.4,46,46106
横浜,2020-04-26,23.6,46,46106
横浜,2020-04-27,17.7,46,46106
横浜,2020-04-28,19.0,46,46106
横浜,2020-04-29,20.8,46,46106
横浜,2020-04-30,23.4,46,46106
三浦,2020-04-01,13.1,46,46211
三浦,2020-04-02,19.8,46,46211
三浦,2020-04-03,17.1,46,46211
三浦,2020-04-04,19.6,46,46211
三浦,2020-04-05,16.5,46,46211
三浦,2020-04-06,17.0,46,46211
三浦,2020-04-07,16.8,46,46211
三浦,2020-04-08,19.7,46,46211
三浦,2020-04-09,19.0,46,46211
三浦,2020-04-10,17.2,46,46211
三浦,2020-04-11,16.1,46,46211
三浦,2020-04-12,14.8,46,46211
三浦,2020-04-13,10.7,46,46211
三浦,2020-04-14,18.0,46,46211
三浦,2020-04-15,20.2,46,46211
三浦,2020-04-16,17.0,46,46211
三浦,2020-04-17,15.7,46,46211
三浦,2020-04-18,18.6,46,46211
三浦,2020-04-19,22.0,46,46211
三浦,2020-04-20,11.7,46,46211
三浦,2020-04-21,18.1,46,46211
三浦,2020-04-22,19.7,46,46211
三浦,2020-04-23,17.0 ),46,46211
三浦,2020-04-24,17.8,46,46211
三浦,2020-04-25,17.3,46,46211
三浦,2020-04-26,21.4,46,46211
三浦,2020-04-27,19.6,46,46211
三浦,2020-04-28,18.7,46,46211
三浦,2020-04-29,20.0,46,46211
三浦,2020-04-30,22.2,46,46211
小田原,2020-04-01,13.8,46,46166
小田原,2020-04-02,21.6,46,46166
小田原,2020-04-03,17.0,46,46166
小田原,2020-04-04,21.2,46,46166
小田原,2020-04-05,16.5,46,46166
小田原,2020-04-06,17.0,46,46166
小田原,2020-04-07,16.9,46,46166
小田原,2020-04-08,19.9,46,46166
小田原,2020-04-09,18.6,46,46166
小田原,2020-04-10,16.1,46,46166
小田原,2020-04-11,15.5,46,46166
小田原,2020-04-12,14.1,46,46166
小田原,2020-04-13,12.1,46,46166
小田原,2020-04-14,18.3,46,46166
小田原,2020-04-15,20.3,46,46166
小田原,2020-04-16,17.5,46,46166
小田原,2020-04-17,14.4,46,46166
小田原,2020-04-18,19.8,46,46166
小田原,2020-04-19,22.0,46,46166
小田原,2020-04-20,12.4,46,46166
小田原,2020-04-21,19.6,46,46166
小田原,2020-04-22,20.4,46,46166
小田原,2020-04-23,17.1,46,46166
小田原,2020-04-24,16.8,46,46166
小田原,2020-04-25,18.0,46,46166
小田原,2020-04-26,23.5,46,46166
小田原,2020-04-27,18.7,46,46166
小田原,2020-04-28,16.9,46,46166
小田原,2020-04-29,21.9,46,46166
小田原,2020-04-30,22.5,46,46166
辻堂,2020-04-01,13.9,46,46141
辻堂,2020-04-02,20.7,46,46141
辻堂,2020-04-03,17.8,46,46141
辻堂,2020-04-04,19.5,46,46141
辻堂,2020-04-05,16.3,46,46141
辻堂,2020-04-06,17.7,46,46141
辻堂,2020-04-07,18.6,46,46141
辻堂,2020-04-08,19.3,46,46141
辻堂,2020-04-09,20.2,46,46141
辻堂,2020-04-10,17.3,46,46141
辻堂,2020-04-11,17.2,46,46141
辻堂,2020-04-12,15.0,46,46141
辻堂,2020-04-13,10.4,46,46141
辻堂,2020-04-14,19.3,46,46141
辻堂,2020-04-15,20.2,46,46141
辻堂,2020-04-16,17.1,46,46141
辻堂,2020-04-17,15.6,46,46141
辻堂,2020-04-18,18.1,46,46141
辻堂,2020-04-19,22.9,46,46141
辻堂,2020-04-20,11.7,46,46141
辻堂,2020-04-21,19.1,46,46141
辻堂,2020-04-22,20.5,46,46141
辻堂,2020-04-23,17.8,46,46141
辻堂,2020-04-24,18.3,46,46141
辻堂,2020-04-25,17.4,46,46141
辻堂,2020-04-26,22.9,46,46141
辻堂,2020-04-27,19.1,46,46141
辻堂,2020-04-28,19.4,46,46141
辻堂,2020-04-29,20.3,46,46141
辻堂,2020-04-30,22.7,46,46141
