name,date,maxtemp,prec_no,points_no
福井,2011-06-01,17.4,57,57066
福井,2011-06-02,23.5,57,57066
福井,2011-06-03,25.9,57,57066
福井,2011-06-04,29.0,57,57066
福井,2011-06-05,27.0,57,57066
福井,2011-06-06,27.0,57,57066
福井,2011-06-07,29.6,57,57066
福井,2011-06-08,27.9,57,57066
福井,2011-06-09,29.2,57,57066
福井,2011-06-10,27.7,57,57066
福井,2011-06-11,24.8,57,57066
福井,2011-06-12,23.1,57,57066
福井,2011-06-13,26.8,57,57066
福井,2011-06-14,24.7,57,57066
福井,2011-06-15,23.5,57,57066
福井,2011-06-16,26.4,57,57066
福井,2011-06-17,26.6,57,57066
福井,2011-06-18,23.9,57,57066
福井,2011-06-19,27.8,57,57066
福井,2011-06-20,28.0,57,57066
福井,2011-06-21,31.1,57,57066
福井,2011-06-22,31.1,57,57066
福井,2011-06-23,33.2,57,57066
福井,2011-06-24,32.0,57,57066
福井,2011-06-25,30.4,57,57066
福井,2011-06-26,32.3,57,57066
福井,2011-06-27,32.3,57,57066
福井,2011-06-28,33.6,57,57066
福井,2011-06-29,33.3,57,57066
福井,2011-06-30,32.4,57,57066
大野,2011-06-01,18.0,57,57121
大野,2011-06-02,21.0,57,57121
大野,2011-06-03,26.3,57,57121
大野,2011-06-04,28.3,57,57121
大野,2011-06-05,26.9,57,57121
大野,2011-06-06,26.1,57,57121
大野,2011-06-07,27.9,57,57121
大野,2011-06-08,28.0,57,57121
大野,2011-06-09,27.4,57,57121
大野,2011-06-10,26.5,57,57121
大野,2011-06-11,23.0,57,57121
大野,2011-06-12,22.3,57,57121
大野,2011-06-13,25.7,57,57121
大野,2011-06-14,24.0,57,57121
大野,2011-06-15,24.2,57,57121
大野,2011-06-16,24.7,57,57121
大野,2011-06-17,27.2,57,57121
大野,2011-06-18,23.7,57,57121
大野,2011-06-19,26.5,57,57121
大野,2011-06-20,25.5,57,57121
大野,2011-06-21,29.6,57,57121
大野,2011-06-22,30.1,57,57121
大野,2011-06-23,30.7,57,57121
大野,2011-06-24,30.3,57,57121
大野,2011-06-25,30.2,57,57121
大野,2011-06-26,32.1,57,57121
大野,2011-06-27,30.7,57,57121
大野,2011-06-28,32.3,57,57121
大野,2011-06-29,31.4,57,57121
大野,2011-06-30,31.6,57,57121
今庄,2011-06-01,17.8,57,57206
今庄,2011-06-02,22.4,57,57206
今庄,2011-06-03,26.8,57,57206
今庄,2011-06-04,27.9,57,57206
今庄,2011-06-05,26.2,57,57206
今庄,2011-06-06,25.8,57,57206
今庄,2011-06-07,26.8,57,57206
今庄,2011-06-08,27.4,57,57206
今庄,2011-06-09,28.5,57,57206
今庄,2011-06-10,27.2,57,57206
今庄,2011-06-11,21.6,57,57206
今庄,2011-06-12,21.5,57,57206
今庄,2011-06-13,24.3,57,57206
今庄,2011-06-14,22.6,57,57206
今庄,2011-06-15,23.0,57,57206
今庄,2011-06-16,23.9,57,57206
今庄,2011-06-17,26.0,57,57206
今庄,2011-06-18,22.1,57,57206
今庄,2011-06-19,26.1,57,57206
今庄,2011-06-20,25.2,57,57206
今庄,2011-06-21,29.1,57,57206
今庄,2011-06-22,29.5,57,57206
今庄,2011-06-23,32.4,57,57206
今庄,2011-06-24,31.8,57,57206
今庄,2011-06-25,30.4,57,57206
今庄,2011-06-26,31.9,57,57206
今庄,2011-06-27,31.4,57,57206
今庄,2011-06-28,33.0,57,57206
今庄,2011-06-29,31.6,57,57206
今庄,2011-06-30,31.1,57,57206
敦賀,2011-06-01,18.3,57,57248
敦賀,2011-06-02,23.1,57,57248
敦賀,2011-06-03,25.8,57,57248
敦賀,2011-06-04,28.3,57,57248
敦賀,2011-06-05,25.5,57,57248
敦賀,2011-06-06,24.2,57,57248
敦賀,2011-06-07,26.5,57,57248
敦賀,2011-06-08,28.0,57,57248
敦賀,2011-06-09,28.3,57,57248
敦賀,2011-06-10,26.9,57,57248
敦賀,2011-06-11,23.1,57,57248
敦賀,2011-06-12,22.9,57,57248
敦賀,2011-06-13,24.1,57,57248
敦賀,2011-06-14,23.0,57,57248
敦賀,2011-06-15,23.3,57,57248
敦賀,2011-06-16,24.6,57,57248
敦賀,2011-06-17,24.8,57,57248
敦賀,2011-06-18,24.1,57,57248
敦賀,2011-06-19,24.9,57,57248
敦賀,2011-06-20,26.2,57,57248
敦賀,2011-06-21,31.3,57,57248
敦賀,2011-06-22,31.2,57,57248
敦賀,2011-06-23,33.7,57,57248
敦賀,2011-06-24,33.0,57,57248
敦賀,2011-06-25,31.1,57,57248
敦賀,2011-06-26,32.0,57,57248
敦賀,2011-06-27,32.3,57,57248
敦賀,2011-06-28,33.3,57,57248
敦賀,2011-06-29,33.0,57,57248
敦賀,2011-06-30,30.9,57,57248
小浜,2011-06-01,19.5,57,57317
小浜,2011-06-02,23.9,57,57317
小浜,2011-06-03,26.8,57,57317
小浜,2011-06-04,30.7,57,57317
小浜,2011-06-05,26.9,57,57317
小浜,2011-06-06,26.2,57,57317
小浜,2011-06-07,27.2,57,57317
小浜,2011-06-08,30.5,57,57317
小浜,2011-06-09,30.3,57,57317
小浜,2011-06-10,28.3,57,57317
小浜,2011-06-11,23.4,57,57317
小浜,2011-06-12,22.9,57,57317
小浜,2011-06-13,24.7,57,57317
小浜,2011-06-14,23.3,57,57317
小浜,2011-06-15,23.9,57,57317
小浜,2011-06-16,24.7,57,57317
小浜,2011-06-17,25.8,57,57317
小浜,2011-06-18,24.4,57,57317
小浜,2011-06-19,26.0,57,57317
小浜,2011-06-20,26.9,57,57317
小浜,2011-06-21,33.3,57,57317
小浜,2011-06-22,32.4,57,57317
小浜,2011-06-23,35.7,57,57317
小浜,2011-06-24,35.0,57,57317
小浜,2011-06-25,31.2,57,57317
小浜,2011-06-26,33.8,57,57317
小浜,2011-06-27,33.6,57,57317
小浜,2011-06-28,35.9,57,57317
小浜,2011-06-29,33.4,57,57317
小浜,2011-06-30,32.8,57,57317
美浜,2011-06-01,19.3,57,57286
美浜,2011-06-02,22.9,57,57286
美浜,2011-06-03,23.1,57,57286
美浜,2011-06-04,29.6,57,57286
美浜,2011-06-05,27.4,57,57286
美浜,2011-06-06,23.8,57,57286
美浜,2011-06-07,26.6,57,57286
美浜,2011-06-08,25.1,57,57286
美浜,2011-06-09,29.6,57,57286
美浜,2011-06-10,28.3,57,57286
美浜,2011-06-11,23.1,57,57286
美浜,2011-06-12,22.5,57,57286
美浜,2011-06-13,24.7,57,57286
美浜,2011-06-14,22.9,57,57286
美浜,2011-06-15,23.2,57,57286
美浜,2011-06-16,24.6,57,57286
美浜,2011-06-17,25.8,57,57286
美浜,2011-06-18,23.3,57,57286
美浜,2011-06-19,24.0,57,57286
美浜,2011-06-20,27.3,57,57286
美浜,2011-06-21,31.6,57,57286
美浜,2011-06-22,33.0,57,57286
美浜,2011-06-23,35.6,57,57286
美浜,2011-06-24,35.4,57,57286
美浜,2011-06-25,29.0,57,57286
美浜,2011-06-26,32.1,57,57286
美浜,2011-06-27,32.5,57,57286
美浜,2011-06-28,34.7,57,57286
美浜,2011-06-29,31.6,57,57286
美浜,2011-06-30,30.8,57,57286
三国,2011-06-01,17.4,57,57001
三国,2011-06-02,22.6,57,57001
三国,2011-06-03,20.7,57,57001
三国,2011-06-04,28.1,57,57001
三国,2011-06-05,25.8,57,57001
三国,2011-06-06,22.5,57,57001
三国,2011-06-07,28.4,57,57001
三国,2011-06-08,23.2,57,57001
三国,2011-06-09,28.3,57,57001
三国,2011-06-10,26.4,57,57001
三国,2011-06-11,22.1,57,57001
三国,2011-06-12,22.0,57,57001
三国,2011-06-13,23.7,57,57001
三国,2011-06-14,21.6,57,57001
三国,2011-06-15,21.2,57,57001
三国,2011-06-16,22.7,57,57001
三国,2011-06-17,22.3,57,57001
三国,2011-06-18,22.2,57,57001
三国,2011-06-19,23.3,57,57001
三国,2011-06-20,27.8,57,57001
三国,2011-06-21,29.4,57,57001
三国,2011-06-22,30.8,57,57001
三国,2011-06-23,32.8,57,57001
三国,2011-06-24,29.5,57,57001
三国,2011-06-25,27.9,57,57001
三国,2011-06-26,27.6,57,57001
三国,2011-06-27,29.3,57,57001
三国,2011-06-28,32.6,57,57001
三国,2011-06-29,30.7,57,57001
三国,2011-06-30,29.9,57,57001
勝山,2011-06-01,17.8,57,57082
勝山,2011-06-02,21.8,57,57082
勝山,2011-06-03,26.1,57,57082
勝山,2011-06-04,28.2,57,57082
勝山,2011-06-05,27.2,57,57082
勝山,2011-06-06,25.7,57,57082
勝山,2011-06-07,28.0,57,57082
勝山,2011-06-08,27.5,57,57082
勝山,2011-06-09,27.9,57,57082
勝山,2011-06-10,27.2,57,57082
勝山,2011-06-11,22.7,57,57082
勝山,2011-06-12,22.6,57,57082
勝山,2011-06-13,25.1,57,57082
勝山,2011-06-14,23.5,57,57082
勝山,2011-06-15,23.2,57,57082
勝山,2011-06-16,25.0,57,57082
勝山,2011-06-17,26.6,57,57082
勝山,2011-06-18,23.9,57,57082
勝山,2011-06-19,26.4,57,57082
勝山,2011-06-20,26.2,57,57082
勝山,2011-06-21,29.4,57,57082
勝山,2011-06-22,31.3,57,57082
勝山,2011-06-23,30.6,57,57082
勝山,2011-06-24,29.4,57,57082
勝山,2011-06-25,29.3,57,57082
勝山,2011-06-26,32.6,57,57082
勝山,2011-06-27,31.1,57,57082
勝山,2011-06-28,32.6,57,57082
勝山,2011-06-29,31.0,57,57082
勝山,2011-06-30,31.3,57,57082
越廼,2011-06-01,20.0,57,57051
越廼,2011-06-02,23.0,57,57051
越廼,2011-06-03,23.8,57,57051
越廼,2011-06-04,28.8,57,57051
越廼,2011-06-05,26.4,57,57051
越廼,2011-06-06,25.0,57,57051
越廼,2011-06-07,28.0,57,57051
越廼,2011-06-08,25.4,57,57051
越廼,2011-06-09,29.1,57,57051
越廼,2011-06-10,27.9,57,57051
越廼,2011-06-11,23.7,57,57051
