name,date,maxtemp,prec_no,points_no
梁川,2009-12-01,13.3,36,36066
梁川,2009-12-02,15.4,36,36066
梁川,2009-12-03,8.4,36,36066
梁川,2009-12-04,12.0,36,36066
梁川,2009-12-05,7.8,36,36066
梁川,2009-12-06,13.9,36,36066
梁川,2009-12-07,10.0,36,36066
梁川,2009-12-08,10.4,36,36066
梁川,2009-12-09,12.2,36,36066
梁川,2009-12-10,10.7,36,36066
梁川,2009-12-11,5.8,36,36066
梁川,2009-12-12,13.2,36,36066
梁川,2009-12-13,9.5,36,36066
梁川,2009-12-14,8.9,36,36066
梁川,2009-12-15,7.7,36,36066
梁川,2009-12-16,3.9,36,36066
梁川,2009-12-17,4.5,36,36066
梁川,2009-12-18,1.9,36,36066
梁川,2009-12-19,0.9,36,36066
梁川,2009-12-20,5.2,36,36066
梁川,2009-12-21,2.3,36,36066
梁川,2009-12-22,8.4,36,36066
梁川,2009-12-23,8.9,36,36066
梁川,2009-12-24,8.2,36,36066
梁川,2009-12-25,8.8,36,36066
梁川,2009-12-26,12.1,36,36066
梁川,2009-12-27,9.0,36,36066
梁川,2009-12-28,9.2,36,36066
梁川,2009-12-29,6.0,36,36066
梁川,2009-12-30,7.1,36,36066
梁川,2009-12-31,5.2,36,36066
福島,2009-12-01,14.1,36,36127
福島,2009-12-02,15.6,36,36127
福島,2009-12-03,8.5,36,36127
福島,2009-12-04,12.5,36,36127
福島,2009-12-05,9.1,36,36127
福島,2009-12-06,14.6,36,36127
福島,2009-12-07,10.0,36,36127
福島,2009-12-08,11.2,36,36127
福島,2009-12-09,12.3,36,36127
福島,2009-12-10,10.8,36,36127
福島,2009-12-11,6.1,36,36127
福島,2009-12-12,13.2,36,36127
福島,2009-12-13,9.0,36,36127
福島,2009-12-14,10.2,36,36127
福島,2009-12-15,7.9,36,36127
福島,2009-12-16,4.0,36,36127
福島,2009-12-17,4.8,36,36127
福島,2009-12-18,3.2,36,36127
福島,2009-12-19,2.7,36,36127
福島,2009-12-20,5.9,36,36127
福島,2009-12-21,3.3,36,36127
福島,2009-12-22,8.8,36,36127
福島,2009-12-23,9.5,36,36127
福島,2009-12-24,8.8,36,36127
福島,2009-12-25,9.4,36,36127
福島,2009-12-26,11.6,36,36127
福島,2009-12-27,9.0,36,36127
福島,2009-12-28,8.6,36,36127
福島,2009-12-29,6.5,36,36127
福島,2009-12-30,8.3,36,36127
福島,2009-12-31,7.5,36,36127
相馬,2009-12-01,11.4,36,36151
相馬,2009-12-02,15.6,36,36151
相馬,2009-12-03,8.9,36,36151
相馬,2009-12-04,10.9,36,36151
相馬,2009-12-05,12.5,36,36151
相馬,2009-12-06,15.3,36,36151
相馬,2009-12-07,11.0,36,36151
相馬,2009-12-08,10.8,36,36151
相馬,2009-12-09,12.0,36,36151
相馬,2009-12-10,9.1,36,36151
相馬,2009-12-11,8.9,36,36151
相馬,2009-12-12,13.7,36,36151
相馬,2009-12-13,9.4,36,36151
相馬,2009-12-14,8.7,36,36151
相馬,2009-12-15,8.6,36,36151
相馬,2009-12-16,4.4,36,36151
相馬,2009-12-17,4.6,36,36151
相馬,2009-12-18,3.1,36,36151
相馬,2009-12-19,3.6,36,36151
