観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),24日の最高気温(℃),24日の最高気温の品質情報,24日の最高気温起時（時）,24日の最高気温起時（分）,24日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（23日まで）,今年の最高気温（23日まで）の品質情報,今年の最高気温（23日まで）を観測した起日（年）,今年の最高気温（23日まで）を観測した起日（月）,今年の最高気温（23日まで）を観測した起日（日）,23日までの観測史上1位の値（℃）,23日までの観測史上1位の値の品質情報,23日までの観測史上1位の値を観測した起日（年）,23日までの観測史上1位の値を観測した起日（月）,23日までの観測史上1位の値を観測した起日（日）,23日までの10月の1位の値,23日までの10月の1位の値の品質情報,23日までの10月の1位の値の起日（年）,23日までの10月の1位の値の起日（月）,23日までの10月の1位の値の起日（日）,統計開始年,date
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2025,10,24,10,0,7.5,4,10,0,4,,,,,,,0,28.7,5,2025,7,7,31.9,8,2000,8,1,23.6,8,2025,10,4,1978,2025-10-24
11016,北海道宗谷地方,稚内（ワッカナイ）,47401.0,2025,10,24,10,0,6.4,4,9,23,4,,,,,,,0,28.3,5,2025,8,4,32.7,8,2021,7,29,23.5,8,1956,10,2,1938,2025-10-24
11046,北海道宗谷地方,礼文（レブン）,,2025,10,24,10,0,5.5,4,1,48,4,,,,,,,0,29.0,5,2025,8,5,30.5,8,2022,7,31,23.1,8,2025,10,2,2003,2025-10-24
11061,北海道宗谷地方,声問（コエトイ）,,2025,10,24,10,0,6.2,4,10,0,4,,,,,,,0,29.5,5,2025,7,14,33.3,8,2021,7,29,23.6,8,2025,10,4,2003,2025-10-24
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2025,10,24,10,0,6.4,4,7,7,4,,,,,,,0,31.1,5,2025,7,7,32.7,8,2000,7,31,24.2,8,2025,10,4,1978,2025-10-24
11091,北海道宗谷地方,本泊（モトドマリ）,,2025,10,24,10,0,5.6,4,8,17,4,,,,,,,0,30.2,5,2025,7,7,31.8,8,2021,8,7,23.3,8,2025,10,4,2003,2025-10-24
11121,北海道宗谷地方,沼川（ヌマカワ）,,2025,10,24,10,0,4.4,4,9,33,4,,,,,,,0,29.5,5,2025,8,4,32.4,8,2021,7,29,23.9,8,2025,10,3,1977,2025-10-24
11151,北海道宗谷地方,沓形（クツガタ）,,2025,10,24,10,0,4.8,4,8,29,4,,,,,,,0,28.2,5,2025,7,30,32.5,8,1989,8,7,23.1,8,2025,10,4,1977,2025-10-24
11176,北海道宗谷地方,豊富（トヨトミ）,,2025,10,24,10,0,5.3,4,9,56,4,,,,,,,0,31.1,4,2025,8,3,33.1,8,2000,8,1,23.5,8,2025,10,1,1977,2025-10-24
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2025,10,24,10,0,6.2,4,9,59,4,,,,,,,0,31.8,5,2025,7,25,33.6,4,1989,7,27,25.6,8,2025,10,4,1977,2025-10-24
11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2025,10,24,10,0,4.5,4,9,54,4,,,,,,,0,33.5,5,2025,7,14,35.8,8,2021,8,7,26.0,8,2025,10,4,1977,2025-10-24
11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402.0,2025,10,24,10,0,7.3,4,9,59,4,,,,,,,0,32.2,5,2025,7,23,35.0,8,2000,7,31,27.7,8,2022,10,1,1942,2025-10-24
11316,北海道宗谷地方,歌登（ウタノボリ）,,2025,10,24,10,0,3.9,4,9,58,4,,,,,,,0,33.3,5,2025,8,1,35.4,8,1989,7,26,27.5,8,2022,10,1,1977,2025-10-24
12011,北海道上川地方,中川（ナカガワ）,,2025,10,24,10,0,4.4,4,9,57,4,,,,,,,0,32.5,5,2025,8,3,36.2,8,2021,7,28,26.0,8,2025,10,4,1977,2025-10-24
12041,北海道上川地方,音威子府（オトイネップ）,,2025,10,24,10,0,3.3,4,9,20,4,,,,,,,0,34.2,5,2025,7,14,36.6,8,2021,7,28,26.9,8,2025,10,4,1977,2025-10-24
12141,北海道上川地方,美深（ビフカ）,,2025,10,24,10,0,2.8,4,9,50,4,,,,,,,0,34.6,5,2025,7,14,36.6,8,2021,7,28,27.3,8,2022,10,1,1977,2025-10-24
12181,北海道上川地方,名寄（ナヨロ）,,2025,10,24,10,0,3.1,4,9,53,4,,,,,,,0,34.5,5,2025,7,14,36.4,8,2021,7,28,27.6,8,2022,10,1,1976,2025-10-24
12231,北海道上川地方,下川（シモカワ）,,2025,10,24,10,0,4.0,4,9,57,4,,,,,,,0,34.6,5,2025,7,14,37.3,8,2021,7,28,26.7,8,2022,10,1,1977,2025-10-24
12261,北海道上川地方,士別（シベツ）,,2025,10,24,10,0,3.8,4,9,50,4,,,,,,,0,34.3,5,2025,7,14,37.0,8,2021,8,7,26.6,8,2022,10,1,1977,2025-10-24
12266,北海道上川地方,朝日（アサヒ）,,2025,10,24,10,0,6.0,4,10,0,4,,,,,,,0,36.4,5,2025,7,14,37.2,8,2021,8,7,26.6,8,2022,10,1,1977,2025-10-24
12301,北海道上川地方,和寒（ワッサム）,,2025,10,24,10,0,3.8,4,9,58,4,,,,,,,0,34.5,5,2025,7,14,36.8,8,2021,8,7,27.0,8,2022,10,1,1977,2025-10-24
12386,北海道上川地方,江丹別（エタンベツ）,,2025,10,24,10,0,5.8,4,9,36,4,,,,,,,0,33.9,5,2025,7,14,38.4,8,2021,7,31,26.6,8,2022,10,1,1977,2025-10-24
12396,北海道上川地方,比布（ピップ）,,2025,10,24,10,0,6.7,4,9,59,4,,,,,,,0,34.9,5,2025,7,14,36.9,8,2021,8,7,27.7,8,2022,10,1,1977,2025-10-24
12411,北海道上川地方,上川（カミカワ）,,2025,10,24,10,0,4.3,4,10,0,4,,,,,,,0,32.9,4,2025,7,14,35.1,8,2021,8,7,26.3,8,2022,10,1,1977,2025-10-24
12442,北海道上川地方,旭川（アサヒカワ）,47407.0,2025,10,24,10,0,5.8,4,9,51,4,,,,,,,0,35.1,5,2025,7,14,37.9,8,2021,8,7,28.2,8,2022,10,1,1888,2025-10-24
12451,北海道上川地方,東川（ヒガシカワ）,,2025,10,24,10,0,4.6,4,9,46,4,,,,,,,0,34.9,5,2025,7,14,37.0,8,2021,8,6,28.1,8,2022,10,1,1977,2025-10-24
12501,北海道上川地方,東神楽（ヒガシカグラ）,,2025,10,24,10,0,4.5,4,10,0,4,,,,,,,0,34.3,5,2025,7,14,36.1,8,2021,8,7,27.0,8,2022,10,1,2003,2025-10-24
12512,北海道上川地方,志比内（シビナイ）,,2025,10,24,10,0,5.3,4,9,53,4,,,,,,,0,33.6,5,2025,7,24,35.3,8,2021,8,7,27.2,8,2022,10,1,1993,2025-10-24
12551,北海道上川地方,美瑛（ビエイ）,,2025,10,24,10,0,4.0,4,10,0,4,,,,,,,0,34.4,5,2025,7,24,37.1,8,2021,8,7,27.2,8,2022,10,1,1977,2025-10-24
12596,北海道上川地方,上富良野（カミフラノ）,,2025,10,24,10,0,4.3,4,9,38,4,,,,,,,0,35.3,5,2025,7,25,37.5,8,2021,8,7,28.7,8,2022,10,1,1977,2025-10-24
12626,北海道上川地方,富良野（フラノ）,,2025,10,24,10,0,3.2,4,9,59,4,,,,,,,0,36.0,5,2025,7,24,38.5,8,2021,8,7,29.2,8,2022,10,1,1976,2025-10-24
12632,北海道上川地方,麓郷（ロクゴウ）,,2025,10,24,10,0,1.7,4,10,0,4,,,,,,,0,34.7,5,2025,7,25,37.4,8,2021,8,7,27.4,8,2022,10,1,1978,2025-10-24
12691,北海道上川地方,幾寅（イクトラ）,,2025,10,24,10,0,2.1,4,10,0,4,,,,,,,0,35.0,5,2025,7,24,35.0,8,2025,7,24,26.3,8,2022,10,1,1977,2025-10-24
12746,北海道上川地方,占冠（シムカップ）,,2025,10,24,10,0,5.3,4,9,57,4,,,,,,,0,33.6,5,2025,7,24,34.6,8,2021,7,19,25.2,8,2022,10,1,1977,2025-10-24
15041,北海道上川地方,朱鞠内（シュマリナイ）,,2025,10,24,10,0,1.5,4,9,59,4,,,,,,,0,33.2,5,2025,7,14,34.9,8,2021,7,28,26.1,8,2022,10,1,1978,2025-10-24
15076,北海道上川地方,幌加内（ホロカナイ）,,2025,10,24,10,0,3.5,4,9,59,4,,,,,,,0,33.7,5,2025,7,25,37.3,8,2021,7,28,26.1,8,2022,10,1,1977,2025-10-24
13061,北海道留萌地方,天塩（テシオ）,,2025,10,24,10,0,5.0,4,9,43,4,,,,,,,0,30.6,5,2025,7,30,33.8,4,2021,7,27,24.0,8,2025,10,1,1977,2025-10-24
13086,北海道留萌地方,遠別（エンベツ）,,2025,10,24,10,0,4.8,4,9,55,4,,,,,,,0,30.6,5,2025,8,3,34.2,8,1979,8,18,24.1,8,2022,10,1,1977,2025-10-24
13121,北海道留萌地方,初山別（ショサンベツ）,,2025,10,24,10,0,6.6,4,10,0,4,,,,,,,0,30.9,5,2025,7,29,33.8,8,2021,8,1,24.0,8,2022,10,3,1977,2025-10-24
13146,北海道留萌地方,焼尻（ヤギシリ）,,2025,10,24,10,0,8.0,4,9,56,4,,,,,,,0,30.0,5,2025,8,3,32.4,8,2023,8,24,23.3,8,2025,10,4,1977,2025-10-24
13181,北海道留萌地方,羽幌（ハボロ）,47404.0,2025,10,24,10,0,6.9,4,10,0,4,,,,,,,0,31.8,5,2025,7,17,34.4,8,2021,8,1,25.4,8,2022,10,1,1921,2025-10-24
13261,北海道留萌地方,達布（タップ）,,2025,10,24,10,0,6.3,4,9,59,4,,,,,,,0,34.1,5,2025,7,14,38.7,8,2021,8,7,28.9,8,2022,10,1,1977,2025-10-24
13277,北海道留萌地方,留萌（ルモイ）,47406.0,2025,10,24,10,0,5.1,4,10,0,4,,,,,,,0,32.6,5,2025,7,17,35.6,8,2021,8,1,28.3,8,2022,10,1,1943,2025-10-24
13311,北海道留萌地方,増毛（マシケ）,,2025,10,24,10,0,7.6,4,9,51,4,,,,,,,0,32.8,5,2025,7,23,34.2,8,2021,8,1,29.2,8,2022,10,1,1978,2025-10-24
13321,北海道留萌地方,幌糠（ホロヌカ）,,2025,10,24,10,0,5.0,4,9,39,4,,,,,,,0,33.8,5,2025,7,23,35.9,8,2021,8,7,28.3,8,2022,10,1,1977,2025-10-24
14026,北海道石狩地方,浜益（ハママス）,,2025,10,24,10,0,7.8,4,9,59,4,,,,,,,0,33.2,5,2025,7,17,34.6,8,1989,8,7,28.0,8,2022,10,1,1977,2025-10-24
14071,北海道石狩地方,厚田（アツタ）,,2025,10,24,10,0,4.6,4,9,49,4,,,,,,,0,32.5,4,2025,7,30,36.1,8,2021,7,28,27.2,8,2022,10,1,1977,2025-10-24
14101,北海道石狩地方,新篠津（シンシノツ）,,2025,10,24,10,0,5.5,4,9,22,4,,,,,,,0,35.4,5,2025,7,25,35.5,8,2023,8,25,26.6,8,2025,10,3,1978,2025-10-24
