観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),15日の最高気温(℃),15日の最高気温の品質情報,15日の最高気温起時（時）,15日の最高気温起時（分）,15日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（14日まで）,今年の最高気温（14日まで）の品質情報,今年の最高気温（14日まで）を観測した起日（年）,今年の最高気温（14日まで）を観測した起日（月）,今年の最高気温（14日まで）を観測した起日（日）,14日までの観測史上1位の値（℃）,14日までの観測史上1位の値の品質情報,14日までの観測史上1位の値を観測した起日（年）,14日までの観測史上1位の値を観測した起日（月）,14日までの観測史上1位の値を観測した起日（日）,14日までの10月の1位の値,14日までの10月の1位の値の品質情報,14日までの10月の1位の値の起日（年）,14日までの10月の1位の値の起日（月）,14日までの10月の1位の値の起日（日）,統計開始年,date
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2025,10,15,20,0,11.6,5,0.0,5.0,5.0,-2.3,-1.1,10.0,3.0,,,0.0,28.7,4,2025,7,7,31.9,8,2000,8,1,23.6,8,2025,10,4,1978,2025-10-15
11016,北海道宗谷地方,稚内（ワッカナイ）,47401.0,2025,10,15,20,0,11.8,4,0.0,6.0,4.0,-2.4,-1.4,10.0,3.0,,,0.0,28.3,4,2025,8,4,32.7,8,2021,7,29,23.5,8,1956,10,2,1938,2025-10-15
11046,北海道宗谷地方,礼文（レブン）,,2025,10,15,20,0,11.7,5,8.0,30.0,5.0,-2.3,-2.3,10.0,3.0,,,0.0,29.0,4,2025,8,5,30.5,8,2022,7,31,23.1,8,2025,10,2,2003,2025-10-15
11061,北海道宗谷地方,声問（コエトイ）,,2025,10,15,20,0,12.0,5,0.0,13.0,5.0,-2.4,-1.1,10.0,3.0,,,0.0,29.5,4,2025,7,14,33.3,8,2021,7,29,23.6,8,2025,10,4,2003,2025-10-15
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2025,10,15,20,0,10.6,5,1.0,7.0,5.0,-3.2,-2.6,10.0,3.0,,,0.0,31.1,4,2025,7,7,32.7,8,2000,7,31,24.2,8,2025,10,4,1978,2025-10-15
11091,北海道宗谷地方,本泊（モトドマリ）,,2025,10,15,20,0,11.3,5,10.0,45.0,5.0,-2.9,-2.1,10.0,3.0,,,0.0,30.2,4,2025,7,7,31.8,8,2021,8,7,23.3,8,2025,10,4,2003,2025-10-15
11121,北海道宗谷地方,沼川（ヌマカワ）,,2025,10,15,20,0,10.8,5,12.0,36.0,5.0,-3.2,-2.2,10.0,3.0,,,0.0,29.5,4,2025,8,4,32.4,8,2021,7,29,23.9,8,2025,10,3,1977,2025-10-15
11151,北海道宗谷地方,沓形（クツガタ）,,2025,10,15,20,0,11.8,5,0.0,6.0,5.0,-2.7,-3.0,10.0,3.0,,,0.0,28.2,4,2025,7,30,32.5,8,1989,8,7,23.1,8,2025,10,4,1977,2025-10-15
11176,北海道宗谷地方,豊富（トヨトミ）,,2025,10,15,20,0,10.8,5,11.0,13.0,5.0,-3.5,-2.0,10.0,3.0,,,0.0,31.1,4,2025,8,3,33.1,8,2000,8,1,23.5,8,2025,10,1,1977,2025-10-15
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2025,10,15,20,0,10.5,5,14.0,4.0,5.0,-3.7,-3.4,10.0,3.0,,,0.0,31.8,4,2025,7,25,33.6,4,1989,7,27,25.6,8,2025,10,4,1977,2025-10-15
11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2025,10,15,20,0,12.0,5,12.0,35.0,5.0,-2.4,-2.2,10.0,3.0,,,0.0,33.5,4,2025,7,14,35.8,8,2021,8,7,26.0,8,2025,10,4,1977,2025-10-15
11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402.0,2025,10,15,20,0,11.5,5,9.0,22.0,5.0,-3.1,-1.0,10.0,3.0,,,0.0,32.2,4,2025,7,23,35.0,8,2000,7,31,27.7,8,2022,10,1,1942,2025-10-15
11316,北海道宗谷地方,歌登（ウタノボリ）,,2025,10,15,20,0,11.8,5,11.0,9.0,5.0,-2.9,-3.1,10.0,3.0,,,0.0,33.3,4,2025,8,1,35.4,8,1989,7,26,27.5,8,2022,10,1,1977,2025-10-15
12011,北海道上川地方,中川（ナカガワ）,,2025,10,15,20,0,12.5,5,11.0,42.0,5.0,-2.1,-2.5,10.0,3.0,,,0.0,32.5,4,2025,8,3,36.2,8,2021,7,28,26.0,8,2025,10,4,1977,2025-10-15
12041,北海道上川地方,音威子府（オトイネップ）,,2025,10,15,20,0,12.3,5,13.0,26.0,5.0,-2.0,-2.7,10.0,3.0,,,0.0,34.2,4,2025,7,14,36.6,8,2021,7,28,26.9,8,2025,10,4,1977,2025-10-15
