観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),9日の最高気温(℃),9日の最高気温の品質情報,9日の最高気温起時（時）,9日の最高気温起時（分）,9日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（8日まで）,今年の最高気温（8日まで）の品質情報,今年の最高気温（8日まで）を観測した起日（年）,今年の最高気温（8日まで）を観測した起日（月）,今年の最高気温（8日まで）を観測した起日（日）,8日までの観測史上1位の値（℃）,8日までの観測史上1位の値の品質情報,8日までの観測史上1位の値を観測した起日（年）,8日までの観測史上1位の値を観測した起日（月）,8日までの観測史上1位の値を観測した起日（日）,8日までの12月の1位の値,8日までの12月の1位の値の品質情報,8日までの12月の1位の値の起日（年）,8日までの12月の1位の値の起日（月）,8日までの12月の1位の値の起日（日）,統計開始年,date
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2024,12,9,18,0,0.1,4,2,22,4,-0.4,-0.3,12.0,2.0,,,0,26.1,5,2024,7,20,31.9,8,2000,8,1,11.0,8,2023,12,9,1978,2024-12-09
11016,北海道宗谷地方,稚内（ワッカナイ）,47401.0,2024,12,9,18,0,0.2,4,1,42,4,-0.4,0.2,12.0,2.0,,,0,27.7,5,2024,7,19,32.7,8,2021,7,29,11.5,8,1958,12,3,1938,2024-12-09
11046,北海道宗谷地方,礼文（レブン）,,2024,12,9,18,0,-0.7,4,0,30,4,-1.0,0.0,12.0,2.0,,,0,28.1,5,2024,8,8,30.5,8,2022,7,31,11.8,8,2021,12,1,2003,2024-12-09
11061,北海道宗谷地方,声問（コエトイ）,,2024,12,9,18,0,-0.2,4,2,9,4,-0.6,-0.5,12.0,2.0,,,0,28.5,5,2024,7,19,33.3,8,2021,7,29,11.1,8,2021,12,1,2003,2024-12-09
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2024,12,9,18,0,-2.1,4,10,45,4,-1.8,-2.2,1.0,1.0,,,0,28.0,5,2024,7,16,32.7,8,2000,7,31,11.1,8,2018,12,3,1978,2024-12-09
11091,北海道宗谷地方,本泊（モトドマリ）,,2024,12,9,18,0,-0.3,4,0,17,4,-0.8,-0.2,12.0,2.0,,,0,27.6,5,2024,7,19,31.8,8,2021,8,7,12.8,8,2021,12,1,2003,2024-12-09
11121,北海道宗谷地方,沼川（ヌマカワ）,,2024,12,9,18,0,-2.0,4,4,7,4,-1.6,-0.9,12.0,3.0,,,0,29.7,5,2024,8,7,32.4,8,2021,7,29,11.1,8,2021,12,1,1977,2024-12-09
11151,北海道宗谷地方,沓形（クツガタ）,,2024,12,9,18,0,0.6,4,1,12,4,-0.5,-0.2,12.0,2.0,,,0,28.2,5,2024,7,18,32.5,8,1989,8,7,12.1,8,2014,12,1,1977,2024-12-09
11176,北海道宗谷地方,豊富（トヨトミ）,,2024,12,9,18,0,-1.4,4,4,33,4,-1.4,-0.7,12.0,3.0,,,0,29.8,5,2024,8,7,33.1,8,2000,8,1,11.8,8,2021,12,1,1977,2024-12-09
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2024,12,9,18,0,-2.4,4,10,43,4,-2.1,-0.8,1.0,1.0,,,0,28.5,5,2024,7,21,33.6,4,1989,7,27,11.8,8,2021,12,1,1977,2024-12-09
11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2024,12,9,18,0,-2.1,4,11,9,4,-1.6,-0.3,12.0,3.0,,,0,31.1,5,2024,7,19,35.8,8,2021,8,7,10.4,8,1989,12,4,1977,2024-12-09
11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402.0,2024,12,9,18,0,-1.4,4,13,0,4,-1.6,-0.4,12.0,3.0,,,0,31.9,5,2024,7,21,35.0,8,2000,7,31,12.9,8,1954,12,2,1942,2024-12-09
11316,北海道宗谷地方,歌登（ウタノボリ）,,2024,12,9,18,0,-2.2,4,11,57,4,-1.8,-0.1,12.0,3.0,,,0,31.4,5,2024,7,21,35.4,8,1989,7,26,12.2,8,1989,12,4,1977,2024-12-09
12011,北海道上川地方,中川（ナカガワ）,,2024,12,9,18,0,-1.9,4,11,55,4,-1.8,-0.6,12.0,3.0,,,0,32.1,5,2024,8,12,36.2,8,2021,7,28,12.4,8,2021,12,1,1977,2024-12-09
12041,北海道上川地方,音威子府（オトイネップ）,,2024,12,9,18,0,-1.7,4,12,20,4,-0.8,0.0,12.0,2.0,,,0,32.5,5,2024,8,7,36.6,8,2021,7,28,10.0,8,1990,12,2,1977,2024-12-09
12141,北海道上川地方,美深（ビフカ）,,2024,12,9,18,0,-2.2,4,10,54,4,-1.1,-0.2,12.0,2.0,,,0,33.2,5,2024,8,13,36.6,8,2021,7,28,9.8,8,1989,12,4,1977,2024-12-09
