観測所番号,都道府県,地点,国際地点番号,観測時刻(年),観測時刻(月),観測時刻(日),観測時刻(時),観測時刻(分),15日の最高気温(℃),15日の最高気温の品質情報,15日の最高気温起時（時）,15日の最高気温起時（分）,15日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（14日まで）,今年の最高気温（14日まで）の品質情報,今年の最高気温（14日まで）を観測した起日（年）,今年の最高気温（14日まで）を観測した起日（月）,今年の最高気温（14日まで）を観測した起日（日）,14日までの観測史上1位の値（℃）,14日までの観測史上1位の値の品質情報,14日までの観測史上1位の値を観測した起日（年）,14日までの観測史上1位の値を観測した起日（月）,14日までの観測史上1位の値を観測した起日（日）,14日までの9月の1位の値,14日までの9月の1位の値の品質情報,14日までの9月の1位の値の起日（年）,14日までの9月の1位の値の起日（月）,14日までの9月の1位の値の起日（日）,統計開始年,date
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2025,9,15,,,25.1,8.0,12.0,26.0,8.0,5.3,2.5,88.0,0.0,,,0.0,28.7,4.0,2025.0,7.0,7.0,31.9,8.0,2000.0,8.0,1.0,29.7,8.0,1994.0,9.0,6.0,1978.0,2025-09-15
11016,北海道宗谷地方,稚内（ワッカナイ）,47401.0,2025,9,15,,,24.4,8.0,11.0,53.0,8.0,4.1,0.9,88.0,0.0,,,0.0,28.3,4.0,2025.0,8.0,4.0,32.7,8.0,2021.0,7.0,29.0,29.7,8.0,2019.0,9.0,8.0,1938.0,2025-09-15
11046,北海道宗谷地方,礼文（レブン）,,2025,9,15,,,24.8,8.0,11.0,12.0,8.0,4.1,1.3,88.0,0.0,,,0.0,29.0,4.0,2025.0,8.0,5.0,30.5,8.0,2022.0,7.0,31.0,29.0,8.0,2020.0,9.0,3.0,2003.0,2025-09-15
11061,北海道宗谷地方,声問（コエトイ）,,2025,9,15,,,24.8,8.0,11.0,56.0,8.0,3.9,1.7,88.0,0.0,,,0.0,29.5,4.0,2025.0,7.0,14.0,33.3,8.0,2021.0,7.0,29.0,31.1,8.0,2019.0,9.0,8.0,2003.0,2025-09-15
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2025,9,15,,,25.0,8.0,13.0,8.0,8.0,5.1,2.0,88.0,0.0,,,0.0,31.1,4.0,2025.0,7.0,7.0,32.7,8.0,2000.0,7.0,31.0,30.8,8.0,1994.0,9.0,6.0,1978.0,2025-09-15
11091,北海道宗谷地方,本泊（モトドマリ）,,2025,9,15,,,25.0,8.0,10.0,39.0,8.0,4.1,1.8,88.0,0.0,,,0.0,30.2,4.0,2025.0,7.0,7.0,31.8,8.0,2021.0,8.0,7.0,29.8,8.0,2019.0,9.0,8.0,2003.0,2025-09-15
11121,北海道宗谷地方,沼川（ヌマカワ）,,2025,9,15,,,24.2,8.0,11.0,35.0,8.0,3.8,1.0,88.0,0.0,,,0.0,29.5,4.0,2025.0,8.0,4.0,32.4,8.0,2021.0,7.0,29.0,31.3,8.0,2019.0,9.0,8.0,1977.0,2025-09-15
11151,北海道宗谷地方,沓形（クツガタ）,,2025,9,15,,,25.0,8.0,11.0,34.0,8.0,4.3,2.1,88.0,0.0,,,0.0,28.2,4.0,2025.0,7.0,30.0,32.5,8.0,1989.0,8.0,7.0,30.4,8.0,2020.0,9.0,3.0,1977.0,2025-09-15
11176,北海道宗谷地方,豊富（トヨトミ）,,2025,9,15,,,24.9,8.0,12.0,18.0,8.0,4.1,2.1,88.0,0.0,,,0.0,31.1,4.0,2025.0,8.0,3.0,33.1,8.0,2000.0,8.0,1.0,30.8,8.0,2019.0,9.0,8.0,1977.0,2025-09-15
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2025,9,15,,,25.6,8.0,12.0,18.0,8.0,5.1,2.9,88.0,0.0,,,0.0,31.8,4.0,2025.0,7.0,25.0,33.6,4.0,1989.0,7.0,27.0,30.9,8.0,1994.0,9.0,6.0,1977.0,2025-09-15
11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2025,9,15,,,26.4,8.0,14.0,13.0,8.0,5.2,2.8,88.0,0.0,,,0.0,33.5,4.0,2025.0,7.0,14.0,35.8,8.0,2021.0,8.0,7.0,32.4,8.0,2019.0,9.0,8.0,1977.0,2025-09-15
11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402.0,2025,9,15,,,27.3,8.0,12.0,46.0,8.0,6.6,6.4,88.0,0.0,,,0.0,32.2,4.0,2025.0,7.0,23.0,35.0,8.0,2000.0,7.0,31.0,32.1,8.0,2002.0,9.0,2.0,1942.0,2025-09-15
11316,北海道宗谷地方,歌登（ウタノボリ）,,2025,9,15,,,27.4,8.0,12.0,58.0,8.0,6.1,4.3,88.0,0.0,,,0.0,33.3,4.0,2025.0,8.0,1.0,35.4,8.0,1989.0,7.0,26.0,32.2,8.0,2019.0,9.0,8.0,1977.0,2025-09-15
12011,北海道上川地方,中川（ナカガワ）,,2025,9,15,,,26.0,8.0,13.0,47.0,8.0,4.7,2.7,88.0,0.0,,,0.0,32.5,4.0,2025.0,8.0,3.0,36.2,8.0,2021.0,7.0,28.0,33.9,8.0,2019.0,9.0,8.0,1977.0,2025-09-15
12041,北海道上川地方,音威子府（オトイネップ）,,2025,9,15,,,27.2,8.0,13.0,38.0,8.0,6.1,3.1,88.0,0.0,,,0.0,34.2,4.0,2025.0,7.0,14.0,36.6,8.0,2021.0,7.0,28.0,31.4,8.0,2019.0,9.0,8.0,1977.0,2025-09-15
12141,北海道上川地方,美深（ビフカ）,,2025,9,15,,,26.5,8.0,12.0,53.0,8.0,5.0,3.8,8.0,1.0,,,0.0,34.6,4.0,2025.0,7.0,14.0,36.6,8.0,2021.0,7.0,28.0,31.5,8.0,2012.0,9.0,18.0,1977.0,2025-09-15
12181,北海道上川地方,名寄（ナヨロ）,,2025,9,15,,,26.5,8.0,12.0,39.0,8.0,5.0,4.6,8.0,1.0,,,0.0,34.5,4.0,2025.0,7.0,14.0,36.4,8.0,2021.0,7.0,28.0,31.3,8.0,2020.0,9.0,4.0,1976.0,2025-09-15
