観測所番号,都道府県,地点,国際地点番号,観測時刻(年),観測時刻(月),観測時刻(日),観測時刻(時),観測時刻(分),10日の最高気温(℃),10日の最高気温の品質情報,10日の最高気温起時（時）,10日の最高気温起時（分）,10日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（9日まで）,今年の最高気温（9日まで）の品質情報,今年の最高気温（9日まで）を観測した起日（年）,今年の最高気温（9日まで）を観測した起日（月）,今年の最高気温（9日まで）を観測した起日（日）,9日までの観測史上1位の値（℃）,9日までの観測史上1位の値の品質情報,9日までの観測史上1位の値を観測した起日（年）,9日までの観測史上1位の値を観測した起日（月）,9日までの観測史上1位の値を観測した起日（日）,9日までの6月の1位の値,9日までの6月の1位の値の品質情報,9日までの6月の1位の値の起日（年）,9日までの6月の1位の値の起日（月）,9日までの6月の1位の値の起日（日）,統計開始年,date
12266,北海道上川地方,朝日（アサヒ）,,2024,6,10,,,24.5,8,14,2,8,2.9,-1.4,7.0,1.0,,,0,28.3,4,2024,6,8,37.2,8,2021,8,7,36.4,8,2014,6,4,1977,2024-06-10
12301,北海道上川地方,和寒（ワッサム）,,2024,6,10,,,25.3,8,13,46,8,3.4,-0.8,7.0,2.0,,,0,28.5,4,2024,6,8,36.8,8,2021,8,7,36.6,8,2014,6,4,1977,2024-06-10
12386,北海道上川地方,江丹別（エタンベツ）,,2024,6,10,,,24.4,8,13,49,8,2.9,-0.6,7.0,1.0,,,0,27.9,4,2024,6,8,38.4,8,2021,7,31,36.1,8,2014,6,4,1977,2024-06-10
12396,北海道上川地方,比布（ピップ）,,2024,6,10,,,23.1,8,16,56,8,0.9,-4.1,6.0,2.0,,,0,27.9,4,2024,6,8,36.9,8,2021,8,7,35.9,8,2014,6,4,1977,2024-06-10
12411,北海道上川地方,上川（カミカワ）,,2024,6,10,,,22.4,8,15,11,8,1.7,-2.3,6.0,3.0,,,0,26.7,4,2024,6,8,35.1,8,2021,8,7,33.7,8,2014,6,4,1977,2024-06-10
12442,北海道上川地方,旭川（アサヒカワ）,47407.0,2024,6,10,,,24.0,8,11,56,8,1.7,-2.5,6.0,3.0,,,0,29.1,4,2024,6,8,37.9,8,2021,8,7,35.9,8,2014,6,4,1888,2024-06-10
12451,北海道上川地方,東川（ヒガシカワ）,,2024,6,10,,,23.6,8,16,1,8,1.7,-2.2,6.0,3.0,,,0,29.0,4,2024,6,8,37.0,8,2021,8,6,36.1,8,2014,6,4,1977,2024-06-10
12501,北海道上川地方,東神楽（ヒガシカグラ）,,2024,6,10,,,22.9,8,12,45,8,1.0,-2.3,6.0,3.0,,,0,28.3,4,2024,6,8,36.1,8,2021,8,7,35.4,8,2014,6,4,2003,2024-06-10
12512,北海道上川地方,志比内（シビナイ）,,2024,6,10,,,23.1,8,13,35,8,2.2,-1.9,6.0,3.0,,,0,27.8,4,2024,6,8,35.3,8,2021,8,7,34.8,8,2014,6,4,1993,2024-06-10
12551,北海道上川地方,美瑛（ビエイ）,,2024,6,10,,,23.8,8,15,28,8,2.1,-1.6,6.0,3.0,,,0,28.1,4,2024,6,8,37.1,8,2021,8,7,36.0,8,2014,6,4,1977,2024-06-10
12596,北海道上川地方,上富良野（カミフラノ）,,2024,6,10,,,24.4,8,14,30,8,2.1,-1.4,6.0,3.0,,,0,29.2,4,2024,6,8,37.5,8,2021,8,7,36.8,8,2014,6,4,1977,2024-06-10
12626,北海道上川地方,富良野（フラノ）,,2024,6,10,,,23.4,8,15,49,8,1.1,-1.5,6.0,3.0,,,0,29.0,4,2024,6,8,38.5,8,2021,8,7,36.3,8,2014,6,4,1976,2024-06-10
12632,北海道上川地方,麓郷（ロクゴウ）,,2024,6,10,,,22.1,8,14,31,8,0.9,-1.8,6.0,2.0,,,0,28.3,4,2024,6,8,37.4,8,2021,8,7,34.7,8,2014,6,4,1978,2024-06-10
12691,北海道上川地方,幾寅（イクトラ）,,2024,6,10,,,20.8,8,15,0,8,0.8,0.2,6.0,2.0,,,0,26.9,4,2024,6,8,34.9,8,2023,8,24,33.5,8,2014,6,3,1977,2024-06-10
12746,北海道上川地方,占冠（シムカップ）,,2024,6,10,,,19.1,8,15,56,8,-1.3,-3.5,5.0,3.0,,,0,26.3,4,2024,6,8,34.6,8,2021,7,19,33.6,8,2014,6,3,1977,2024-06-10
