観測所番号,都道府県,地点,国際地点番号,観測時刻(年),観測時刻(月),観測時刻(日),観測時刻(時),観測時刻(分),5日の最高気温(℃),5日の最高気温の品質情報,5日の最高気温起時（時）,5日の最高気温起時（分）,5日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（4日まで）,今年の最高気温（4日まで）の品質情報,今年の最高気温（4日まで）を観測した起日（年）,今年の最高気温（4日まで）を観測した起日（月）,今年の最高気温（4日まで）を観測した起日（日）,4日までの観測史上1位の値（℃）,4日までの観測史上1位の値の品質情報,4日までの観測史上1位の値を観測した起日（年）,4日までの観測史上1位の値を観測した起日（月）,4日までの観測史上1位の値を観測した起日（日）,4日までの6月の1位の値,4日までの6月の1位の値の品質情報,4日までの6月の1位の値の起日（年）,4日までの6月の1位の値の起日（月）,4日までの6月の1位の値の起日（日）,統計開始年,date
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2024,6,5,,,9.1,8,15,14,8,-5.3,-2.4,4.0,3.0,,,0,22.4,4,2024,5,15,31.9,8,2000,8,1,26.4,8,2005,6,22,1978,2024-06-05
11016,北海道宗谷地方,稚内（ワッカナイ）,47401.0,2024,6,5,,,10.5,8,0,4,8,-4.6,-6.8,5.0,1.0,,,0,20.4,4,2024,4,16,32.7,8,2021,7,29,26.8,8,1977,6,30,1938,2024-06-05
11046,北海道宗谷地方,礼文（レブン）,,2024,6,5,,,10.8,8,1,57,8,-3.9,-3.2,5.0,2.0,,,0,18.2,4,2024,4,17,30.5,8,2022,7,31,24.6,8,2010,6,29,2003,2024-06-05
11061,北海道宗谷地方,声問（コエトイ）,,2024,6,5,,,9.9,8,13,54,8,-6.9,-9.4,4.0,3.0,,,0,22.4,4,2024,5,15,33.3,8,2021,7,29,27.9,8,2023,6,22,2003,2024-06-05
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2024,6,5,,,8.4,8,0,24,8,-6.1,-3.8,4.0,3.0,,,0,24.3,4,2024,5,15,32.7,8,2000,7,31,28.3,8,2021,6,11,1978,2024-06-05
11091,北海道宗谷地方,本泊（モトドマリ）,,2024,6,5,,,11.5,8,0,7,8,-4.9,-3.3,5.0,1.0,,,0,22.7,4,2024,4,16,31.8,8,2021,8,7,26.1,8,2014,6,3,2003,2024-06-05
11121,北海道宗谷地方,沼川（ヌマカワ）,,2024,6,5,,,9.6,8,14,17,8,-7.2,-10.4,4.0,3.0,,,0,24.0,4,2024,4,16,32.4,8,2021,7,29,29.2,8,2010,6,29,1977,2024-06-05
11151,北海道宗谷地方,沓形（クツガタ）,,2024,6,5,,,13.5,8,13,55,8,-2.6,-3.4,5.0,2.0,,,0,23.8,4,2024,5,16,32.5,8,1989,8,7,28.6,8,1988,6,30,1977,2024-06-05
11176,北海道宗谷地方,豊富（トヨトミ）,,2024,6,5,,,10.1,8,0,2,8,-7.2,-9.6,4.0,3.0,,,0,23.2,4,2024,4,16,33.1,8,2000,8,1,29.3,8,2010,6,29,1977,2024-06-05
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2024,6,5,,,8.6,8,0,4,8,-7.6,-6.8,4.0,2.0,,,0,24.1,4,2024,5,15,33.6,4,1989,7,27,30.6,8,2014,6,3,1977,2024-06-05
11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2024,6,5,,,10.0,8,0,3,8,-8.8,-11.1,4.0,3.0,,,0,26.4,4,2024,4,16,35.8,8,2021,8,7,33.1,8,2012,6,30,1977,2024-06-05
11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402.0,2024,6,5,,,8.5,8,0,1,8,-6.9,-5.5,4.0,2.0,,,0,25.2,4,2024,5,12,35.0,8,2000,7,31,32.6,8,2014,6,3,1942,2024-06-05
11316,北海道宗谷地方,歌登（ウタノボリ）,,2024,6,5,,,8.9,8,9,44,8,-9.6,-9.6,4.0,2.0,,,0,26.1,4,2024,5,15,35.4,8,1989,7,26,32.2,8,2014,6,3,1977,2024-06-05
12011,北海道上川地方,中川（ナカガワ）,,2024,6,5,,,11.4,8,0,8,8,-7.7,-11.3,4.0,3.0,,,0,26.4,4,2024,4,16,36.2,8,2021,7,28,32.4,8,2012,6,30,1977,2024-06-05
12041,北海道上川地方,音威子府（オトイネップ）,,2024,6,5,,,10.6,8,13,18,8,-9.4,-11.5,4.0,3.0,,,0,25.7,4,2024,5,15,36.6,8,2021,7,28,33.6,8,2012,6,30,1977,2024-06-05
12141,北海道上川地方,美深（ビフカ）,,2024,6,5,,,11.3,8,13,40,8,-9.9,-12.8,4.0,3.0,,,0,25.9,4,2024,5,15,36.6,8,2021,7,28,34.0,8,2014,6,4,1977,2024-06-05
12181,北海道上川地方,名寄（ナヨロ）,,2024,6,5,,,12.4,8,13,49,8,-8.8,-11.5,4.0,3.0,,,0,26.1,4,2024,4,27,36.4,8,2021,7,28,35.4,8,2014,6,4,1976,2024-06-05
12231,北海道上川地方,下川（シモカワ）,,2024,6,5,,,10.9,8,13,27,8,-9.5,-12.1,4.0,3.0,,,0,26.3,4,2024,4,27,37.3,8,2021,7,28,34.0,8,2014,6,4,1977,2024-06-05
12261,北海道上川地方,士別（シベツ）,,2024,6,5,,,13.1,8,10,52,8,-7.9,-10.1,4.0,3.0,,,0,26.6,4,2024,4,27,37.0,8,2021,8,7,36.3,8,2014,6,4,1977,2024-06-05
12266,北海道上川地方,朝日（アサヒ）,,2024,6,5,,,14.3,8,12,51,8,-6.7,-9.2,5.0,1.0,,,0,26.7,4,2024,4,27,37.2,8,2021,8,7,36.4,8,2014,6,4,1977,2024-06-05
12301,北海道上川地方,和寒（ワッサム）,,2024,6,5,,,14.1,8,12,56,8,-7.3,-9.3,4.0,3.0,,,0,26.9,4,2024,4,27,36.8,8,2021,8,7,36.6,8,2014,6,4,1977,2024-06-05
12386,北海道上川地方,江丹別（エタンベツ）,,2024,6,5,,,14.8,8,16,28,8,-6.3,-8.5,5.0,1.0,,,0,27.7,4,2024,5,16,38.4,8,2021,7,31,36.1,8,2014,6,4,1977,2024-06-05
12396,北海道上川地方,比布（ピップ）,,2024,6,5,,,13.2,8,17,25,8,-8.5,-9.9,4.0,3.0,,,0,27.6,4,2024,4,27,36.9,8,2021,8,7,35.9,8,2014,6,4,1977,2024-06-05
12411,北海道上川地方,上川（カミカワ）,,2024,6,5,,,12.0,8,12,12,8,-8.2,-9.5,4.0,3.0,,,0,26.4,4,2024,4,27,35.1,8,2021,8,7,33.7,8,2014,6,4,1977,2024-06-05
12442,北海道上川地方,旭川（アサヒカワ）,47407.0,2024,6,5,,,13.8,8,13,55,8,-8.1,-10.0,4.0,3.0,,,0,28.4,4,2024,4,27,37.9,8,2021,8,7,35.9,8,2014,6,4,1888,2024-06-05
12451,北海道上川地方,東川（ヒガシカワ）,,2024,6,5,,,13.8,8,15,28,8,-7.6,-9.3,4.0,3.0,,,0,28.1,4,2024,4,27,37.0,8,2021,8,6,36.1,8,2014,6,4,1977,2024-06-05
12501,北海道上川地方,東神楽（ヒガシカグラ）,,2024,6,5,,,13.8,8,14,17,8,-7.8,-8.1,4.0,3.0,,,0,27.3,4,2024,4,27,36.1,8,2021,8,7,35.4,8,2014,6,4,2003,2024-06-05
12512,北海道上川地方,志比内（シビナイ）,,2024,6,5,,,13.2,8,14,19,8,-7.3,-8.3,4.0,3.0,,,0,27.4,4,2024,4,27,35.3,8,2021,8,7,34.8,8,2014,6,4,1993,2024-06-05
12551,北海道上川地方,美瑛（ビエイ）,,2024,6,5,,,13.5,8,13,52,8,-7.8,-8.7,4.0,3.0,,,0,27.8,4,2024,4,27,37.1,8,2021,8,7,36.0,8,2014,6,4,1977,2024-06-05
12596,北海道上川地方,上富良野（カミフラノ）,,2024,6,5,,,14.1,8,15,41,8,-7.7,-8.4,4.0,3.0,,,0,28.1,4,2024,4,27,37.5,8,2021,8,7,36.8,8,2014,6,4,1977,2024-06-05
12626,北海道上川地方,富良野（フラノ）,,2024,6,5,,,14.2,8,14,21,8,-7.7,-7.6,4.0,3.0,,,0,27.5,4,2024,4,27,38.5,8,2021,8,7,36.3,8,2014,6,4,1976,2024-06-05
12632,北海道上川地方,麓郷（ロクゴウ）,,2024,6,5,,,13.7,8,15,2,8,-7.0,-6.8,4.0,3.0,,,0,26.7,4,2024,4,27,37.4,8,2021,8,7,34.7,8,2014,6,4,1978,2024-06-05
12691,北海道上川地方,幾寅（イクトラ）,,2024,6,5,,,13.0,8,10,55,8,-6.6,-4.5,4.0,3.0,,,0,26.2,4,2024,4,27,34.9,8,2023,8,24,33.5,8,2014,6,3,1977,2024-06-05
12746,北海道上川地方,占冠（シムカップ）,,2024,6,5,,,12.3,8,14,54,8,-7.5,-7.0,4.0,3.0,,,0,25.1,4,2024,4,15,34.6,8,2021,7,19,33.6,8,2014,6,3,1977,2024-06-05
15041,北海道上川地方,朱鞠内（シュマリナイ）,,2024,6,5,,,13.2,8,11,31,8,-6.3,-7.8,5.0,1.0,,,0,25.7,4,2024,5,16,34.9,8,2021,7,28,34.3,8,2014,6,4,1978,2024-06-05
15076,北海道上川地方,幌加内（ホロカナイ）,,2024,6,5,,,14.1,8,14,3,8,-6.5,-9.1,5.0,1.0,,,0,26.2,4,2024,5,16,37.3,8,2021,7,28,36.0,8,2014,6,4,1977,2024-06-05
13061,北海道留萌地方,天塩（テシオ）,,2024,6,5,,,12.6,8,0,9,8,-4.4,-5.8,5.0,1.0,,,0,23.9,4,2024,5,16,33.8,4,2021,7,27,30.0,8,2010,6,28,1977,2024-06-05
13086,北海道留萌地方,遠別（エンベツ）,,2024,6,5,,,13.1,8,0,13,8,-5.2,-7.9,5.0,1.0,,,0,25.8,4,2024,5,16,34.2,8,1979,8,18,32.6,8,2010,6,28,1977,2024-06-05
13121,北海道留萌地方,初山別（ショサンベツ）,,2024,6,5,,,14.7,8,13,29,8,-3.1,-3.5,5.0,2.0,,,0,24.6,4,2024,4,16,33.8,8,2021,8,1,32.8,8,2010,6,28,1977,2024-06-05
13146,北海道留萌地方,焼尻（ヤギシリ）,,2024,6,5,,,14.3,8,12,4,8,-1.9,-3.6,5.0,3.0,,,0,19.4,4,2024,4,17,32.4,8,2023,8,24,26.1,8,2010,6,30,1977,2024-06-05
13181,北海道留萌地方,羽幌（ハボロ）,47404.0,2024,6,5,,,15.3,8,15,21,8,-2.9,-2.4,5.0,2.0,,,0,25.0,4,2024,4,16,34.4,8,2021,8,1,30.9,8,1948,6,30,1921,2024-06-05
13261,北海道留萌地方,達布（タップ）,,2024,6,5,,,15.8,8,14,7,8,-4.9,-6.3,5.0,2.0,,,0,27.0,4,2024,5,16,38.7,8,2021,8,7,34.3,8,2014,6,4,1977,2024-06-05
13277,北海道留萌地方,留萌（ルモイ）,47406.0,2024,6,5,,,14.6,8,14,12,8,-3.6,-2.5,5.0,2.0,,,0,24.1,4,2024,5,15,35.6,8,2021,8,1,32.0,8,2014,6,5,1943,2024-06-05
13311,北海道留萌地方,増毛（マシケ）,,2024,6,5,,,14.6,8,16,2,8,-3.5,-3.0,5.0,2.0,,,0,23.7,4,2024,4,16,34.2,8,2021,8,1,30.5,8,2022,6,25,1978,2024-06-05
13321,北海道留萌地方,幌糠（ホロヌカ）,,2024,6,5,,,13.7,8,14,51,8,-6.6,-7.3,4.0,3.0,,,0,25.6,4,2024,4,27,35.9,8,2021,8,7,34.2,8,2014,6,4,1977,2024-06-05
14026,北海道石狩地方,浜益（ハママス）,,2024,6,5,,,14.6,8,15,46,8,-4.7,-3.7,5.0,1.0,,,0,26.3,4,2024,4,27,34.6,8,1989,8,7,31.5,8,2012,6,30,1977,2024-06-05
14071,北海道石狩地方,厚田（アツタ）,,2024,6,5,,,15.3,8,15,12,8,-4.5,-6.2,5.0,2.0,,,0,26.3,4,2024,4,27,36.1,8,2021,7,28,31.3,8,2014,6,4,1977,2024-06-05
14101,北海道石狩地方,新篠津（シンシノツ）,,2024,6,5,,,13.4,8,16,46,8,-6.4,-8.7,4.0,3.0,,,0,25.6,4,2024,4,15,35.5,8,2023,8,25,32.2,8,2014,6,3,1978,2024-06-05
14116,北海道石狩地方,山口（ヤマグチ）,,2024,6,5,,,14.6,8,11,54,8,-6.2,-7.2,4.0,3.0,,,0,29.5,4,2024,4,27,37.1,8,2021,7,28,33.3,8,2014,6,4,1977,2024-06-05
14121,北海道石狩地方,石狩（イシカリ）,,2024,6,5,,,14.0,8,15,53,8,-5.7,-8.8,4.0,3.0,,,0,25.4,4,2024,4,27,35.4,8,2021,7,28,32.4,8,2014,6,4,1990,2024-06-05
14136,北海道石狩地方,江別（エベツ）,,2024,6,5,,,14.1,8,16,32,8,-5.8,-7.9,4.0,3.0,,,0,25.7,4,2024,4,15,35.6,8,2021,7,31,31.7,8,2014,6,3,2000,2024-06-05
14163,北海道石狩地方,札幌（サッポロ）,47412.0,2024,6,5,,,13.5,8,16,47,8,-7.3,-8.8,4.0,3.0,,,0,27.9,4,2024,4,27,36.3,8,2023,8,23,33.7,8,2014,6,4,1876,2024-06-05
14206,北海道石狩地方,恵庭島松（エニワシママツ）,,2024,6,5,,,13.2,8,12,57,8,-6.0,-8.0,4.0,3.0,,,0,25.1,4,2024,4,15,34.3,8,1999,8,8,31.1,8,2014,6,3,1977,2024-06-05
14286,北海道石狩地方,支笏湖畔（シコツコハン）,,2024,6,5,,,12.1,8,10,8,8,-5.6,-4.9,4.0,3.0,,,0,23.8,4,2024,4,15,31.9,8,2007,8,14,30.0,8,2010,6,26,1977,2024-06-05
14296,北海道石狩地方,千歳（チトセ）,,2024,6,5,,,13.1,8,8,48,8,-6.0,-7.3,4.0,3.0,,,0,24.0,4,2024,5,19,34.2,8,2011,8,11,31.4,8,2010,6,26,2003,2024-06-05
15116,北海道空知地方,石狩沼田（イシカリヌマタ）,,2024,6,5,,,15.7,8,14,54,8,-5.3,-8.1,5.0,1.0,,,0,27.0,4,2024,4,27,36.9,8,2021,8,7,35.3,8,2014,6,4,1976,2024-06-05
15156,北海道空知地方,秩父別（チップベツ）,,2024,6,5,,,14.1,8,14,32,8,,-9.0,,,,,0,26.1,4,2024,4,27,35.1,8,2023,8,24,29.8,8,2023,6,27,2022,2024-06-05
15161,北海道空知地方,深川（フカガワ）,,2024,6,5,,,13.9,8,15,19,8,-6.8,-8.4,4.0,3.0,,,0,25.9,4,2024,4,27,36.1,8,2021,8,6,33.6,8,2014,6,4,1977,2024-06-05
15231,北海道空知地方,空知吉野（ソラチヨシノ）,,2024,6,5,,,13.8,8,12,45,8,-7.1,-7.7,4.0,3.0,,,0,25.3,4,2024,4,27,36.8,8,2021,8,7,34.3,8,2014,6,4,1978,2024-06-05
15241,北海道空知地方,滝川（タキカワ）,,2024,6,5,,,13.3,8,13,23,8,-7.5,-9.5,4.0,3.0,,,0,25.0,4,2024,4,27,36.0,8,2021,7,28,34.1,8,2014,6,4,1976,2024-06-05
15251,北海道空知地方,芦別（アシベツ）,,2024,6,5,,,13.9,8,16,26,8,-8.0,-9.0,4.0,3.0,,,0,27.6,4,2024,4,27,37.2,8,2021,7,31,35.7,8,2014,6,4,1978,2024-06-05
15311,北海道空知地方,月形（ツキガタ）,,2024,6,5,,,14.7,8,16,54,8,-5.2,-8.2,5.0,1.0,,,0,25.1,4,2024,4,15,36.3,8,2021,7,31,33.6,8,2014,6,3,1977,2024-06-05
15321,北海道空知地方,美唄（ビバイ）,,2024,6,5,,,14.9,8,16,24,8,-6.0,-7.3,4.0,3.0,,,0,25.6,4,2024,4,15,35.6,8,2021,8,6,33.2,8,2014,6,3,1977,2024-06-05
15356,北海道空知地方,岩見沢（イワミザワ）,47413.0,2024,6,5,,,14.5,8,16,14,8,-6.1,-7.2,4.0,3.0,,,0,25.7,4,2024,4,15,35.7,8,2023,8,25,33.6,8,2014,6,4,1946,2024-06-05
15431,北海道空知地方,長沼（ナガヌマ）,,2024,6,5,,,13.6,8,16,55,8,-5.8,-7.7,4.0,3.0,,,0,25.4,4,2024,4,15,35.2,8,2023,8,24,31.4,8,2014,6,3,1977,2024-06-05
15442,北海道空知地方,夕張（ユウバリ）,,2024,6,5,,,11.8,8,16,46,8,-7.9,-8.6,4.0,3.0,,,0,25.8,4,2024,4,15,35.0,8,2021,7,28,31.6,8,2014,6,3,1976,2024-06-05
16026,北海道後志地方,美国（ビクニ）,,2024,6,5,,,14.5,8,16,43,8,-5.0,-3.9,5.0,1.0,,,0,25.9,4,2024,5,5,35.2,8,2023,8,31,31.3,8,2014,6,4,1977,2024-06-05
16061,北海道後志地方,神恵内（カモエナイ）,,2024,6,5,,,16.0,8,11,46,8,-2.6,-3.0,5.0,2.0,,,0,23.9,4,2024,4,16,33.5,8,2021,7,28,29.1,8,2021,6,11,1977,2024-06-05
16076,北海道後志地方,余市（ヨイチ）,,2024,6,5,,,13.0,8,15,22,8,-7.4,-5.8,4.0,3.0,,,0,26.2,4,2024,4,27,34.9,8,1984,8,16,33.5,8,2014,6,5,1977,2024-06-05
16091,北海道後志地方,小樽（オタル）,47411.0,2024,6,5,,,13.4,8,15,59,8,-6.2,-4.9,4.0,3.0,,,0,27.3,4,2024,4,27,36.2,8,2021,7,28,31.9,8,2021,6,11,1943,2024-06-05
16156,北海道後志地方,共和（キョウワ）,,2024,6,5,,,15.2,8,15,8,8,-4.3,-4.9,5.0,2.0,,,0,25.8,4,2024,5,5,35.0,8,2023,8,10,32.5,8,2012,6,30,1977,2024-06-05
16206,北海道後志地方,蘭越（ランコシ）,,2024,6,5,,,15.9,8,14,51,8,-4.4,-2.3,5.0,1.0,,,0,25.4,4,2024,4,27,35.4,8,2023,8,23,32.7,8,2014,6,4,1977,2024-06-05
16217,北海道後志地方,倶知安（クッチャン）,47433.0,2024,6,5,,,14.6,8,15,13,8,-5.3,-4.2,5.0,1.0,,,0,24.5,4,2024,4,27,34.6,8,2023,8,23,32.5,8,2014,6,4,1944,2024-06-05
16252,北海道後志地方,寿都（スッツ）,47421.0,2024,6,5,,,13.7,8,13,52,8,-4.6,-5.5,5.0,1.0,,,0,24.1,4,2024,4,26,34.0,8,1904,8,20,31.3,8,2014,6,4,1884,2024-06-05
16281,北海道後志地方,真狩（マッカリ）,,2024,6,5,,,13.4,8,15,43,8,-4.7,-2.5,5.0,1.0,,,0,22.0,4,2024,5,19,32.3,8,2021,7,27,32.0,8,2014,6,3,1978,2024-06-05
16286,北海道後志地方,喜茂別（キモベツ）,,2024,6,5,,,13.3,8,16,54,8,-6.3,-5.0,5.0,1.0,,,0,23.8,4,2024,5,19,34.5,8,2023,8,25,33.3,8,2014,6,4,1977,2024-06-05
16321,北海道後志地方,黒松内（クロマツナイ）,,2024,6,5,,,17.1,8,15,13,8,-1.8,-0.1,5.0,3.0,,,0,24.7,4,2024,5,23,34.5,8,2021,7,18,31.0,8,2014,6,3,1977,2024-06-05
17036,北海道網走・北見・紋別地方,雄武（オウム）,47405.0,2024,6,5,,,9.0,8,9,2,8,-6.7,-6.0,4.0,2.0,,,0,26.8,4,2024,5,12,35.3,8,2023,8,17,35.1,8,2014,6,3,1942,2024-06-05
17076,北海道網走・北見・紋別地方,興部（オコッペ）,,2024,6,5,,,9.2,8,8,51,8,-7.4,-7.2,4.0,2.0,,,0,27.9,4,2024,5,12,34.3,8,1999,8,9,33.4,8,2014,6,3,1977,2024-06-05
17091,北海道網走・北見・紋別地方,西興部（ニシオコッペ）,,2024,6,5,,,10.2,8,10,57,8,-9.3,-9.1,4.0,2.0,,,0,26.8,4,2024,4,27,36.4,8,1978,8,3,33.7,8,2014,6,4,1977,2024-06-05
17112,北海道網走・北見・紋別地方,紋別（モンベツ）,47435.0,2024,6,5,,,9.4,5,7,51,5,-6.8,-6.5,4.0,2.0,,,0,27.8,4,2024,5,12,37.0,8,2019,5,26,32.7,8,2010,6,26,1956,2024-06-05
17116,北海道網走・北見・紋別地方,紋別小向（モンベツコムカイ）,,2024,6,5,,,9.7,8,8,11,8,-6.9,-6.2,4.0,2.0,,,0,26.6,4,2024,5,12,37.2,8,2019,5,26,35.2,8,2014,6,3,2003,2024-06-05
17166,北海道網走・北見・紋別地方,湧別（ユウベツ）,,2024,6,5,,,10.2,8,8,39,8,-7.2,-9.7,4.0,2.0,,,0,27.4,4,2024,4,16,38.5,8,2019,5,26,33.8,8,2010,6,26,1977,2024-06-05
17196,北海道網走・北見・紋別地方,滝上（タキノウエ）,,2024,6,5,,,10.3,8,11,39,8,-10.2,-11.9,4.0,2.0,,,0,28.5,4,2024,4,16,37.7,8,1978,8,3,34.8,8,2014,6,4,1977,2024-06-05
17246,北海道網走・北見・紋別地方,常呂（トコロ）,,2024,6,5,,,11.1,8,7,14,8,-6.8,-6.5,4.0,3.0,,,0,27.0,4,2024,5,18,36.9,8,1994,8,7,32.7,8,2005,6,23,1977,2024-06-05
17306,北海道網走・北見・紋別地方,遠軽（エンガル）,,2024,6,5,,,11.1,8,10,41,8,-9.0,-10.5,4.0,2.0,,,0,27.4,4,2024,5,12,37.7,8,2019,5,26,36.9,8,2014,6,3,1977,2024-06-05
17316,北海道網走・北見・紋別地方,佐呂間（サロマ）,,2024,6,5,,,11.3,8,7,50,8,-8.3,-8.8,4.0,2.0,,,0,26.1,4,2024,5,12,39.5,8,2019,5,26,34.4,8,2010,6,26,1977,2024-06-05
