観測所番号,都道府県,地点,国際地点番号,観測時刻(年),観測時刻(月),観測時刻(日),観測時刻(時),観測時刻(分),13日の最高気温(℃),13日の最高気温の品質情報,13日の最高気温起時（時）,13日の最高気温起時（分）,13日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（12日まで）,今年の最高気温（12日まで）の品質情報,今年の最高気温（12日まで）を観測した起日（年）,今年の最高気温（12日まで）を観測した起日（月）,今年の最高気温（12日まで）を観測した起日（日）,12日までの観測史上1位の値（℃）,12日までの観測史上1位の値の品質情報,12日までの観測史上1位の値を観測した起日（年）,12日までの観測史上1位の値を観測した起日（月）,12日までの観測史上1位の値を観測した起日（日）,12日までの6月の1位の値,12日までの6月の1位の値の品質情報,12日までの6月の1位の値の起日（年）,12日までの6月の1位の値の起日（月）,12日までの6月の1位の値の起日（日）,統計開始年,date
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2024,6,13,,,12.3,8,13,38,8,-2.6,-6.9,5.0,2.0,,,0,24.1,4,2024,6,8,31.9,8,2000,8,1,26.4,8,2005,6,22.0,1978.0,2024-06-13
11016,北海道宗谷地方,稚内（ワッカナイ）,47401.0,2024,6,13,,,14.4,8,11,11,8,-1.4,-4.1,5.0,3.0,,,0,23.9,4,2024,6,9,32.7,8,2021,7,29,26.8,8,1977,6,30.0,1938.0,2024-06-13
11046,北海道宗谷地方,礼文（レブン）,,2024,6,13,,,15.1,8,7,50,8,-0.5,-0.8,6.0,1.0,,,0,20.3,4,2024,6,9,30.5,8,2022,7,31,24.6,8,2010,6,29.0,2003.0,2024-06-13
11061,北海道宗谷地方,声問（コエトイ）,,2024,6,13,,,15.2,8,11,32,8,-2.3,-4.5,5.0,3.0,,,0,26.1,4,2024,6,9,33.3,8,2021,7,29,27.9,8,2023,6,22.0,2003.0,2024-06-13
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2024,6,13,,,15.7,8,0,6,8,0.8,-6.2,6.0,3.0,,,0,25.4,4,2024,6,8,32.7,8,2000,7,31,28.3,8,2021,6,11.0,1978.0,2024-06-13
11091,北海道宗谷地方,本泊（モトドマリ）,,2024,6,13,,,14.7,8,13,20,8,-2.4,-4.8,5.0,3.0,,,0,23.8,4,2024,6,9,31.8,8,2021,8,7,26.1,8,2014,6,3.0,2003.0,2024-06-13
11121,北海道宗谷地方,沼川（ヌマカワ）,,2024,6,13,,,14.9,8,11,30,8,-2.7,-4.6,5.0,3.0,,,0,25.5,4,2024,6,9,32.4,8,2021,7,29,29.2,8,2010,6,29.0,1977.0,2024-06-13
11151,北海道宗谷地方,沓形（クツガタ）,,2024,6,13,,,18.5,8,15,47,8,1.6,0.7,6.0,3.0,,,0,23.8,4,2024,5,16,32.5,8,1989,8,7,28.6,8,1988,6,30.0,1977.0,2024-06-13
11176,北海道宗谷地方,豊富（トヨトミ）,,2024,6,13,,,16.1,8,11,20,8,-2.1,-2.8,5.0,3.0,,,0,24.2,4,2024,6,9,33.1,8,2000,8,1,29.3,8,2010,6,29.0,1977.0,2024-06-13
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2024,6,13,,,16.7,8,0,38,8,0.0,-6.0,6.0,2.0,,,0,27.0,4,2024,6,9,33.6,4,1989,7,27,30.6,8,2014,6,3.0,1977.0,2024-06-13
11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2024,6,13,,,16.8,8,0,51,8,-2.6,-7.3,5.0,3.0,,,0,27.4,4,2024,6,8,35.8,8,2021,8,7,33.1,8,2012,6,30.0,1977.0,2024-06-13
11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402.0,2024,6,13,,,17.7,8,1,48,8,2.0,-3.6,6.0,3.0,,,0,26.6,4,2024,6,8,35.0,8,2000,7,31,32.6,8,2014,6,3.0,1942.0,2024-06-13
11316,北海道宗谷地方,歌登（ウタノボリ）,,2024,6,13,,,17.9,8,0,54,8,-1.1,-7.2,5.0,3.0,,,0,28.8,4,2024,6,8,35.4,8,1989,7,26,32.2,8,2014,6,3.0,1977.0,2024-06-13
12011,北海道上川地方,中川（ナカガワ）,,2024,6,13,,,16.8,8,1,2,8,-3.1,-7.3,5.0,2.0,,,0,27.6,4,2024,6,9,36.2,8,2021,7,28,32.4,8,2012,6,30.0,1977.0,2024-06-13
12041,北海道上川地方,音威子府（オトイネップ）,,2024,6,13,,,18.1,8,1,6,8,-2.5,-7.3,5.0,3.0,,,0,27.5,4,2024,6,8,36.6,8,2021,7,28,33.6,8,2012,6,30.0,1977.0,2024-06-13
12141,北海道上川地方,美深（ビフカ）,,2024,6,13,,,19.1,8,2,58,8,-2.8,-7.4,5.0,3.0,,,0,27.8,4,2024,6,8,36.6,8,2021,7,28,34.0,8,2014,6,4.0,1977.0,2024-06-13
12181,北海道上川地方,名寄（ナヨロ）,,2024,6,13,,,20.7,8,8,45,8,-1.4,-6.4,6.0,1.0,,,0,28.0,4,2024,6,8,36.4,8,2021,7,28,35.4,8,2014,6,4.0,1976.0,2024-06-13
12231,北海道上川地方,下川（シモカワ）,,2024,6,13,,,21.2,8,9,20,8,0.0,-5.2,6.0,2.0,,,0,27.6,4,2024,6,8,37.3,8,2021,7,28,34.0,8,2014,6,4.0,1977.0,2024-06-13
12261,北海道上川地方,士別（シベツ）,,2024,6,13,,,22.4,8,8,0,8,0.6,-4.5,6.0,2.0,,,0,27.4,4,2024,6,8,37.0,8,2021,8,7,36.3,8,2014,6,4.0,1977.0,2024-06-13
12266,北海道上川地方,朝日（アサヒ）,,2024,6,13,,,22.6,8,14,51,8,0.7,-4.5,6.0,2.0,,,0,28.3,4,2024,6,8,37.2,8,2021,8,7,36.4,8,2014,6,4.0,1977.0,2024-06-13
12301,北海道上川地方,和寒（ワッサム）,,2024,6,13,,,22.4,8,10,48,8,0.2,-6.1,6.0,2.0,,,0,28.5,4,2024,6,12,36.8,8,2021,8,7,36.6,8,2014,6,4.0,1977.0,2024-06-13
12386,北海道上川地方,江丹別（エタンベツ）,,2024,6,13,,,23.6,8,15,42,8,1.8,-4.2,6.0,3.0,,,0,27.9,4,2024,6,8,38.4,8,2021,7,31,36.1,8,2014,6,4.0,1977.0,2024-06-13
12396,北海道上川地方,比布（ピップ）,,2024,6,13,,,23.0,8,14,57,8,0.5,-4.4,6.0,2.0,,,0,27.9,4,2024,6,8,36.9,8,2021,8,7,35.9,8,2014,6,4.0,1977.0,2024-06-13
12411,北海道上川地方,上川（カミカワ）,,2024,6,13,,,22.1,8,9,29,8,1.2,-4.3,6.0,3.0,,,0,26.7,4,2024,6,8,35.1,8,2021,8,7,33.7,8,2014,6,4.0,1977.0,2024-06-13
12442,北海道上川地方,旭川（アサヒカワ）,47407.0,2024,6,13,,,23.3,8,15,47,8,0.8,-5.2,6.0,2.0,,,0,29.1,4,2024,6,8,37.9,8,2021,8,7,35.9,8,2014,6,4.0,1888.0,2024-06-13
12451,北海道上川地方,東川（ヒガシカワ）,,2024,6,13,,,23.8,8,15,23,8,1.7,-5.2,6.0,3.0,,,0,29.0,4,2024,6,12,37.0,8,2021,8,6,36.1,8,2014,6,4.0,1977.0,2024-06-13
12501,北海道上川地方,東神楽（ヒガシカグラ）,,2024,6,13,,,23.4,8,14,20,8,1.4,-4.9,6.0,3.0,,,0,28.3,4,2024,6,12,36.1,8,2021,8,7,35.4,8,2014,6,4.0,2003.0,2024-06-13
12512,北海道上川地方,志比内（シビナイ）,,2024,6,13,,,23.8,8,14,11,8,2.6,-4.0,7.0,1.0,,,0,27.8,4,2024,6,12,35.3,8,2021,8,7,34.8,8,2014,6,4.0,1993.0,2024-06-13
12551,北海道上川地方,美瑛（ビエイ）,,2024,6,13,,,24.5,8,15,24,8,2.5,-3.8,7.0,1.0,,,0,28.3,4,2024,6,12,37.1,8,2021,8,7,36.0,8,2014,6,4.0,1977.0,2024-06-13
12596,北海道上川地方,上富良野（カミフラノ）,,2024,6,13,,,26.4,8,15,42,8,3.9,-3.8,7.0,2.0,,,0,30.2,4,2024,6,12,37.5,8,2021,8,7,36.8,8,2014,6,4.0,1977.0,2024-06-13
12626,北海道上川地方,富良野（フラノ）,,2024,6,13,,,26.4,8,14,13,8,3.9,-4.0,7.0,2.0,,,0,30.4,4,2024,6,12,38.5,8,2021,8,7,36.3,8,2014,6,4.0,1976.0,2024-06-13
12632,北海道上川地方,麓郷（ロクゴウ）,,2024,6,13,,,26.0,8,14,10,8,4.6,-2.7,7.0,3.0,,,0,28.7,4,2024,6,12,37.4,8,2021,8,7,34.7,8,2014,6,4.0,1978.0,2024-06-13
12691,北海道上川地方,幾寅（イクトラ）,,2024,6,13,,,26.2,8,11,20,8,6.0,-1.7,88.0,0.0,,,0,27.9,4,2024,6,12,34.9,8,2023,8,24,33.5,8,2014,6,3.0,1977.0,2024-06-13
