観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),5日の最高気温(℃),5日の最高気温の品質情報,5日の最高気温起時（時）,5日の最高気温起時（分）,5日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（4日まで）,今年の最高気温（4日まで）の品質情報,今年の最高気温（4日まで）を観測した起日（年）,今年の最高気温（4日まで）を観測した起日（月）,今年の最高気温（4日まで）を観測した起日（日）,4日までの観測史上1位の値（℃）,4日までの観測史上1位の値の品質情報,4日までの観測史上1位の値を観測した起日（年）,4日までの観測史上1位の値を観測した起日（月）,4日までの観測史上1位の値を観測した起日（日）,4日までの11月の1位の値,4日までの11月の1位の値の品質情報,4日までの11月の1位の値の起日（年）,4日までの11月の1位の値の起日（月）,4日までの11月の1位の値の起日（日）,統計開始年,date
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2025,11,5,23,0,11.0,5,2,13,5,1.8,-0.6,10.0,3.0,,,0,28.7,5,2025,7,7,31.9,8,2000,8,1,17.5,8,2004,11,11,1978,2025-11-05
11016,北海道宗谷地方,稚内（ワッカナイ）,47401.0,2025,11,5,23,0,11.9,5,2,37,5,2.5,-0.7,10.0,3.0,,,0,28.3,5,2025,8,4,32.7,8,2021,7,29,17.4,8,2003,11,3,1938,2025-11-05
11046,北海道宗谷地方,礼文（レブン）,,2025,11,5,23,0,11.8,5,11,10,5,2.5,0.0,10.0,3.0,,,0,29.0,5,2025,8,5,30.5,8,2022,7,31,16.1,8,2021,11,9,2003,2025-11-05
11061,北海道宗谷地方,声問（コエトイ）,,2025,11,5,23,0,11.1,5,11,41,5,1.5,-0.8,10.0,3.0,,,0,29.5,5,2025,7,14,33.3,8,2021,7,29,17.2,8,2006,11,9,2003,2025-11-05
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2025,11,5,23,0,11.1,5,11,46,5,2.2,0.6,10.0,3.0,,,0,31.1,5,2025,7,7,32.7,8,2000,7,31,18.3,8,2004,11,11,1978,2025-11-05
11091,北海道宗谷地方,本泊（モトドマリ）,,2025,11,5,23,0,11.8,5,11,15,5,2.3,-0.6,10.0,3.0,,,0,30.2,5,2025,7,7,31.8,8,2021,8,7,18.4,8,2021,11,9,2003,2025-11-05
11121,北海道宗谷地方,沼川（ヌマカワ）,,2025,11,5,23,0,11.4,5,12,9,5,2.5,-0.3,10.0,3.0,,,0,29.5,5,2025,8,4,32.4,8,2021,7,29,17.2,8,2004,11,11,1977,2025-11-05
11151,北海道宗谷地方,沓形（クツガタ）,,2025,11,5,23,0,12.1,5,0,53,5,2.3,-0.1,10.0,3.0,,,0,28.2,5,2025,7,30,32.5,8,1989,8,7,16.7,8,1990,11,1,1977,2025-11-05
11176,北海道宗谷地方,豊富（トヨトミ）,,2025,11,5,23,0,11.3,5,11,40,5,2.0,-0.5,10.0,3.0,,,0,31.1,5,2025,8,3,33.1,8,2000,8,1,17.3,8,2003,11,3,1977,2025-11-05
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2025,11,5,23,0,11.4,5,13,13,5,2.3,0.4,10.0,3.0,,,0,31.8,5,2025,7,25,33.6,4,1989,7,27,19.0,8,2003,11,3,1977,2025-11-05
11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2025,11,5,23,0,11.8,5,12,55,5,2.7,0.8,10.0,3.0,,,0,33.5,5,2025,7,14,35.8,8,2021,8,7,19.7,8,2003,11,3,1977,2025-11-05
11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402.0,2025,11,5,23,0,12.6,5,13,27,5,3.1,2.0,10.0,3.0,,,0,32.2,5,2025,7,23,35.0,8,2000,7,31,21.1,8,2003,11,3,1942,2025-11-05
11316,北海道宗谷地方,歌登（ウタノボリ）,,2025,11,5,23,0,12.0,5,11,35,5,2.7,1.9,10.0,3.0,,,0,33.3,5,2025,8,1,35.4,8,1989,7,26,20.2,8,2003,11,3,1977,2025-11-05
12011,北海道上川地方,中川（ナカガワ）,,2025,11,5,23,0,11.7,5,12,52,5,2.3,0.7,10.0,3.0,,,0,32.5,5,2025,8,3,36.2,8,2021,7,28,18.7,8,2003,11,3,1977,2025-11-05
12041,北海道上川地方,音威子府（オトイネップ）,,2025,11,5,23,0,11.8,5,13,13,5,2.9,3.0,10.0,3.0,,,0,34.2,5,2025,7,14,36.6,8,2021,7,28,19.2,8,2003,11,3,1977,2025-11-05
12141,北海道上川地方,美深（ビフカ）,,2025,11,5,23,0,11.6,5,14,15,5,2.7,3.1,10.0,3.0,,,0,34.6,5,2025,7,14,36.6,8,2021,7,28,21.1,8,2003,11,3,1977,2025-11-05
