観測所番号,都道府県,地点,国際地点番号,観測時刻(年),観測時刻(月),観測時刻(日),観測時刻(時),観測時刻(分),30日の最高気温(℃),30日の最高気温の品質情報,30日の最高気温起時（時）,30日の最高気温起時（分）,30日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（29日まで）,今年の最高気温（29日まで）の品質情報,今年の最高気温（29日まで）を観測した起日（年）,今年の最高気温（29日まで）を観測した起日（月）,今年の最高気温（29日まで）を観測した起日（日）,29日までの観測史上1位の値（℃）,29日までの観測史上1位の値の品質情報,29日までの観測史上1位の値を観測した起日（年）,29日までの観測史上1位の値を観測した起日（月）,29日までの観測史上1位の値を観測した起日（日）,29日までの10月の1位の値,29日までの10月の1位の値の品質情報,29日までの10月の1位の値の起日（年）,29日までの10月の1位の値の起日（月）,29日までの10月の1位の値の起日（日）,統計開始年,date
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2025,9,30,,,20.9,8,12,58,8,3.8,1.1,9.0,1.0,,,0,28.7,4,2025,7,7,31.9,8,2000,8,1,29.7,8,1994,9,6,1978,2025-09-30
11016,北海道宗谷地方,稚内（ワッカナイ）,47401.0,2025,9,30,,,20.8,8,12,17,8,3.3,-0.9,9.0,2.0,,,0,28.3,4,2025,8,4,32.7,8,2021,7,29,29.7,8,2019,9,8,1938,2025-09-30
11046,北海道宗谷地方,礼文（レブン）,,2025,9,30,,,21.2,8,10,53,8,3.3,-0.4,9.0,2.0,,,0,29.0,4,2025,8,5,30.5,8,2022,7,31,29.0,8,2020,9,3,2003,2025-09-30
11061,北海道宗谷地方,声問（コエトイ）,,2025,9,30,,,21.7,8,12,58,8,3.8,2.0,9.0,2.0,,,0,29.5,4,2025,7,14,33.3,8,2021,7,29,31.1,8,2019,9,8,2003,2025-09-30
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2025,9,30,,,21.4,8,11,58,8,4.2,0.6,9.0,1.0,,,0,31.1,4,2025,7,7,32.7,8,2000,7,31,30.8,8,1994,9,6,1978,2025-09-30
11091,北海道宗谷地方,本泊（モトドマリ）,,2025,9,30,,,21.4,8,12,7,8,3.5,0.2,9.0,2.0,,,0,30.2,4,2025,7,7,31.8,8,2021,8,7,29.8,8,2019,9,8,2003,2025-09-30
11121,北海道宗谷地方,沼川（ヌマカワ）,,2025,9,30,,,21.5,8,13,21,8,4.0,0.2,9.0,1.0,,,0,29.5,4,2025,8,4,32.4,8,2021,7,29,31.3,8,2019,9,8,1977,2025-09-30
11151,北海道宗谷地方,沓形（クツガタ）,,2025,9,30,,,21.3,8,14,38,8,3.4,0.2,9.0,2.0,,,0,28.2,4,2025,7,30,32.5,8,1989,8,7,30.4,8,2020,9,3,1977,2025-09-30
11176,北海道宗谷地方,豊富（トヨトミ）,,2025,9,30,,,21.6,8,13,12,8,3.8,0.0,9.0,2.0,,,0,31.1,4,2025,8,3,33.1,8,2000,8,1,30.8,8,2019,9,8,1977,2025-09-30
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2025,9,30,,,21.2,8,12,54,8,3.6,0.3,9.0,2.0,,,0,31.8,4,2025,7,25,33.6,4,1989,7,27,30.9,8,1994,9,6,1977,2025-09-30
