観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),5日の最高気温(℃),5日の最高気温の品質情報,5日の最高気温起時（時）,5日の最高気温起時（分）,5日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（4日まで）,今年の最高気温（4日まで）の品質情報,今年の最高気温（4日まで）を観測した起日（年）,今年の最高気温（4日まで）を観測した起日（月）,今年の最高気温（4日まで）を観測した起日（日）,4日までの観測史上1位の値（℃）,4日までの観測史上1位の値の品質情報,4日までの観測史上1位の値を観測した起日（年）,4日までの観測史上1位の値を観測した起日（月）,4日までの観測史上1位の値を観測した起日（日）,4日までの1月の1位の値,4日までの1月の1位の値の品質情報,4日までの1月の1位の値の起日（年）,4日までの1月の1位の値の起日（月）,4日までの1月の1位の値の起日（日）,統計開始年,date
11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2025,1,5,20,0,-2.9,5,19.0,53.0,5.0,-1.1,1.9,1.0,2.0,,,1.0,-2.9,4,2025.0,1.0,1.0,31.9,8,2000,8,1,5.7,8,2023,1,13,1978,2025-01-05
11016,北海道宗谷地方,稚内（ワッカナイ）,47401.0,2025,1,5,20,0,-1.7,5,18.0,25.0,5.0,0.0,2.6,1.0,1.0,,,1.0,-2.1,4,2025.0,1.0,1.0,32.7,8,2021,7,29,7.4,8,2009,1,23,1938,2025-01-05
11046,北海道宗谷地方,礼文（レブン）,,2025,1,5,20,0,-1.4,5,19.0,53.0,5.0,0.9,4.5,2.0,3.0,,,1.0,-2.9,4,2025.0,1.0,1.0,30.5,8,2022,7,31,6.9,8,2009,1,23,2003,2025-01-05
11061,北海道宗谷地方,声問（コエトイ）,,2025,1,5,20,0,-3.1,5,20.0,0.0,5.0,-0.9,1.5,1.0,1.0,,,1.0,-3.3,4,2025.0,1.0,1.0,33.3,8,2021,7,29,6.3,8,2023,1,13,2003,2025-01-05
11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2025,1,5,20,0,-5.2,5,18.0,29.0,5.0,-2.7,0.6,99.0,0.0,,,0.0,-2.1,4,2025.0,1.0,1.0,32.7,8,2000,7,31,6.2,8,2023,1,13,1978,2025-01-05
11091,北海道宗谷地方,本泊（モトドマリ）,,2025,1,5,20,0,-2.1,5,19.0,56.0,5.0,-0.1,3.0,1.0,1.0,,,1.0,-2.5,4,2025.0,1.0,1.0,31.8,8,2021,8,7,8.4,8,2009,1,23,2003,2025-01-05
11121,北海道宗谷地方,沼川（ヌマカワ）,,2025,1,5,20,0,-2.9,5,19.0,30.0,5.0,-0.3,2.5,1.0,1.0,,,1.0,-4.8,4,2025.0,1.0,1.0,32.4,8,2021,7,29,7.5,8,2009,1,23,1977,2025-01-05
11151,北海道宗谷地方,沓形（クツガタ）,,2025,1,5,20,0,-0.4,5,20.0,0.0,5.0,0.8,3.7,2.0,3.0,,,1.0,-2.2,4,2025.0,1.0,1.0,32.5,8,1989,8,7,7.3,8,2009,1,23,1977,2025-01-05
11176,北海道宗谷地方,豊富（トヨトミ）,,2025,1,5,20,0,-1.1,5,20.0,0.0,5.0,1.2,4.1,2.0,3.0,,,1.0,-2.5,4,2025.0,1.0,1.0,33.1,8,2000,8,1,7.6,8,2009,1,23,1977,2025-01-05
11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2025,1,5,20,0,-4.8,5,20.0,0.0,5.0,-2.1,0.4,99.0,0.0,,,0.0,-2.9,4,2025.0,1.0,1.0,33.6,4,1989,7,27,8.2,8,2009,1,23,1977,2025-01-05
11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2025,1,5,20,0,-4.7,5,17.0,50.0,5.0,-1.9,0.6,99.0,0.0,,,0.0,-3.6,4,2025.0,1.0,1.0,35.8,8,2021,8,7,7.6,8,2009,1,23,1977,2025-01-05
11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402.0,2025,1,5,20,0,-4.7,5,15.0,44.0,5.0,-2.5,-0.3,99.0,0.0,,,0.0,-2.5,4,2025.0,1.0,1.0,35.0,8,2000,7,31,7.2,8,2023,1,13,1942,2025-01-05
11316,北海道宗谷地方,歌登（ウタノボリ）,,2025,1,5,20,0,-4.5,5,14.0,49.0,5.0,-1.8,1.2,99.0,0.0,,,0.0,-2.0,4,2025.0,1.0,1.0,35.4,8,1989,7,26,7.4,8,2009,1,23,1977,2025-01-05
12011,北海道上川地方,中川（ナカガワ）,,2025,1,5,20,0,-4.1,5,20.0,0.0,5.0,-1.5,1.2,99.0,0.0,,,1.0,-4.1,4,2025.0,1.0,2.0,36.2,8,2021,7,28,8.8,8,2009,1,23,1977,2025-01-05
12041,北海道上川地方,音威子府（オトイネップ）,,2025,1,5,20,0,-4.2,5,13.0,46.0,5.0,-0.9,1.6,1.0,2.0,,,0.0,-3.5,4,2025.0,1.0,2.0,36.6,8,2021,7,28,7.1,8,2023,1,13,1977,2025-01-05
12141,北海道上川地方,美深（ビフカ）,,2025,1,5,20,0,-4.1,5,13.0,59.0,5.0,-0.5,1.0,1.0,1.0,,,1.0,-5.0,4,2025.0,1.0,2.0,36.6,8,2021,7,28,6.4,8,2009,1,23,1977,2025-01-05
12181,北海道上川地方,名寄（ナヨロ）,,2025,1,5,20,0,-5.0,5,14.0,28.0,5.0,-1.4,0.0,99.0,0.0,,,0.0,-4.6,4,2025.0,1.0,2.0,36.4,8,2021,7,28,5.5,8,2023,1,13,1976,2025-01-05
12231,北海道上川地方,下川（シモカワ）,,2025,1,5,20,0,-4.9,5,14.0,3.0,5.0,-1.5,0.1,99.0,0.0,,,0.0,-4.5,4,2025.0,1.0,2.0,37.3,8,2021,7,28,6.4,8,2009,1,23,1977,2025-01-05
12261,北海道上川地方,士別（シベツ）,,2025,1,5,20,0,-4.4,5,12.0,44.0,5.0,-0.8,-0.2,1.0,2.0,,,0.0,-4.1,4,2025.0,1.0,2.0,37.0,8,2021,8,7,6.8,8,2009,1,23,1977,2025-01-05
12266,北海道上川地方,朝日（アサヒ）,,2025,1,5,20,0,-5.2,5,13.0,38.0,5.0,-1.8,0.3,99.0,0.0,,,0.0,-3.9,4,2025.0,1.0,2.0,37.2,8,2021,8,7,8.3,8,2009,1,23,1977,2025-01-05
12301,北海道上川地方,和寒（ワッサム）,,2025,1,5,20,0,-4.9,5,15.0,12.0,5.0,-1.5,-0.4,99.0,0.0,,,0.0,-3.3,4,2025.0,1.0,2.0,36.8,8,2021,8,7,6.3,8,2009,1,23,1977,2025-01-05
12386,北海道上川地方,江丹別（エタンベツ）,,2025,1,5,20,0,-4.4,5,13.0,42.0,5.0,-1.2,0.8,99.0,0.0,,,0.0,-3.8,4,2025.0,1.0,2.0,38.4,8,2021,7,31,7.0,8,2009,1,23,1977,2025-01-05
12396,北海道上川地方,比布（ピップ）,,2025,1,5,20,0,-4.8,5,14.0,42.0,5.0,-1.2,0.8,99.0,0.0,,,0.0,-4.3,4,2025.0,1.0,2.0,36.9,8,2021,8,7,6.6,8,2009,1,23,1977,2025-01-05
12411,北海道上川地方,上川（カミカワ）,,2025,1,5,20,0,-6.2,5,13.0,12.0,5.0,-2.4,0.9,99.0,0.0,,,0.0,-5.7,4,2025.0,1.0,2.0,35.1,8,2021,8,7,8.2,8,2009,1,23,1977,2025-01-05
12442,北海道上川地方,旭川（アサヒカワ）,47407.0,2025,1,5,20,0,-3.5,5,13.0,24.0,5.0,-0.8,0.5,1.0,2.0,,,0.0,-2.5,4,2025.0,1.0,2.0,37.9,8,2021,8,7,11.7,8,1892,1,1,1888,2025-01-05
12451,北海道上川地方,東川（ヒガシカワ）,,2025,1,5,20,0,-4.6,5,13.0,18.0,5.0,-1.1,0.8,99.0,0.0,,,0.0,-3.8,4,2025.0,1.0,2.0,37.0,8,2021,8,6,7.7,8,2023,1,13,1977,2025-01-05
