name,date,maxtemp,prec_no,points_no
羅臼,2017-09-01,20.3,18,18038
羅臼,2017-09-02,18.2,18,18038
羅臼,2017-09-03,20.7,18,18038
羅臼,2017-09-04,21.0,18,18038
羅臼,2017-09-05,25.1,18,18038
羅臼,2017-09-06,21.0,18,18038
羅臼,2017-09-07,22.1,18,18038
羅臼,2017-09-08,18.2,18,18038
羅臼,2017-09-09,19.3,18,18038
羅臼,2017-09-10,17.5,18,18038
羅臼,2017-09-11,20.6,18,18038
羅臼,2017-09-12,16.5,18,18038
羅臼,2017-09-13,21.3,18,18038
羅臼,2017-09-14,13.8,18,18038
羅臼,2017-09-15,15.9,18,18038
羅臼,2017-09-16,17.1,18,18038
羅臼,2017-09-17,17.9,18,18038
羅臼,2017-09-18,18.9,18,18038
羅臼,2017-09-19,23.0,18,18038
羅臼,2017-09-20,23.0,18,18038
羅臼,2017-09-21,18.6,18,18038
羅臼,2017-09-22,19.9,18,18038
羅臼,2017-09-23,18.1,18,18038
羅臼,2017-09-24,16.0,18,18038
羅臼,2017-09-25,16.9,18,18038
羅臼,2017-09-26,19.4,18,18038
羅臼,2017-09-27,20.3,18,18038
羅臼,2017-09-28,15.8,18,18038
羅臼,2017-09-29,16.7,18,18038
羅臼,2017-09-30,17.7,18,18038
標津,2017-09-01,18.5,18,18136
標津,2017-09-02,17.5,18,18136
標津,2017-09-03,19.7,18,18136
標津,2017-09-04,22.3,18,18136
標津,2017-09-05,27.9,18,18136
標津,2017-09-06,25.2,18,18136
標津,2017-09-07,23.4,18,18136
標津,2017-09-08,18.6,18,18136
標津,2017-09-09,21.2,18,18136
標津,2017-09-10,17.6,18,18136
標津,2017-09-11,21.9,18,18136
標津,2017-09-12,16.7,18,18136
標津,2017-09-13,19.7,18,18136
標津,2017-09-14,14.6,18,18136
標津,2017-09-15,16.7,18,18136
標津,2017-09-16,18.7,18,18136
標津,2017-09-17,20.1,18,18136
標津,2017-09-18,20.3,18,18136
標津,2017-09-19,24.9,18,18136
標津,2017-09-20,26.4,18,18136
標津,2017-09-21,19.7,18,18136
標津,2017-09-22,21.3,18,18136
標津,2017-09-23,20.4,18,18136
標津,2017-09-24,19.2,18,18136
標津,2017-09-25,20.4,18,18136
標津,2017-09-26,22.7,18,18136
標津,2017-09-27,22.7,18,18136
標津,2017-09-28,15.7,18,18136
標津,2017-09-29,17.9,18,18136
標津,2017-09-30,20.1,18,18136
中標津,2017-09-01,20.0,18,18171
中標津,2017-09-02,17.7,18,18171
