name,date,maxtemp,prec_no,points_no
雄武,2004-07-01,18.7,17,17036
雄武,2004-07-02,21.2,17,17036
雄武,2004-07-03,15.4,17,17036
雄武,2004-07-04,12.9,17,17036
雄武,2004-07-05,15.0,17,17036
雄武,2004-07-06,14.1,17,17036
雄武,2004-07-07,14.2,17,17036
雄武,2004-07-08,17.9,17,17036
雄武,2004-07-09,16.0,17,17036
雄武,2004-07-10,15.2,17,17036
雄武,2004-07-11,12.7,17,17036
雄武,2004-07-12,12.8,17,17036
雄武,2004-07-13,15.5,17,17036
雄武,2004-07-14,19.3,17,17036
雄武,2004-07-15,28.0,17,17036
雄武,2004-07-16,23.4,17,17036
雄武,2004-07-17,26.2,17,17036
雄武,2004-07-18,20.4,17,17036
雄武,2004-07-19,18.3,17,17036
雄武,2004-07-20,24.9,17,17036
雄武,2004-07-21,21.9,17,17036
雄武,2004-07-22,18.5,17,17036
雄武,2004-07-23,30.5,17,17036
雄武,2004-07-24,32.3,17,17036
雄武,2004-07-25,27.6,17,17036
雄武,2004-07-26,19.1,17,17036
雄武,2004-07-27,28.4,17,17036
雄武,2004-07-28,28.4,17,17036
雄武,2004-07-29,30.0,17,17036
雄武,2004-07-30,33.2,17,17036
雄武,2004-07-31,26.9,17,17036
興部,2004-07-01,18.6,17,17076
興部,2004-07-02,20.0,17,17076
興部,2004-07-03,14.9,17,17076
興部,2004-07-04,13.1,17,17076
興部,2004-07-05,15.8,17,17076
興部,2004-07-06,14.9,17,17076
興部,2004-07-07,14.2,17,17076
興部,2004-07-08,18.8,17,17076
興部,2004-07-09,16.6,17,17076
興部,2004-07-10,15.5,17,17076
興部,2004-07-11,12.2,17,17076
興部,2004-07-12,12.8,17,17076
興部,2004-07-13,16.6,17,17076
興部,2004-07-14,21.6,17,17076
興部,2004-07-15,27.3,17,17076
興部,2004-07-16,27.8,17,17076
興部,2004-07-17,26.3,17,17076
興部,2004-07-18,21.6,17,17076
興部,2004-07-19,20.5,17,17076
興部,2004-07-20,25.8,17,17076
興部,2004-07-21,19.6,17,17076
興部,2004-07-22,19.5,17,17076
興部,2004-07-23,30.6,17,17076
興部,2004-07-24,32.1,17,17076
