,london,newyork,paris,beijing,bangkok,newdelhi,sidney,sanpaulo,tokyo,capetown
0,9.816705322265648,9.700967407226583,8.43872985839846,-2.5913452148437277,28.228189086914085,20.5185485839844,31.7170349121094,27.475625610351585,8.856668090820335,23.386834716796898
1,5.100457763671898,3.6536346435547102,7.006951904296898,-1.1298126220702898,28.843194580078148,21.87836608886721,32.29891357421877,29.037774658203148,9.097375488281273,25.649499511718773
2,4.389916992187523,6.039468383789085,5.846917724609398,0.4347930908203352,28.19153747558596,20.831475830078148,26.541192626953148,29.386834716796898,8.222253417968773,29.556665039062523
3,2.4584442138672102,6.998696899414085,5.341851806640648,-0.5136474609374773,27.83957824707033,19.446633911132835,34.04134521484377,24.926309204101585,8.82782897949221,25.591943359375023
4,4.388024902343773,6.093423461914085,5.662377929687523,-1.3965209960937273,26.853326416015648,21.044595336914085,35.3974548339844,21.906335449218773,12.265298461914085,24.980737304687523
5,7.31128845214846,8.339517211914085,5.71869812011721,0.4011474609375227,30.71875915527346,18.93982849121096,18.444512939453148,26.580987548828148,4.610391235351585,27.637719726562523
6,9.343682861328148,0.5272003173828352,6.937234497070335,0.2725463867187727,31.29126892089846,18.991967773437523,21.558801269531276,28.91224060058596,8.89502868652346,25.196191406250023
7,7.690835571289085,6.499993896484398,8.143853759765648,-1.9140075683593525,30.24036560058596,19.128762817382835,29.053979492187523,30.800088500976585,10.009317016601585,24.814660644531273
8,4.94355163574221,6.581277465820335,5.898889160156273,0.5539489746093977,30.37842712402346,19.953897094726585,25.04346618652346,28.636437988281276,6.550088500976585,24.750390625000023
9,4.143029785156273,0.8756500244140852,3.9732604980468977,4.717019653320335,30.561059570312523,19.63123474121096,20.43616638183596,29.05457458496096,7.060952758789085,22.661828613281273
10,6.889642333984398,-1.3462280273437273,6.353143310546898,3.96399841308596,31.151513671875023,20.044305419921898,27.745446777343773,28.360894775390648,11.290933227539085,23.174829101562523
11,8.678857421875023,0.5916381835937727,8.13276062011721,5.43891296386721,32.6242614746094,20.719018554687523,32.74025878906252,26.9938903808594,6.382196044921898,21.836694335937523
12,9.742578125000025,-0.4564727783202897,10.049340820312525,4.887048339843773,32.3292175292969,21.182458496093773,28.242883300781276,26.947595214843773,9.060525512695335,23.229760742187523
13,7.918664550781273,0.4621826171875227,8.780984497070335,4.80439147949221,32.334695434570335,19.029336547851585,30.528436279296898,26.182305908203148,8.51215515136721,23.007836914062523
14,8.38727722167971,2.72388610839846,8.314813232421898,-4.619970703124977,31.76917419433596,19.29834899902346,36.19541320800784,29.04563293457033,10.360147094726585,24.607507324218773
15,9.229455566406273,4.619165039062523,7.06714782714846,1.5899291992187727,31.565347290039085,19.457421875000023,35.3295837402344,29.65351257324221,8.75238952636721,29.665429687500023
16,3.5556579589843977,-0.0518249511718522,6.30896911621096,3.73236999511721,31.158258056640648,20.597619628906276,37.118569946289085,29.28962097167971,10.378594970703148,25.545922851562523
17,5.083108520507835,3.579019165039085,4.422967529296898,4.665917968750023,27.435693359375023,20.317834472656276,38.03426513671877,28.515252685546898,8.636026000976585,18.610620117187523
18,3.841104125976585,2.364785766601585,2.312310791015648,2.579034423828148,29.731530761718773,22.55030212402346,26.3010192871094,30.262078857421898,9.87354431152346,21.527856445312523
19,3.7380310058593977,1.81128845214846,3.0307556152343977,1.4830566406250227,32.18628845214846,25.298272705078148,26.989602661132835,27.766564941406276,11.972924804687523,27.202844238281273
20,4.627175903320335,-10.53642883300779,1.5048767089843975,5.166192626953148,31.489587402343773,23.627297973632835,28.148583984375023,30.60486755371096,8.569985961914085,23.902978515625023
21,4.483483886718773,-1.9052185058593525,1.7920318603515852,7.932916259765648,31.9431091308594,18.885110473632835,33.20729980468752,25.720147705078148,9.044717407226585,23.155847167968773
22,1.7046905517578352,3.7781921386718977,1.81836853027346,7.422021484375023,31.529870605468773,17.556619262695335,28.366815185546898,27.4435974121094,10.402978515625023,22.264855957031273
23,5.719659423828148,11.813012695312525,1.8091979980468975,4.734704589843773,32.230630493164085,18.461480712890648,29.04877624511721,27.025445556640648,8.267022705078148,24.606347656250023
24,10.237939453125025,3.333673095703148,3.2661834716797102,2.3495117187500227,32.08893737792971,17.355554199218773,35.8819519042969,21.93430480957033,6.833352661132835,25.365258789062523
25,9.301248168945335,1.2333618164062727,8.051263427734398,2.28553161621096,31.361779785156276,17.24903259277346,37.79229125976565,24.959512329101585,8.091348266601585,31.132104492187523
26,5.187280273437523,7.717523193359398,4.576562500000023,6.011621093750023,30.821069335937523,16.699792480468773,37.97564086914065,27.811669921875023,8.311486816406273,31.663964843750023
27,4.42884216308596,-0.1193450927734147,5.667337036132835,4.745629882812523,31.504693603515648,17.511285400390648,27.483819580078148,30.057885742187523,12.288507080078148,33.40468750000002
28,5.22693786621096,4.089532470703148,4.22480163574221,6.902688598632835,32.02527770996096,18.545510864257835,35.05230102539065,30.756204223632835,8.879632568359398,25.083520507812523
29,3.5454803466797102,0.1854492187500227,3.050454711914085,-0.2182983398437272,32.51178894042971,19.337564086914085,32.72515258789065,31.314813232421898,9.147546386718773,25.945581054687523
30,3.2632995605468977,-8.841925048828102,1.1963745117187727,-1.0260681152343525,32.25637207031252,20.515222167968773,36.14544067382815,31.57813415527346,9.622521972656273,28.195336914062523
31,2.149468994140648,-6.056097412109352,8.390176391601585,4.986306762695335,31.48249206542971,19.136834716796898,20.646386718750023,31.735147094726585,6.459985351562523,32.22878417968752
