,temp,year,date
245,15.83,1979,9/3
246,15.7,1979,9/4
247,15.61,1979,9/5
248,15.59,1979,9/6
249,15.66,1979,9/7
250,15.71,1979,9/8
251,15.67,1979,9/9
252,15.6,1979,9/10
253,15.57,1979,9/11
254,15.57,1979,9/12
255,15.53,1979,9/13
256,15.46,1979,9/14
257,15.41,1979,9/15
258,15.43,1979,9/16
259,15.45,1979,9/17
260,15.49,1979,9/18
261,15.56,1979,9/19
262,15.54,1979,9/20
263,15.52,1979,9/21
264,15.53,1979,9/22
265,15.46,1979,9/23
266,15.4,1979,9/24
267,15.39,1979,9/25
268,15.38,1979,9/26
269,15.33,1979,9/27
270,15.28,1979,9/28
271,15.21,1979,9/29
272,15.15,1979,9/30
273,15.13,1979,10/1
274,15.09,1979,10/2
275,15.09,1979,10/3
276,15.01,1979,10/4
277,14.95,1979,10/5
278,14.96,1979,10/6
279,14.94,1979,10/7
280,14.94,1979,10/8
281,14.88,1979,10/9
282,14.81,1979,10/10
283,14.83,1979,10/11
284,14.81,1979,10/12
285,14.72,1979,10/13
286,14.67,1979,10/14
287,14.63,1979,10/15
288,14.57,1979,10/16
289,14.49,1979,10/17
290,14.37,1979,10/18
291,14.29,1979,10/19
292,14.3,1979,10/20
293,14.24,1979,10/21
294,14.18,1979,10/22
295,14.13,1979,10/23
296,14.1,1979,10/24
297,14.06,1979,10/25
298,14.02,1979,10/26
299,13.92,1979,10/27
300,13.82,1979,10/28
301,13.79,1979,10/29
302,13.75,1979,10/30
303,13.74,1979,10/31
304,13.72,1979,11/1
305,13.64,1979,11/2
306,13.54,1979,11/3
307,13.45,1979,11/4
308,13.38,1979,11/5
309,13.33,1979,11/6
310,13.33,1979,11/7
311,13.29,1979,11/8
312,13.22,1979,11/9
313,13.14,1979,11/10
314,13.05,1979,11/11
315,13.04,1979,11/12
316,13.11,1979,11/13
317,13.16,1979,11/14
318,13.23,1979,11/15
319,13.3,1979,11/16
320,13.34,1979,11/17
321,13.34,1979,11/18
322,13.29,1979,11/19
323,13.28,1979,11/20
324,13.29,1979,11/21
325,13.3,1979,11/22
326,13.29,1979,11/23
327,13.34,1979,11/24
328,13.35,1979,11/25
329,13.29,1979,11/26
330,13.28,1979,11/27
331,13.26,1979,11/28
332,13.18,1979,11/29
333,13.08,1979,11/30
334,13.01,1979,12/1
335,12.98,1979,12/2
336,13.01,1979,12/3
337,13.08,1979,12/4
338,13.14,1979,12/5
339,13.15,1979,12/6
340,13.13,1979,12/7
341,13.08,1979,12/8
342,13.03,1979,12/9
343,13.0,1979,12/10
344,12.96,1979,12/11
345,12.91,1979,12/12
346,12.82,1979,12/13
347,12.79,1979,12/14
348,12.76,1979,12/15
349,12.77,1979,12/16
350,12.77,1979,12/17
351,12.73,1979,12/18
352,12.76,1979,12/19
353,12.75,1979,12/20
354,12.75,1979,12/21
355,12.71,1979,12/22
356,12.66,1979,12/23
357,12.66,1979,12/24
358,12.7,1979,12/25
359,12.74,1979,12/26
360,12.69,1979,12/27
361,12.64,1979,12/28
362,12.59,1979,12/29
363,12.51,1979,12/30
364,12.4,1979,12/31
365,12.34,1980,1/1
366,12.28,1980,1/2
367,12.19,1980,1/3
368,12.09,1980,1/4
369,12.1,1980,1/5
370,12.12,1980,1/6
371,12.14,1980,1/7
372,12.19,1980,1/8
373,12.27,1980,1/9
374,12.31,1980,1/10
375,12.31,1980,1/11
376,12.31,1980,1/12
377,12.4,1980,1/13
378,12.52,1980,1/14
379,12.61,1980,1/15
380,12.9,1980,1/16
381,12.77,1980,1/17
382,12.71,1980,1/18
383,12.71,1980,1/19
384,12.75,1980,1/20
385,12.72,1980,1/21
386,12.73,1980,1/22
387,12.69,1980,1/23
388,12.59,1980,1/24
389,12.57,1980,1/25
390,12.55,1980,1/26
391,12.5,1980,1/27
392,12.39,1980,1/28
393,12.27,1980,1/29
394,12.14,1980,1/30
395,12.08,1980,1/31
396,12.1,1980,2/1
397,12.18,1980,2/2
398,12.25,1980,2/3
399,12.32,1980,2/4
400,12.62,1980,2/5
401,12.44,1980,2/6
402,12.47,1980,2/7
403,12.54,1980,2/8
404,12.53,1980,2/9
405,12.53,1980,2/10
406,12.6,1980,2/11
407,12.68,1980,2/12
408,12.74,1980,2/13
409,12.8,1980,2/14
410,12.9,1980,2/15
411,12.95,1980,2/16
412,12.93,1980,2/17
413,13.17,1980,2/18
414,13.02,1980,2/19
415,12.99,1980,2/20
416,12.96,1980,2/21
417,12.93,1980,2/22
418,13.0,1980,2/23
419,13.0,1980,2/24
420,12.99,1980,2/25
421,12.94,1980,2/26
422,12.91,1980,2/27
423,12.98,1980,2/28
425,13.07,1980,3/1
426,12.82,1980,3/2
427,12.79,1980,3/3
428,13.06,1980,3/4
429,12.94,1980,3/5
430,12.96,1980,3/6
431,13.03,1980,3/7
432,13.07,1980,3/8
433,13.06,1980,3/9
434,13.05,1980,3/10
435,13.01,1980,3/11
436,13.21,1980,3/12
437,13.09,1980,3/13
438,13.13,1980,3/14
439,13.16,1980,3/15
440,13.14,1980,3/16
441,13.26,1980,3/17
442,13.39,1980,3/18
443,13.67,1980,3/19
444,13.65,1980,3/20
445,13.85,1980,3/21
446,13.77,1980,3/22
447,13.78,1980,3/23
448,13.77,1980,3/24
449,13.77,1980,3/25
450,13.76,1980,3/26
451,13.88,1980,3/27
452,13.78,1980,3/28
453,13.78,1980,3/29
454,13.96,1980,3/30
455,13.81,1980,3/31
456,13.82,1980,4/1
457,13.88,1980,4/2
458,13.9,1980,4/3
459,13.88,1980,4/4
460,14.08,1980,4/5
461,14.03,1980,4/6
