year,count
2023,33
2001,31
2018,30
2004,30
1978,28
2022,28
2011,26
2002,25
1997,25
2017,25
2000,24
2010,24
1994,23
1963,22
1996,21
1991,20
2008,19
1987,19
2021,19
1979,18
1967,18
1990,18
1981,18
2013,17
2014,17
2015,17
1985,16
1973,16
1984,15
1999,15
2005,15
1998,15
1969,14
1964,14
2007,14
2012,14
2009,14
1971,14
2020,13
1977,13
2016,13
1975,13
1972,13
1992,12
1970,12
1980,11
1989,10
1968,10
2006,10
1995,10
1966,9
1976,9
2019,8
1965,7
1974,6
2003,6
1986,4
1983,4
1993,4
1988,1
1982,1
