name,date,maxtemp,prec_no,points_no
長万部,2016-04-01,8.8,23,23031
長万部,2016-04-02,5.1,23,23031
長万部,2016-04-03,10.5,23,23031
長万部,2016-04-04,10.0,23,23031
長万部,2016-04-05,13.6,23,23031
長万部,2016-04-06,13.1,23,23031
長万部,2016-04-07,9.2,23,23031
長万部,2016-04-08,11.4,23,23031
長万部,2016-04-09,11.9,23,23031
長万部,2016-04-10,8.3,23,23031
長万部,2016-04-11,6.9,23,23031
長万部,2016-04-12,11.2,23,23031
長万部,2016-04-13,9.3,23,23031
長万部,2016-04-14,9.2,23,23031
長万部,2016-04-15,6.7,23,23031
長万部,2016-04-16,9.8,23,23031
長万部,2016-04-17,8.7,23,23031
長万部,2016-04-18,10.0,23,23031
長万部,2016-04-19,7.3,23,23031
長万部,2016-04-20,14.3,23,23031
長万部,2016-04-21,19.2,23,23031
長万部,2016-04-22,13.9,23,23031
長万部,2016-04-23,8.6,23,23031
長万部,2016-04-24,15.4,23,23031
長万部,2016-04-25,15.4,23,23031
長万部,2016-04-26,14.1,23,23031
長万部,2016-04-27,10.9,23,23031
長万部,2016-04-28,8.4,23,23031
長万部,2016-04-29,9.7,23,23031
長万部,2016-04-30,8.9,23,23031
八雲,2016-04-01,8.1,23,23086
八雲,2016-04-02,6.2,23,23086
八雲,2016-04-03,10.3,23,23086
八雲,2016-04-04,11.5,23,23086
八雲,2016-04-05,12.7,23,23086
八雲,2016-04-06,12.6,23,23086
八雲,2016-04-07,7.4,23,23086
八雲,2016-04-08,10.3,23,23086
八雲,2016-04-09,12.2,23,23086
八雲,2016-04-10,8.0,23,23086
八雲,2016-04-11,6.8,23,23086
八雲,2016-04-12,10.6,23,23086
八雲,2016-04-13,8.0,23,23086
八雲,2016-04-14,8.4,23,23086
八雲,2016-04-15,7.4,23,23086
八雲,2016-04-16,13.7,23,23086
八雲,2016-04-17,10.8,23,23086
八雲,2016-04-18,10.3,23,23086
八雲,2016-04-19,8.5,23,23086
八雲,2016-04-20,13.2,23,23086
八雲,2016-04-21,17.6,23,23086
八雲,2016-04-22,13.6,23,23086
八雲,2016-04-23,9.9,23,23086
八雲,2016-04-24,16.3,23,23086
八雲,2016-04-25,15.5,23,23086
八雲,2016-04-26,15.2,23,23086
八雲,2016-04-27,12.6,23,23086
八雲,2016-04-28,8.3,23,23086
八雲,2016-04-29,9.5,23,23086
八雲,2016-04-30,9.6,23,23086
森,2016-04-01,9.4,23,23166
森,2016-04-02,6.6,23,23166
森,2016-04-03,9.6,23,23166
森,2016-04-04,10.2,23,23166
森,2016-04-05,12.5,23,23166
森,2016-04-06,11.7,23,23166
森,2016-04-07,11.8,23,23166
森,2016-04-08,11.1,23,23166
森,2016-04-09,11.3,23,23166
森,2016-04-10,8.0,23,23166
森,2016-04-11,6.0,23,23166
森,2016-04-12,9.8,23,23166
森,2016-04-13,12.7,23,23166
森,2016-04-14,14.5,23,23166
森,2016-04-15,7.3,23,23166
森,2016-04-16,13.1,23,23166
森,2016-04-17,12.0,23,23166
森,2016-04-18,8.4,23,23166
森,2016-04-19,7.8,23,23166
森,2016-04-20,12.9,23,23166
森,2016-04-21,18.1,23,23166
森,2016-04-22,16.2,23,23166
森,2016-04-23,13.6,23,23166
森,2016-04-24,14.6,23,23166
森,2016-04-25,16.0,23,23166
森,2016-04-26,13.9,23,23166
森,2016-04-27,13.3,23,23166
森,2016-04-28,9.2,23,23166
森,2016-04-29,7.1,23,23166
森,2016-04-30,9.3,23,23166
川汲,2016-04-01,8.9,23,23206
川汲,2016-04-02,7.4,23,23206
川汲,2016-04-03,10.2,23,23206
川汲,2016-04-04,9.1,23,23206
川汲,2016-04-05,12.8,23,23206
川汲,2016-04-06,12.8,23,23206
川汲,2016-04-07,11.4,23,23206
川汲,2016-04-08,10.7,23,23206
川汲,2016-04-09,13.9,23,23206
川汲,2016-04-10,7.8,23,23206
川汲,2016-04-11,6.9,23,23206
川汲,2016-04-12,10.5 ),23,23206
川汲,2016-04-13,14.2,23,23206
川汲,2016-04-14,12.4,23,23206
川汲,2016-04-15,8.9,23,23206
川汲,2016-04-16,11.5,23,23206
川汲,2016-04-17,13.5,23,23206
川汲,2016-04-18,11.8,23,23206
川汲,2016-04-19,8.3,23,23206
川汲,2016-04-20,13.8,23,23206
川汲,2016-04-21,18.5,23,23206
川汲,2016-04-22,16.3,23,23206
川汲,2016-04-23,13.5,23,23206
川汲,2016-04-24,14.4,23,23206
川汲,2016-04-25,15.1,23,23206
川汲,2016-04-26,13.9,23,23206
川汲,2016-04-27,10.7,23,23206
川汲,2016-04-28,8.6,23,23206
川汲,2016-04-29,7.7,23,23206
川汲,2016-04-30,8.9,23,23206
北斗,2016-04-01,10.0,23,23226
北斗,2016-04-02,7.1,23,23226
北斗,2016-04-03,10.1,23,23226
北斗,2016-04-04,12.1,23,23226
北斗,2016-04-05,14.2,23,23226
北斗,2016-04-06,12.9,23,23226
北斗,2016-04-07,13.3,23,23226
北斗,2016-04-08,10.6,23,23226
北斗,2016-04-09,13.2,23,23226
北斗,2016-04-10,9.9,23,23226
北斗,2016-04-11,7.8,23,23226
北斗,2016-04-12,11.1,23,23226
北斗,2016-04-13,12.1,23,23226
北斗,2016-04-14,14.9,23,23226
北斗,2016-04-15,9.0,23,23226
北斗,2016-04-16,14.3,23,23226
北斗,2016-04-17,12.0,23,23226
北斗,2016-04-18,9.7,23,23226
北斗,2016-04-19,9.2,23,23226
北斗,2016-04-20,14.6,23,23226
北斗,2016-04-21,20.1,23,23226
北斗,2016-04-22,15.2,23,23226
北斗,2016-04-23,13.2,23,23226
北斗,2016-04-24,17.4,23,23226
北斗,2016-04-25,15.8,23,23226
北斗,2016-04-26,16.8,23,23226
北斗,2016-04-27,13.1,23,23226
北斗,2016-04-28,9.4,23,23226
北斗,2016-04-29,9.3,23,23226
北斗,2016-04-30,11.3,23,23226
函館,2016-04-01,10.2,23,23232
函館,2016-04-02,8.0,23,23232
函館,2016-04-03,9.6,23,23232
函館,2016-04-04,11.3,23,23232
函館,2016-04-05,12.8,23,23232
函館,2016-04-06,12.7,23,23232
函館,2016-04-07,13.0,23,23232
函館,2016-04-08,10.7,23,23232
函館,2016-04-09,13.6,23,23232
函館,2016-04-10,10.5,23,23232
函館,2016-04-11,8.2,23,23232
函館,2016-04-12,11.3 ),23,23232
函館,2016-04-13,13.2,23,23232
函館,2016-04-14,16.1,23,23232
函館,2016-04-15,9.7,23,23232
函館,2016-04-16,14.5,23,23232
函館,2016-04-17,12.7,23,23232
函館,2016-04-18,9.9,23,23232
函館,2016-04-19,9.2,23,23232
函館,2016-04-20,13.4,23,23232
函館,2016-04-21,18.5,23,23232
函館,2016-04-22,15.4,23,23232
函館,2016-04-23,13.6,23,23232
函館,2016-04-24,17.8,23,23232
函館,2016-04-25,15.8,23,23232
函館,2016-04-26,16.8,23,23232
函館,2016-04-27,13.1,23,23232
函館,2016-04-28,9.7,23,23232
函館,2016-04-29,9.9,23,23232
函館,2016-04-30,11.3,23,23232
松前,2016-04-01,9.3,23,23376
松前,2016-04-02,9.3,23,23376
松前,2016-04-03,10.0,23,23376
松前,2016-04-04,10.1,23,23376
松前,2016-04-05,11.5,23,23376
松前,2016-04-06,11.0,23,23376
松前,2016-04-07,12.3,23,23376
松前,2016-04-08,10.2,23,23376
松前,2016-04-09,11.4,23,23376
松前,2016-04-10,8.9,23,23376
松前,2016-04-11,6.9,23,23376
松前,2016-04-12,9.6,23,23376
松前,2016-04-13,13.0,23,23376
松前,2016-04-14,13.1,23,23376
松前,2016-04-15,7.8,23,23376
松前,2016-04-16,12.4,23,23376
松前,2016-04-17,13.8,23,23376
松前,2016-04-18,7.7,23,23376
松前,2016-04-19,7.6 ),23,23376
松前,2016-04-20,13.2,23,23376
松前,2016-04-21,16.0,23,23376
松前,2016-04-22,16.1,23,23376
松前,2016-04-23,13.6,23,23376
松前,2016-04-24,12.8,23,23376
松前,2016-04-25,14.5,23,23376
松前,2016-04-26,14.2,23,23376
松前,2016-04-27,13.0,23,23376
松前,2016-04-28,11.2,23,23376
松前,2016-04-29,10.3,23,23376
松前,2016-04-30,10.5,23,23376
熊石,2016-04-01,9.3,23,24141
