name,date,maxtemp,prec_no,points_no
高千穂,2016-08-01,33.7,87,87041.0
高千穂,2016-08-02,33.0,87,87041.0
高千穂,2016-08-03,32.2,87,87041.0
高千穂,2016-08-04,32.5,87,87041.0
高千穂,2016-08-05,31.4,87,87041.0
高千穂,2016-08-06,31.3,87,87041.0
高千穂,2016-08-07,31.3,87,87041.0
高千穂,2016-08-08,34.4,87,87041.0
高千穂,2016-08-09,34.8,87,87041.0
高千穂,2016-08-10,35.3,87,87041.0
高千穂,2016-08-11,36.5,87,87041.0
高千穂,2016-08-12,34.3,87,87041.0
高千穂,2016-08-13,34.1,87,87041.0
高千穂,2016-08-14,34.5,87,87041.0
高千穂,2016-08-15,33.5,87,87041.0
高千穂,2016-08-16,31.9,87,87041.0
高千穂,2016-08-17,34.4,87,87041.0
高千穂,2016-08-18,34.4,87,87041.0
高千穂,2016-08-19,33.4,87,87041.0
高千穂,2016-08-20,35.0,87,87041.0
高千穂,2016-08-21,32.9,87,87041.0
高千穂,2016-08-22,35.5,87,87041.0
高千穂,2016-08-23,34.9,87,87041.0
高千穂,2016-08-24,32.6,87,87041.0
高千穂,2016-08-25,30.7,87,87041.0
高千穂,2016-08-26,33.6,87,87041.0
高千穂,2016-08-27,31.9,87,87041.0
高千穂,2016-08-28,29.0,87,87041.0
高千穂,2016-08-29,24.0,87,87041.0
高千穂,2016-08-30,25.8,87,87041.0
高千穂,2016-08-31,26.7,87,87041.0
延岡,2016-08-01,33.3,87,87141.0
延岡,2016-08-02,33.8,87,87141.0
延岡,2016-08-03,32.4,87,87141.0
延岡,2016-08-04,32.0,87,87141.0
延岡,2016-08-05,32.3,87,87141.0
延岡,2016-08-06,32.0,87,87141.0
延岡,2016-08-07,32.4,87,87141.0
延岡,2016-08-08,32.5,87,87141.0
延岡,2016-08-09,34.2,87,87141.0
延岡,2016-08-10,34.2,87,87141.0
延岡,2016-08-11,32.8,87,87141.0
延岡,2016-08-12,33.1,87,87141.0
延岡,2016-08-13,33.4,87,87141.0
延岡,2016-08-14,33.9,87,87141.0
延岡,2016-08-15,33.4,87,87141.0
延岡,2016-08-16,33.9,87,87141.0
延岡,2016-08-17,34.3,87,87141.0
延岡,2016-08-18,34.1,87,87141.0
延岡,2016-08-19,33.7,87,87141.0
延岡,2016-08-20,35.5,87,87141.0
延岡,2016-08-21,34.9,87,87141.0
延岡,2016-08-22,35.6,87,87141.0
延岡,2016-08-23,35.6,87,87141.0
延岡,2016-08-24,32.5,87,87141.0
延岡,2016-08-25,33.0,87,87141.0
延岡,2016-08-26,32.5,87,87141.0
延岡,2016-08-27,33.5,87,87141.0
延岡,2016-08-28,30.1,87,87141.0
延岡,2016-08-29,30.6,87,87141.0
延岡,2016-08-30,30.1,87,87141.0
延岡,2016-08-31,31.6,87,87141.0
日向,2016-08-01,33.2,87,87181.0
日向,2016-08-02,33.8,87,87181.0
日向,2016-08-03,33.0,87,87181.0
日向,2016-08-04,32.4,87,87181.0
日向,2016-08-05,33.1,87,87181.0
日向,2016-08-06,32.5,87,87181.0
日向,2016-08-07,32.8,87,87181.0
日向,2016-08-08,33.3,87,87181.0
日向,2016-08-09,35.7,87,87181.0
日向,2016-08-10,35.1,87,87181.0
日向,2016-08-11,33.7,87,87181.0
日向,2016-08-12,34.4,87,87181.0
日向,2016-08-13,33.3,87,87181.0
日向,2016-08-14,34.3,87,87181.0
日向,2016-08-15,33.8,87,87181.0
日向,2016-08-16,34.3,87,87181.0
日向,2016-08-17,34.7,87,87181.0
日向,2016-08-18,33.8,87,87181.0
日向,2016-08-19,34.5,87,87181.0
日向,2016-08-20,35.5,87,87181.0
日向,2016-08-21,35.5,87,87181.0
日向,2016-08-22,35.9,87,87181.0
日向,2016-08-23,35.2,87,87181.0
日向,2016-08-24,30.4,87,87181.0
日向,2016-08-25,32.7,87,87181.0
日向,2016-08-26,32.9,87,87181.0
日向,2016-08-27,32.9,87,87181.0
日向,2016-08-28,31.3,87,87181.0
日向,2016-08-29,30.2,87,87181.0
日向,2016-08-30,30.1,87,87181.0
日向,2016-08-31,32.3,87,87181.0
高鍋,2016-08-01,32.1,87,87293.0
高鍋,2016-08-02,31.8,87,87293.0
高鍋,2016-08-03,30.9,87,87293.0
高鍋,2016-08-04,32.0,87,87293.0
高鍋,2016-08-05,32.4,87,87293.0
高鍋,2016-08-06,31.9,87,87293.0
高鍋,2016-08-07,31.1,87,87293.0
高鍋,2016-08-08,31.7,87,87293.0
高鍋,2016-08-09,33.0,87,87293.0
高鍋,2016-08-10,32.1,87,87293.0
高鍋,2016-08-11,32.0,87,87293.0
高鍋,2016-08-12,31.6,87,87293.0
高鍋,2016-08-13,32.1,87,87293.0
高鍋,2016-08-14,32.1,87,87293.0
高鍋,2016-08-15,32.2,87,87293.0
高鍋,2016-08-16,32.8,87,87293.0
高鍋,2016-08-17,32.7,87,87293.0
高鍋,2016-08-18,33.5,87,87293.0
高鍋,2016-08-19,33.1,87,87293.0
高鍋,2016-08-20,33.1,87,87293.0
高鍋,2016-08-21,34.2,87,87293.0
高鍋,2016-08-22,33.1,87,87293.0
高鍋,2016-08-23,34.1,87,87293.0
高鍋,2016-08-24,31.6,87,87293.0
高鍋,2016-08-25,32.7,87,87293.0
高鍋,2016-08-26,32.4,87,87293.0
高鍋,2016-08-27,32.5,87,87293.0
高鍋,2016-08-28,31.0,87,87293.0
高鍋,2016-08-29,32.5,87,87293.0
高鍋,2016-08-30,31.2,87,87293.0
高鍋,2016-08-31,32.7,87,87293.0
加久藤,2016-08-01,36.5,87,87301.0
加久藤,2016-08-02,35.4,87,87301.0
加久藤,2016-08-03,34.8,87,87301.0
加久藤,2016-08-04,33.9,87,87301.0
加久藤,2016-08-05,34.3,87,87301.0
加久藤,2016-08-06,32.9,87,87301.0
加久藤,2016-08-07,34.4,87,87301.0
加久藤,2016-08-08,36.2,87,87301.0
加久藤,2016-08-09,35.5,87,87301.0
加久藤,2016-08-10,37.6,87,87301.0
加久藤,2016-08-11,37.8,87,87301.0
加久藤,2016-08-12,37.0,87,87301.0
加久藤,2016-08-13,34.6,87,87301.0
加久藤,2016-08-14,34.8,87,87301.0
加久藤,2016-08-15,35.1,87,87301.0
加久藤,2016-08-16,34.4,87,87301.0
加久藤,2016-08-17,35.5,87,87301.0
加久藤,2016-08-18,34.3,87,87301.0
加久藤,2016-08-19,35.6,87,87301.0
加久藤,2016-08-20,36.8,87,87301.0
加久藤,2016-08-21,35.4,87,87301.0
加久藤,2016-08-22,35.6,87,87301.0
加久藤,2016-08-23,36.2,87,87301.0
加久藤,2016-08-24,34.3,87,87301.0
加久藤,2016-08-25,33.7,87,87301.0
加久藤,2016-08-26,36.3,87,87301.0
加久藤,2016-08-27,35.0,87,87301.0
加久藤,2016-08-28,29.9,87,87301.0
加久藤,2016-08-29,26.8,87,87301.0
加久藤,2016-08-30,26.9,87,87301.0
加久藤,2016-08-31,27.8,87,87301.0
西都,2016-08-01,35.2,87,87331.0
西都,2016-08-02,34.8,87,87331.0
西都,2016-08-03,32.4,87,87331.0
西都,2016-08-04,33.3,87,87331.0
西都,2016-08-05,33.2,87,87331.0
西都,2016-08-06,32.2,87,87331.0
西都,2016-08-07,32.5,87,87331.0
西都,2016-08-08,32.6,87,87331.0
西都,2016-08-09,35.1,87,87331.0
西都,2016-08-10,33.3,87,87331.0
西都,2016-08-11,33.2,87,87331.0
西都,2016-08-12,33.6,87,87331.0
西都,2016-08-13,33.4,87,87331.0
西都,2016-08-14,33.9,87,87331.0
西都,2016-08-15,34.4,87,87331.0
西都,2016-08-16,34.3,87,87331.0
西都,2016-08-17,33.8,87,87331.0
西都,2016-08-18,33.5,87,87331.0
西都,2016-08-19,34.1,87,87331.0
西都,2016-08-20,35.3,87,87331.0
西都,2016-08-21,34.3,87,87331.0
西都,2016-08-22,35.1,87,87331.0
西都,2016-08-23,34.5,87,87331.0
西都,2016-08-24,31.8,87,87331.0
西都,2016-08-25,32.2,87,87331.0
西都,2016-08-26,32.7,87,87331.0
西都,2016-08-27,33.0,87,87331.0
西都,2016-08-28,32.2,87,87331.0
西都,2016-08-29,31.8,87,87331.0
西都,2016-08-30,30.7,87,87331.0
西都,2016-08-31,31.3,87,87331.0
小林,2016-08-01,36.3,87,87352.0
小林,2016-08-02,35.5,87,87352.0
小林,2016-08-03,33.4,87,87352.0
小林,2016-08-04,33.7,87,87352.0
小林,2016-08-05,32.7,87,87352.0
小林,2016-08-06,31.2,87,87352.0
小林,2016-08-07,31.6,87,87352.0
小林,2016-08-08,33.9,87,87352.0
小林,2016-08-09,35.3,87,87352.0
小林,2016-08-10,35.6,87,87352.0
小林,2016-08-11,35.7,87,87352.0
小林,2016-08-12,35.2,87,87352.0
小林,2016-08-13,34.9,87,87352.0
小林,2016-08-14,35.9,87,87352.0
小林,2016-08-15,35.0,87,87352.0
小林,2016-08-16,35.0,87,87352.0
小林,2016-08-17,35.9,87,87352.0
小林,2016-08-18,34.0,87,87352.0
小林,2016-08-19,35.1,87,87352.0
小林,2016-08-20,35.4,87,87352.0
小林,2016-08-21,34.3,87,87352.0
小林,2016-08-22,36.5,87,87352.0
小林,2016-08-23,34.3,87,87352.0
小林,2016-08-24,32.5,87,87352.0
小林,2016-08-25,32.0,87,87352.0
小林,2016-08-26,34.1,87,87352.0
小林,2016-08-27,33.4,87,87352.0
小林,2016-08-28,30.0,87,87352.0
小林,2016-08-29,26.3,87,87352.0
小林,2016-08-30,28.1,87,87352.0
小林,2016-08-31,28.5,87,87352.0
宮崎,2016-08-01,34.0,87,87376.0
宮崎,2016-08-02,33.0,87,87376.0
宮崎,2016-08-03,32.1,87,87376.0
宮崎,2016-08-04,32.3,87,87376.0
宮崎,2016-08-05,32.2,87,87376.0
宮崎,2016-08-06,31.3,87,87376.0
宮崎,2016-08-07,31.4,87,87376.0
宮崎,2016-08-08,32.0,87,87376.0
宮崎,2016-08-09,33.6,87,87376.0
宮崎,2016-08-10,32.8,87,87376.0
宮崎,2016-08-11,33.3,87,87376.0
宮崎,2016-08-12,32.5,87,87376.0
宮崎,2016-08-13,32.5,87,87376.0
宮崎,2016-08-14,33.0,87,87376.0
宮崎,2016-08-15,33.6,87,87376.0
宮崎,2016-08-16,33.8,87,87376.0
宮崎,2016-08-17,33.4,87,87376.0
宮崎,2016-08-18,32.8,87,87376.0
宮崎,2016-08-19,34.1,87,87376.0
宮崎,2016-08-20,34.5,87,87376.0
宮崎,2016-08-21,34.0,87,87376.0
宮崎,2016-08-22,34.6,87,87376.0
宮崎,2016-08-23,33.9,87,87376.0
宮崎,2016-08-24,31.8,87,87376.0
