name,date,maxtemp,prec_no,points_no
池田,2014-07-01,29.9,71,71066
池田,2014-07-02,30.0,71,71066
池田,2014-07-03,22.3,71,71066
池田,2014-07-04,28.3,71,71066
池田,2014-07-05,25.7,71,71066
池田,2014-07-06,26.8,71,71066
池田,2014-07-07,24.1,71,71066
池田,2014-07-08,30.3,71,71066
池田,2014-07-09,26.3,71,71066
池田,2014-07-10,30.4,71,71066
池田,2014-07-11,30.8,71,71066
池田,2014-07-12,31.9,71,71066
池田,2014-07-13,30.2,71,71066
池田,2014-07-14,28.5,71,71066
池田,2014-07-15,31.1,71,71066
池田,2014-07-16,32.7,71,71066
池田,2014-07-17,32.0,71,71066
池田,2014-07-18,31.7,71,71066
池田,2014-07-19,32.4,71,71066
池田,2014-07-20,31.9,71,71066
池田,2014-07-21,31.9,71,71066
池田,2014-07-22,32.2,71,71066
池田,2014-07-23,32.9,71,71066
池田,2014-07-24,33.2,71,71066
池田,2014-07-25,35.4,71,71066
池田,2014-07-26,35.0,71,71066
池田,2014-07-27,30.0,71,71066
池田,2014-07-28,30.4,71,71066
池田,2014-07-29,33.3,71,71066
池田,2014-07-30,33.4,71,71066
池田,2014-07-31,33.2,71,71066
徳島,2014-07-01,30.5,71,71106
徳島,2014-07-02,28.9,71,71106
徳島,2014-07-03,24.2,71,71106
徳島,2014-07-04,28.5,71,71106
徳島,2014-07-05,28.6,71,71106
徳島,2014-07-06,27.4,71,71106
徳島,2014-07-07,25.6,71,71106
徳島,2014-07-08,29.3,71,71106
徳島,2014-07-09,28.2,71,71106
徳島,2014-07-10,28.2,71,71106
徳島,2014-07-11,33.0,71,71106
徳島,2014-07-12,30.3,71,71106
徳島,2014-07-13,32.5,71,71106
徳島,2014-07-14,29.3,71,71106
徳島,2014-07-15,30.7,71,71106
徳島,2014-07-16,32.5,71,71106
徳島,2014-07-17,32.6,71,71106
徳島,2014-07-18,31.1,71,71106
徳島,2014-07-19,31.5,71,71106
徳島,2014-07-20,31.8,71,71106
徳島,2014-07-21,30.8,71,71106
徳島,2014-07-22,31.5,71,71106
徳島,2014-07-23,32.3,71,71106
徳島,2014-07-24,33.6,71,71106
徳島,2014-07-25,35.1,71,71106
徳島,2014-07-26,34.0,71,71106
徳島,2014-07-27,32.9,71,71106
