name,date,maxtemp,prec_no,points_no
池田,2015-03-01,6.4,71,71066
池田,2015-03-02,9.7,71,71066
池田,2015-03-03,6.0,71,71066
池田,2015-03-04,10.6,71,71066
池田,2015-03-05,9.0,71,71066
池田,2015-03-06,7.3,71,71066
池田,2015-03-07,6.0,71,71066
池田,2015-03-08,11.5,71,71066
池田,2015-03-09,6.8,71,71066
池田,2015-03-10,7.0,71,71066
池田,2015-03-11,7.0,71,71066
池田,2015-03-12,9.4,71,71066
池田,2015-03-13,13.0,71,71066
池田,2015-03-14,11.8,71,71066
池田,2015-03-15,7.9,71,71066
池田,2015-03-16,13.2,71,71066
池田,2015-03-17,23.1,71,71066
池田,2015-03-18,19.2,71,71066
池田,2015-03-19,17.0,71,71066
池田,2015-03-20,17.3,71,71066
池田,2015-03-21,20.1,71,71066
池田,2015-03-22,18.3,71,71066
池田,2015-03-23,12.1,71,71066
池田,2015-03-24,9.6,71,71066
池田,2015-03-25,10.4,71,71066
池田,2015-03-26,14.0,71,71066
池田,2015-03-27,18.9,71,71066
池田,2015-03-28,20.6,71,71066
池田,2015-03-29,17.6,71,71066
池田,2015-03-30,21.2,71,71066
池田,2015-03-31,23.1,71,71066
徳島,2015-03-01,12.6,71,71106
徳島,2015-03-02,12.1,71,71106
徳島,2015-03-03,11.8,71,71106
徳島,2015-03-04,15.7,71,71106
徳島,2015-03-05,10.4,71,71106
徳島,2015-03-06,8.2,71,71106
徳島,2015-03-07,8.2,71,71106
徳島,2015-03-08,14.1,71,71106
徳島,2015-03-09,10.2,71,71106
徳島,2015-03-10,8.2,71,71106
徳島,2015-03-11,9.8,71,71106
徳島,2015-03-12,12.6,71,71106
徳島,2015-03-13,13.1,71,71106
徳島,2015-03-14,12.2,71,71106
徳島,2015-03-15,9.0,71,71106
徳島,2015-03-16,14.6,71,71106
徳島,2015-03-17,15.8,71,71106
徳島,2015-03-18,17.4,71,71106
徳島,2015-03-19,19.9,71,71106
徳島,2015-03-20,18.4,71,71106
徳島,2015-03-21,17.5,71,71106
徳島,2015-03-22,18.6,71,71106
徳島,2015-03-23,13.0,71,71106
徳島,2015-03-24,11.8,71,71106
徳島,2015-03-25,12.4,71,71106
徳島,2015-03-26,14.7,71,71106
徳島,2015-03-27,16.0,71,71106
徳島,2015-03-28,19.8,71,71106
徳島,2015-03-29,15.3,71,71106
徳島,2015-03-30,19.1,71,71106
徳島,2015-03-31,21.2,71,71106
日和佐,2015-03-01,13.1,71,71266
日和佐,2015-03-02,14.2,71,71266
日和佐,2015-03-03,14.2,71,71266
日和佐,2015-03-04,16.5,71,71266
日和佐,2015-03-05,12.3,71,71266
日和佐,2015-03-06,8.5,71,71266
日和佐,2015-03-07,9.8,71,71266
日和佐,2015-03-08,16.5,71,71266
日和佐,2015-03-09,13.7,71,71266
日和佐,2015-03-10,8.2,71,71266
日和佐,2015-03-11,11.4 ),71,71266
日和佐,2015-03-12,14.0,71,71266
日和佐,2015-03-13,15.0,71,71266
日和佐,2015-03-14,17.0,71,71266
日和佐,2015-03-15,11.5,71,71266
日和佐,2015-03-16,17.6,71,71266
日和佐,2015-03-17,17.8,71,71266
日和佐,2015-03-18,19.3,71,71266
日和佐,2015-03-19,19.6,71,71266
日和佐,2015-03-20,20.7,71,71266
日和佐,2015-03-21,18.8,71,71266
日和佐,2015-03-22,20.4,71,71266
日和佐,2015-03-23,15.3,71,71266
日和佐,2015-03-24,13.0,71,71266
日和佐,2015-03-25,13.9,71,71266
日和佐,2015-03-26,15.9,71,71266
日和佐,2015-03-27,18.1,71,71266
日和佐,2015-03-28,18.9,71,71266
日和佐,2015-03-29,14.7,71,71266
日和佐,2015-03-30,20.2,71,71266
日和佐,2015-03-31,21.2,71,71266
穴吹,2015-03-01,7.5,71,71087
穴吹,2015-03-02,11.2,71,71087
穴吹,2015-03-03,7.2,71,71087
穴吹,2015-03-04,12.0,71,71087
穴吹,2015-03-05,9.5,71,71087
穴吹,2015-03-06,6.8,71,71087
穴吹,2015-03-07,7.2,71,71087
穴吹,2015-03-08,12.6,71,71087
穴吹,2015-03-09,8.1,71,71087
穴吹,2015-03-10,7.0,71,71087
穴吹,2015-03-11,8.4,71,71087
穴吹,2015-03-12,11.3 ),71,71087
穴吹,2015-03-13,15.4,71,71087
穴吹,2015-03-14,13.3,71,71087
穴吹,2015-03-15,8.9,71,71087
穴吹,2015-03-16,13.8,71,71087
穴吹,2015-03-17,20.2,71,71087
穴吹,2015-03-18,18.6,71,71087
穴吹,2015-03-19,18.4,71,71087
穴吹,2015-03-20,18.6,71,71087
穴吹,2015-03-21,19.4,71,71087
穴吹,2015-03-22,20.8,71,71087
穴吹,2015-03-23,13.5,71,71087
穴吹,2015-03-24,10.4,71,71087
穴吹,2015-03-25,11.4,71,71087
穴吹,2015-03-26,14.9,71,71087
穴吹,2015-03-27,18.0,71,71087
穴吹,2015-03-28,20.2,71,71087
穴吹,2015-03-29,15.8,71,71087
穴吹,2015-03-30,20.6,71,71087
穴吹,2015-03-31,22.4,71,71087
蒲生田,2015-03-01,12.4,71,71231
蒲生田,2015-03-02,10.9,71,71231
蒲生田,2015-03-03,13.8,71,71231
蒲生田,2015-03-04,15.1,71,71231
蒲生田,2015-03-05,9.5,71,71231
蒲生田,2015-03-06,8.0,71,71231
蒲生田,2015-03-07,8.3,71,71231
蒲生田,2015-03-08,12.0,71,71231
蒲生田,2015-03-09,12.4,71,71231
蒲生田,2015-03-10,9.3,71,71231
蒲生田,2015-03-11,10.3,71,71231
蒲生田,2015-03-12,12.1,71,71231
蒲生田,2015-03-13,14.1,71,71231
蒲生田,2015-03-14,11.8,71,71231
蒲生田,2015-03-15,10.2,71,71231
蒲生田,2015-03-16,13.1,71,71231
蒲生田,2015-03-17,17.2,71,71231
蒲生田,2015-03-18,16.3,71,71231
蒲生田,2015-03-19,17.9,71,71231
蒲生田,2015-03-20,16.2,71,71231
蒲生田,2015-03-21,15.8,71,71231
蒲生田,2015-03-22,17.7,71,71231
蒲生田,2015-03-23,11.8,71,71231
蒲生田,2015-03-24,10.9,71,71231
蒲生田,2015-03-25,11.6,71,71231
蒲生田,2015-03-26,12.7,71,71231
蒲生田,2015-03-27,15.8,71,71231
蒲生田,2015-03-28,18.0,71,71231
蒲生田,2015-03-29,14.4,71,71231
蒲生田,2015-03-30,17.3,71,71231
蒲生田,2015-03-31,20.0,71,71231
京上,2015-03-01,11.0,71,71191
京上,2015-03-02,8.7,71,71191
京上,2015-03-03,8.3,71,71191
京上,2015-03-04,11.3,71,71191
京上,2015-03-05,8.2,71,71191
京上,2015-03-06,6.7,71,71191
京上,2015-03-07,5.0,71,71191
京上,2015-03-08,10.0,71,71191
京上,2015-03-09,8.5,71,71191
京上,2015-03-10,4.6,71,71191
京上,2015-03-11,5.4,71,71191
京上,2015-03-12,8.3,71,71191
京上,2015-03-13,12.9,71,71191
京上,2015-03-14,10.1,71,71191
京上,2015-03-15,8.9,71,71191
京上,2015-03-16,11.5,71,71191
京上,2015-03-17,22.3,71,71191
京上,2015-03-18,18.2,71,71191
京上,2015-03-19,15.7,71,71191
京上,2015-03-20,17.4,71,71191
京上,2015-03-21,18.6,71,71191
京上,2015-03-22,19.2,71,71191
京上,2015-03-23,10.6,71,71191
京上,2015-03-24,6.8,71,71191
京上,2015-03-25,8.5,71,71191
京上,2015-03-26,13.7,71,71191
京上,2015-03-27,19.2,71,71191
京上,2015-03-28,19.7,71,71191
京上,2015-03-29,13.8,71,71191
京上,2015-03-30,20.8,71,71191
京上,2015-03-31,20.0,71,71191
木頭,2015-03-01,8.9,71,71251
木頭,2015-03-02,11.5,71,71251
木頭,2015-03-03,6.7,71,71251
木頭,2015-03-04,16.7,71,71251
木頭,2015-03-05,9.9,71,71251
木頭,2015-03-06,6.9,71,71251
木頭,2015-03-07,7.2,71,71251
木頭,2015-03-08,14.3,71,71251
木頭,2015-03-09,9.1,71,71251
木頭,2015-03-10,6.9,71,71251
木頭,2015-03-11,9.2,71,71251
木頭,2015-03-12,11.9,71,71251
木頭,2015-03-13,14.0,71,71251
木頭,2015-03-14,13.8,71,71251
木頭,2015-03-15,8.7,71,71251
木頭,2015-03-16,13.6,71,71251
木頭,2015-03-17,20.6,71,71251
木頭,2015-03-18,18.8,71,71251
木頭,2015-03-19,19.8,71,71251
木頭,2015-03-20,21.1,71,71251
木頭,2015-03-21,18.4,71,71251
木頭,2015-03-22,20.9,71,71251
木頭,2015-03-23,13.6,71,71251
木頭,2015-03-24,8.5,71,71251
木頭,2015-03-25,10.0,71,71251
木頭,2015-03-26,15.0,71,71251
木頭,2015-03-27,17.9,71,71251
木頭,2015-03-28,19.4,71,71251
木頭,2015-03-29,14.1,71,71251
木頭,2015-03-30,20.4,71,71251
木頭,2015-03-31,22.6,71,71251
海陽,2015-03-01,14.8,71,71291
海陽,2015-03-02,13.3,71,71291
海陽,2015-03-03,14.3,71,71291
海陽,2015-03-04,16.0,71,71291
海陽,2015-03-05,13.3,71,71291
海陽,2015-03-06,9.3,71,71291
海陽,2015-03-07,10.7,71,71291
海陽,2015-03-08,16.2,71,71291
海陽,2015-03-09,13.3,71,71291
海陽,2015-03-10,9.2,71,71291
海陽,2015-03-11,9.9,71,71291
海陽,2015-03-12,13.2,71,71291
海陽,2015-03-13,16.8,71,71291
海陽,2015-03-14,14.7,71,71291
海陽,2015-03-15,12.2,71,71291
海陽,2015-03-16,18.4,71,71291
海陽,2015-03-17,18.1,71,71291
海陽,2015-03-18,20.0,71,71291
海陽,2015-03-19,20.8,71,71291
海陽,2015-03-20,20.8,71,71291
海陽,2015-03-21,16.3,71,71291
海陽,2015-03-22,18.1,71,71291
海陽,2015-03-23,14.6,71,71291
海陽,2015-03-24,12.9,71,71291
海陽,2015-03-25,13.6,71,71291
海陽,2015-03-26,13.1,71,71291
海陽,2015-03-27,16.9,71,71291
海陽,2015-03-28,19.8,71,71291
海陽,2015-03-29,15.1,71,71291
海陽,2015-03-30,18.0,71,71291
海陽,2015-03-31,21.8,71,71291
